ID,TURC,POLONAIS,INTERVAL
11856,glen,dolina górska,34
6845,battaniye,koc,62
6533,savunuculuk,rzecznictwo,72
10122,meydana gelmek,występuje,13
3724,ard,arend.,87
2668,düzenleyici,regulator,91
5538,göksel,niebiański,78
12804,göz,oko,19
7353,manzara,krajobraz,62
10801,haydut,hayes.,36
5015,endokrin,wewnątrzwydzielniczy,81
6971,bulgul etmek,bulger.,69
13868,insanlar,ludzie,7
12952,an,za chwilę,20
8955,kıvırmak,clint.,56
7261,genetik şifre,genom,64
4087,kiracılar,najemcy,64
12475,füze,pocisk,24
2730,bileme,szlifowanie,70
7539,tüf,taft.,65
14271,gerçekten,naprawdę,11
826,kiraya veren,gospodarz,93
7116,baskın yapmak,biust,54
2161,uyarıcı vermek,narkotyk,58
14178,avrupalı,europejski,12
13076,toplum,społeczeństwo,20
9470,yalıtılmış,odosobniony,45
6344,çırak,uczeń,72
13421,kasten,celowo,8
13082,yönetici,admin,21
12428,müjde,ewangelia,29
13826,olmuştur,został,5
7822,vahiy,objawienie,53
1271,aç gözlü,chciwy,96
242,reaktif,reaktywny,39
11636,karşılaştırmak,porównywać,12
4281,tanıklık etmek,świadczyć,62
3630,crapper,krojak,88
5868,ecstasy,ekstaza,76
5660,tabut,trumna,74
1204,şeker kamışı,trzcina cukrowa,98
10429,fink,mroczny typ,45
14510,etkili,skuteczny,12
11110,destek olmak,utworzyć kopię zapasową,39
5418,fisyon,rozszczepienie,78
5212,şeref,honorifics.,72
12503,kahraman,bohater,23
8142,değişken,urozmaicony,25
4012,kınama,strapienie,76
3380,bilerek,świadomie,88
13007,reaksiyon,reakcja,20
10496,içtenlikle,z poważaniem,39
11093,top,armata,38
7846,biennal,dwuletni,63
8962,tanıtım videosu,zwiastun filmu,51
5394,mantıksız,nielogiczny,77
2331,gözetlemek,gąsior,93
753,apostasy,odstępstwo,99
2156,sızıntı,wyciekający,44
5439,kargaşa,zamieszanie,77
869,eser,artefakt,63
2417,çiğnemek,szpara,90
6523,bulaşıcı,zakaźny,72
11785,spartalı,spartański,28
9868,saltanat,królować,39
5588,aşamalı,fazowany,29
8712,hamster,chomik,58
1926,sayım,hrabina,94
6903,daha ağır,cięższy,69
3111,cırcır,zapadkowy,89
2109,genişletmek,poszerzać,63
13057,incelik,inc.,22
10962,statik,statyczny,41
4978,tungsten,wolfram,81
10108,yalnız,samotny,41
6684,conta,kontrad,71
3901,tokmak,tok.,86
14176,bakmak,patrzeć,5
6097,mavna,mau.,75
8537,hantal,whalers.,59
7108,yanlış anlaşılmak,niezrozumiany,68
13827,istemek,zrobiłbym,5
9493,molekül,cząsteczka,48
12686,derli toplu,uporządkowane,26
13075,kritik,krytyczny,13
7012,dolgu malzemesi,wyściółka,46
6321,archduke,arcyksiążę,71
13635,karar,decyzja,14
3463,yumurtlama,owacja,86
10258,seyirciler,widzowie,43
8110,hilal,półksiężyc,62
2448,çağrılan,wywołany,73
9898,kargo,ładunek,49
6130,erkek yeğen,siostrzeniec,71
9505,sally,wypad,52
12369,elma,jabłko,28
4572,popülasyon,pospólstwo,83
11666,çalınması,kradzież,36
12509,onuncu,dziesiąty,27
6670,köprü kafası,przyczółek,69
9301,pudra,proszek,50
10485,boyutlu,wymiarowy,45
4649,yenilenme,regeneracja,66
11226,sabitleme,ustalenie,11
9226,duygusal,emocjonalny,36
12975,emekli,emerytowany,17
10036,etiketsiz,nieozwolony,48
14403,yakında,wkrótce,10
6213,alaşım,stop,67
13316,aziz,święty,16
3228,ihmal,zaniedbanie,70
683,yem,pasza,99
8796,pusu,zasadzka,51
7324,ortaya çıkmak,powstać,52
4483,yele,grzywa,80
13695,önceki,dawny,14
4802,gitaristler,gitarzyści,34
12783,stüdyo,studio,21
6043,taoculuk,taoizm,75
3541,nakış,haft,88
5359,diş macunu,pasta do zębów,79
1387,içi,intra,97
17,fanatik,fanatycy,68
13566,bugün,dziś,15
2215,codec,kodek,88
8779,scarlet,szkarłat,56
8570,tirsi balığı,aloza,59
2946,keçi,kozy.,50
5710,kaçak,uprowadzony,54
4711,uykusuzluk hastalığı,bezsenność,82
4288,deha,mistrz umysłu,75
11747,yirminci,dwudziesty,35
9421,timsah,krokodyl,51
4139,kuzeye doğru,na północ,38
11546,gök gürültüsü,grzmot,36
11556,tuz,sól,35
2420,planlayıcılar,planiści,85
12726,hazır,gotowy,24
10366,lezbiyen,lesbijka,44
2652,sığırcık,szpak,91
6898,hayaletler,duchy,35
14130,sağlayan,zapewnia,6
12373,güncelleme,aktualizacja,8
12160,seferlik,ekspedycyjny,31
9119,takviyeli,wzmocniony.,37
7109,alımlı,uroczy,48
12683,klavye,klawiatury,24
9798,ranger,leśniczy,20
14309,kişisel,osobisty,6
3774,lejyonlar,legiony,43
10079,tarımsal,rolniczy,33
5103,rude,żałować,80
8547,çok öfkeli,wściekły,59
2729,kavşaklar,skrzyżowania,46
12640,tezgah,licznik,25
14335,harika,świetnie,10
14070,dünya,świat,8
11237,cin,gen.,38
1931,dolu fırtınası,gradobicie,90
5465,santigrat,celsjusz,78
5599,genlik,amplituda,77
9012,gerçekten mi,rly.,56
12041,taze,świeży,32
10131,bükülmek,schylać się,44
11976,sabun kutusu,soapbox.,33
663,yorucu,nieznośny,98
13553,gözü pek,pogrubiony,15
1801,daha nazik,kinder.,95
11331,emici,insygnia,38
8518,çorap,skarpety,26
12637,programlama,programowanie,12
7159,tükenmişlik,zmęczenie,64
13179,suç,wykroczenie,12
8274,ölümsüz,nieumarły,61
11523,tunus,tunezja,37
3982,bulutlu,pochmurny,76
12885,sağlık,zdrowie,24
2704,uyarı,alarmowanie,32
13165,kule,wieża,18
761,süren,syriac.,99
2027,baltalar,podważać,55
13151,ilerlemek,osiągnięcie,13
11601,bot,łódź,30
3171,sakat,okaleczony,77
12315,meksikalı,meksykanin.,29
14393,yüz,twarz,13
6479,kodlama,kodowanie,15
4447,sürünme,skradać się,71
5038,yönlendirmek,sterować,49
8620,mürekkep,atrament,54
6101,odak,ogniskowy,75
8125,olgun,dojrzały,50
12464,afiş,plakat,26
9665,kurtarmak,zdrowieć,24
5622,tartışmasız,bezsprzeczny,73
2792,turboşarj,turbosprężarka,90
13266,yunan,grecki,18
5992,denizatı,konik morski,75
8969,uyumlu,zgodny,52
1955,lexic,leksyk,89
9849,baharat,przyprawa,49
14041,çoktan,już,9
5799,muhafazakârlık,konserwatyzm,76
6712,miktarları,wielkie ilości,48
6793,milliyetçiler,nacjonaliści.,42
5039,poliomiyelit,paraliż dziecięcy,81
11145,deniz kızı,syrena,40
8105,bilinçli,przytomny,62
1601,torna,tokarka,96
1093,yılan balığı,węgorze,67
5120,anafsal,anaxial.,80
10229,dışkı,kał,47
4933,ızgara,grill,65
12281,yavaş yavaş,powoli,30
3983,toprağa bağlı,przyziemny,86
10808,büyüdü,wzrósł,42
3931,kibbutz,kibuc,86
10879,iyileşmek,powrót do zdrowia,41
14208,alan,pole,9
1404,şükran,wdzięczność,96
7418,ikizler burcu,bliźnięta,65
11971,kamyon,samochód ciężarowy,29
7485,daha derine,głębiej,66
8060,pacers,pascyk,59
729,coşkulu,spokój,96
14062,örnek,przykład,12
7190,oyuncu,gamer.,68
13405,ragbi,rugby,17
6804,defne,laur,69
10233,müfettiş,pluton żołnierzy,43
7619,büyülü,magiczny,26
3941,dikizlemek,zerkać,83
2241,belsoğukluk,rzeżączka,93
4320,piedmont,podgórski,84
13530,çalı,krzak,16
6158,araları açılmak,opad,74
1904,film çekmek,tworzenie filmu,76
14089,başlamak,rozpoczął się,11
7627,yazıcı,drukarka,60
165,harekete geçmek,działać na,100
13305,paragraf,ustęp,17
5872,kaotik,chaotyczny,75
13360,tigers,tygrysy,14
11565,bros,bracia,34
1867,hidrostatik,hydrostatyczny,94
10186,şarbon,wąglik,47
487,abartı,przesada,64
11367,çikolata,czekolada,38
7931,hindistan cevizi,orzech kokosowy,63
7355,serebral,mózgowy,66
5273,teolojik,teologiczny,58
11300,zihinsel,psychiczny,35
8161,kazanma,nabytek,55
6515,yapay penis,dildo.,70
10857,çöktü,upadł,28
1506,aegis,egida,96
2523,şaplak,lanie,85
6818,telekast,program telewizyjny,62
10908,grove,gaj,40
2247,değerlik,wartościowość,93
3565,şaşkın,zdziwiony,47
3088,blender,mikser,89
10836,afgan,afgański,41
2852,bağırsak,jelito,66
7526,dalmak,nurkować,42
6397,firari,zbieg,61
4001,yaldızlı,pozłacany,86
3235,menenjit,zapalenie opon mózgowych,88
8291,bıçak,nóż,61
955,dördün,kwadratura,98
4804,fark edilmemiş,niezauważony,76
9365,jeopary,niebezpieczeństwo,54
2827,boğucu,choking.,72
11770,fiji,fidżi,35
1667,emperyalist,imperialistyczny,83
9787,cf,por,50
8263,kumaş,madras,62
10535,taşınabilir,przenośny,44
13721,katkıda bulunanlar,składnicy.,12
3573,yanak,policzek,78
22,ruj,pomadka,100
6820,ayda iki kez,pół miesięczna,70
7600,bout,atak,63
7015,tapmak,cześć,62
11201,ajanlar,agenci.,25
13683,belki,być może,14
3227,bencil,samolubny,86
3674,kusur,usterka,81
4479,sportmenlik,sprawność sportowa,83
12867,türkiye,indyk,24
269,dik,wyprostowany,52
5483,çinçilla,szynszyla,78
9730,şişkinlik,wybrzuszenie,50
5663,terminus,stacja końcowa,77
5064,mezhep,sekciarski,78
7764,kalp ameliyati,objazd,55
8116,acınası,żałosne,62
5987,filigran,znak wodny,68
11787,temizlemek,sprzątać,35
219,boozer,pijak,100
3743,balık burcu,pisces.,87
9099,yerleştirme,umieszczenie,54
2111,lenfoma,chłoniak,93
13551,anlamına gelen,oznaczał,16
8772,lutheran,luterański,54
6325,üstlenmek,podejmowane,73
11524,edinilen,nabyty,27
9441,anlaşmazlıklar,nieporozumienia,40
2999,jelatin,żelatyna,89
11131,borç vermek,dept,40
7654,kazıklamak,dójka,65
85,hayal zamanı,czas snu,100
3119,priz,gniazdo elektryczne,80
2146,soyunmamış,niepludnia,94
14349,tedarik edilen,pod warunkiem  że,6
10871,korkunç,straszny,38
8050,jöle,galaretka,62
5037,hoş olmayan,nieprzyjemny,78
5702,yudum,biz.,77
2401,ihlaller,infradzierzenia,81
4153,gündüzler,gunners,68
5594,siluet,sylwetka,74
12744,felaket,katastrofa,21
14023,farklı,różny,10
13220,gelişmiş,rozwinięty,12
2953,dilimlenmiş,pokrojony,60
13754,yüklemek,przekazać plik,9
12754,yüzde,odsetek,25
12021,palmer,pielgrzym z ziemi świętej,32
13475,farsça,perski,16
7358,kadife,aksamit,65
10136,ipek,jedwab,47
10564,duff,lipny,44
10048,ekmek,chleb,48
7634,trombon,puzon,64
13464,henry,henz,17
1410,çiçero,cicero,96
13407,geçti,przeszedł,10
8688,biberler,papryka,36
7626,tezahür,manifestacja,45
13866,abilir,mógł,8
13708,aksine,mimo,14
1264,rüya gibi,marzycielski,97
12930,kalmak,pozostać,11
13660,uçak,samolot,14
11521,kırkbeş,czterdzieści pięć,37
7039,meslektaşlar,odpowiedniki.,54
9278,köreltmek,tępy,53
14242,mac,prochowiec,34
7487,soğan,cebula,62
13862,yıllar,lata,7
2050,savaş başlığı,głowica bojowa,80
8874,meydana gelme,występowanie,51
851,avukat keeper,wicketkeeper.,99
13463,z,z.,17
8815,engel,awers,57
2595,aydınlatmak,oświecać,51
5128,duchy,księstwo,78
14229,saat,godziny,10
13940,içermek,w tym,7
5144,kuluçkahane,hatcher.,80
13379,silah,pistolet,15
2628,yarık,rozszczep,90
1995,tetanos,tężec,94
1447,tuvaletler,wc,46
1659,sigara içen,palący,83
9029,sibirya,syberyjski,55
57,açlıktan ölme,głodujący,87
6986,hapsedilmiş,uwięziony,50
2900,öfkeyle,gniewnie,90
12715,ayak,stopy,26
14457,geliştirmek,rozwijać,12
14476,sürücüler,drives,12
3775,vernacular,język miejscowy,87
8795,böbrek,nerka,56
2613,tutku,ambicja,77
9167,çayır,preria,53
2416,konjenital,wrodzony,91
11936,beyin,mózg,32
2872,esneklik,elastyczność,78
8965,mantıklı,rozsądny,52
11441,rotalar,trasy,19
11651,fayda,korzyść,8
7851,cezalandırılmış,ukarany,53
2696,kortaya,cortina.,91
6590,moloz,gruz,71
8308,naziler,naziści.,28
8053,pasif,bierny,61
1060,kaşıklar,łyżki,55
986,jartiyer,podwiązka,95
11531,choen,kohen.,37
6679,kısaltmalar,skróty,45
10021,bileşenler,składniki,32
5181,implant,wszczepiać,73
12330,ağır şekilde,ciężko,30
10028,oylama,balotować,40
8861,tiffany,muślin,57
7216,kürklü,futrzany,67
8790,susam,sezam,58
2451,güldü,zaśmiał się,43
8177,ev halkı,gospodarstwo domowe,54
4301,brokoli,brokuły,84
13892,önce,zanim,7
8159,reedy,piskliwy,62
12030,ifade etmek,wyrażenie,27
3660,normalleşme,normalizacja,17
8745,i̇ncil,biblijny,58
9588,aynı şekilde,podobnie,52
7558,vize,wiza,61
11240,değirmenler,młyny,30
9344,çim,trawnik,52
11775,daha da kötüsü,gorzej,35
10825,anlamsız,bezcelowy,42
11177,servis aracı,czółenko,39
12264,karbon,węgiel,29
688,çabuk,wszechobecny,99
1893,vaaz,kazanie,88
2464,serbest,wolny zawód,86
14311,okul,szkoła,7
3002,araç kutusu,przybornik,90
12172,binyıl,tysiąclecie,31
4338,iceman,lodziarz,84
10586,ne zaman olursa,zawsze  gdy,44
14491,satın almak,zakup,30
10308,chit,pętak,46
11445,sonsuza kadar,na zawsze,37
5593,mutasyon,mutacja,68
13320,kesin,niektórzy,19
12900,ekonomi,gospodarka,23
12816,yakalanan,złapany,17
4737,farina,mąka,81
515,kaldırım,chodnik,93
12615,yardımcısı,wice,27
3072,badem,migdałowy,88
2623,entourage,otoczenie,91
11055,vesika,portret,39
675,merakla,ciekawie,95
7569,bağış,darowizna,36
1344,örgü,siatka,93
12257,şüpheli,podejrzany,19
8519,patlayan,eksplodować,37
6782,özerklik,autonomia,70
8644,coğrafi,geograficzny,38
10747,avukat,adwokat,40
10595,pırıltı,pil.,44
5763,yer değiştirme,przemieszczenie,45
7622,uygunsuz,niewłaściwy,65
87,ağartma,wybielanie,43
13516,ilgili,istotnych,15
12631,gri,szary,26
6464,açık arttırma,aukcja,63
11670,on üçüncü,trzynasty,36
2231,brownie,duszek,90
1221,telafi edici,wyrównawczy,98
1203,burkulma,zwichnięcie,74
1211,ucuza,tanio,98
4134,beyinsiz,underfree.,85
9048,en genç,najmłodszy,56
5820,aptalca,niemądry,73
4024,bölünmek,rozszczepiać,78
4681,ziyafet yapmak,bankiet,80
4465,bosmak,bose.,83
12095,koalisyon,koalicja,31
11081,lanetli,nawiedzany,38
11254,paraşüt,spadochron,38
4535,daha akıllı,mądrzejszy,83
14212,suçlama,opłaty,17
9983,rehin,zakładnik,39
912,tanı,diagnostyczny,94
4846,eczacılığa ait,farmaceutyczny,71
12214,düzeltmeler,poprawki,10
12913,sıra,wiersz,22
9369,termal,termiczny,53
10627,ortaya çıkartmak,ujawnić,25
3387,yazıtlar,inskrypcje,71
9922,bayan,pani,12
9949,çevrili,otoczony,28
12580,konuşma,przemówienie,26
7311,dtt,dt.,65
13730,i̇spanyol,hiszpański,14
8742,yıkılmış,zburzony,54
10422,uzanmak,kłamliwy,24
3295,cezalandırma,karanie,25
642,felçli,sparaliżowany,94
10070,yorgun,zmęczony,29
4137,sınıf,klasa,78
12335,ace,as,27
7900,kaş,łokieć,61
5536,çatlak,pęknięty,38
14381,menkul kıymetler,papiery wartościowe,13
10063,niteleyici,kwalifikator,10
5949,akasya,szarańcza,72
2783,roadster,terenówka,87
11435,görevler,obowiązki,22
6164,şelale,wodospad,71
531,çalıkuşu,strzyżyk,97
5677,onaylanmamış,niepotwierdzony.,77
2481,tepki,reperkusje,90
3608,pisi balığı,flądra,85
4359,düşkün,czuły,71
12948,önemsiz,graty,23
2048,alt başlık,podtytuł,73
5500,ilgi,eksplocie,74
114,keşmiri,kashmiri.,100
11157,gelir,dochód,37
5745,yeniden açılmış,ponowne otwarcie,65
11890,amblem,godło,32
13806,gibi,jak,5
14313,öncesi,poprzedni,12
1096,kabuslar,koszmary,62
11320,adımlar,kroki,19
4093,hollandalı,holender,86
10688,nazikçe,uprzejmie,43
8227,devir,obrót silnika,60
2673,polimerizasyon,polimeryzacja,88
11688,pa,rocznie,32
12634,yasadışı,nielegalny,25
8253,kiev,kijów,62
13371,dağ,góra,14
5914,fazlalık,nadwyżka,76
5545,kepçe,scooper.,78
11544,koltuk,siedziba,23
1909,hevesle,z zapałem,94
7724,mutabakat,pojednanie,64
1860,musher,guzek,77
13539,epeyce,całkiem,15
12767,on yıl,dekada,21
11681,ilçe,parafia,35
2559,hidroklorik,hydrochlorowy,92
2488,huni,lejek,88
7411,letonyalı,łotewski,65
3945,goto,iść do,86
14259,yönetim,administracja,7
11284,belediye başkanı,burmistrz,36
10329,araştır,przeglądaj,41
5680,kişi,capita,77
5385,dikkatli,ostrożny,79
2770,sübvansiyon,subsydium,80
6586,insan gücü,siła robocza,72
47,spitz,szpic,100
13224,güneş,słońce,18
6003,söğüt,wierzba,72
7992,tüketim,konsumpcja,62
4030,uyuya kalmak,we śnie,86
1383,inorganik,nieorganiczny,97
2227,ayrıştırıcı,parser.,91
6745,elbisesi,suknia,60
10330,seyahat,podróż,45
7284,tanker,zbiornikowiec,58
7342,çömlekçilik,garncarstwo,65
10150,kaykay yapmak,jazda na deskorolce,34
10140,ikna etmek,duet,47
159,cenozoik,kenozoiczny,100
11019,değer biçmek,oceniać,23
11422,satranç,szachy,38
3161,turer,autokar,88
5431,kantlamak,plisować,77
13441,harita,mapa,14
11230,bütçe,budżet,38
3257,kabakulak,świnka,89
6337,patates,ziemniaki,43
8377,duygusallık,sentyment,50
5849,mezzen,półpiętro,74
11170,fil,słoń,38
3513,asimilasyon,asymilacja,78
6865,isteksiz,niechętny,64
11086,ima etmek,sugerować,27
13673,jersey,golf,14
10295,isyancı,buntownik,32
10791,on dört,czternaście,42
13024,donanma,marynarka wojenna,22
456,kabarmak,harmine.,100
3419,kavun,melon,88
8287,argonautlar,argonaci,60
10473,dalga geçmek,wang.,45
14322,görüşmeler,rozmowy,5
10340,başparmak,kciuk,45
3830,iğneleme,needham.,87
14345,üstünde,powyżej,10
7789,sıfat,przymiotnik,59
5583,reworded,przeredagowany,56
8915,ping,świst,56
1149,tavla,backgammon.,98
8156,cevher,ruda,61
9444,kükürt,siarka,50
14339,dikkate alınan,uważany za,5
9567,gam,dawaj,52
6725,ven,żyła,63
3267,kanıtlanmamış,niezrównany,88
7758,site,sith.,64
7025,tüketme,wyczerpanie,54
10404,gürültü  ses,hałas,45
11257,tahrip etmek,zniszczyć,17
1941,shakespearean,szekspir,94
2733,su tesisatı,instalacja wodociągowa,86
6504,iq,iloraz inteligencji,72
10512,kilitli,zablokowany,31
12529,hawaii,hawaje,28
10146,büyükelçi,ambasador,44
8004,ankraj,zamocowanie,62
8213,yanılsama,iluzja,59
1689,isteksizlik,niechęć,96
10433,sodyum,sód,45
3803,periferli,obrzeże,86
3428,dondurma,lód na patyku,88
14181,üçüncü,trzeci,9
12977,gözlemevi,obserwatorium,23
12936,liman,port,22
4457,parmak izi,odcisk palca,67
3401,nous,rozum,88
3344,saç modeli,fryzura,77
4387,yasemin,jaśmin,82
12959,değer,wartość,19
10849,bağlı olarak,w zależności od,27
9246,yörüngeler,orbity.,17
7925,boylam,długość geograficzna,62
10178,might,mick.,47
8313,folk,falk.,61
12252,düğümler,węzły,27
6721,doğal olarak,właściwie,58
1256,eğilmek,ukłonić się,40
4162,cezalandırıcı,karny,85
4149,sırt çantası,plecak,71
564,pullu,sequitur.,99
9904,temasa geçme,skontaktował się z tą kontaktem,6
7378,lazılar,lyazy.,48
10342,danimarkalı,duński,46
5426,ayarlanmış,ustaw na,79
9723,kunduz,bóbr,44
13747,mavi,niebieski,12
13597,atış,strzał,14
1672,kıbrıslı,cypryjski,91
12004,seviye,poziomy,12
6743,playboy,lekkoduch,69
3346,yemek çubukları,pałeczki do jedzenia,88
7597,kürek çekmek,łopata,60
5331,kilitlenme,impas,71
10679,çığ,lawina,43
10294,evli,żonaty,41
1809,yayılmak,rozwalać się,88
13066,yaralı,ranny,20
14437,ayırmak,oddzielny,16
13161,kesinlikle,na pewno,20
8056,fareler,myszy.,62
12983,billy,menażka,21
13062,kızlar,dziewczyny,16
14231,metin,tekst,7
1127,boşaltım,wydalanie,95
7552,zar,membrana,64
14340,reddetti,odrzucony,16
8660,kürk,futro,56
2635,anomi,dezorganizacja,91
4721,sezon ortası,środek sezonu,82
7990,şampanya,szampan,62
6305,sprey,rozpylać,62
13856,sadece,tylko,6
5636,itibar,godność,76
9878,mitmek,mitch.,50
4828,renget,rgen.,82
8607,ezmek,zmiażdżyć,41
10762,sıralanmak,skład,41
3006,haşhaş,mak,88
9127,domates,pomidor,51
9500,merhamet,łaska,50
11338,sürmüş,napędzany,38
2463,dayak,bashing.,56
9948,soluk,leworęczny,49
3822,nakışlı,haftowany,85
1557,ışınlayıcı,projektor,96
8242,aşan,przewyższony,50
10932,üçgen,trójkąt,39
764,mankok,manx.,99
11432,seçkinler,elita,37
4761,helis,spirala,82
1302,güneş yanığı,oparzenie słoneczne,95
2756,baskı,ucisk,71
8245,atılım,przełom,59
310,polymath,erudyta w wielu dziedzinach,99
13523,yaz,lato,16
3310,özetle,podsumowalnie,88
8581,enkaz,wrak,49
896,nemrut,nimrod,98
6300,mirasçı,dziedzic,65
12698,tahmin etmek,odgadnąć,24
8265,iniş,lądowania,13
14133,hayat,życie,12
2022,yer tutucu,placeholder.,94
10154,aylık,miesięczny,47
14357,kolay,łatwy,13
6771,fener,latarnia,67
6842,vejeteryancılık,wegetarianizm,62
4250,siyam,syjamski,85
6104,yetkisiz,nieautoryzowany,75
10492,shah,szach w persji,45
11795,ilgi alanları,zainteresowania,9
2965,tazı,chart,73
13801,söz konusu,powiedział,10
12505,robin,rudzik,27
8176,virgül,przecinek,53
4059,gemide,na pokładzie,86
7076,havlamak,szczekać,62
8690,haşlamak,hicks.,54
5429,dionysos,dionizosa.,79
12581,terörist,terrorysta,22
4141,ultrason,ultradźwięk,85
3095,tork,moment obrotowy,89
5793,eşitlik,słuszność,75
5944,ceset,zwłoki,64
4968,bülbül,słowik,81
13291,ulus,naród,8
7899,rahatlamak,łagodzić: uśmierzać,31
8668,fikirli,umysłowy,12
11495,başsız,bezgłowy,37
10895,milis,milicja,39
2925,altın su,goldwater.,90
5170,kışkırtmak,sprowokować,54
14010,gitmek,iść,8
13431,rusya,rosja,17
2432,bavul,walizka,88
4454,buharlaşma,odparowanie,68
231,kavız,chaldejczyk,100
13195,kitle,masa,19
13982,gelişim,rozwój,12
6062,tekrarlama,powtórzenie,57
8276,pike,szczupak,55
2351,karaağaç,wiąz,86
4509,gevşek,niedbały,79
222,floodlights,sztuczne oświetlenie,98
4885,damıtma,destylacja,71
12319,sürahi,dzban,24
9222,sineklik,strauss.,55
5567,kırılgan,kruchy,76
3444,nüks,nuke.,82
6503,işemek,siki,52
9448,amfibi,ziemnowodny,53
5262,rutin olarak,rutynowo.,51
14149,bekar,pojedynczy,10
4814,istilacılar,invaders.,36
7853,değişkenlik,uniwerek,63
14321,dil,język,12
8393,sabit,stacjonarny,60
6530,komut istemi,podpowiedź,40
9699,kıvırma,wijący się,46
7447,derileştirmek,derry.,66
10913,kurbağa,żaba,38
883,incece,subtelnie,98
14450,vurmak,uderzyć,9
11532,lacrosse,rodzaj gry w hokeja,37
4883,ono,o nie,81
6487,garner,zręczony,51
13773,ihtisas,domena,12
5035,ritüel,rytuał,69
3639,paslanmaz,nierdzewny,88
13200,kraliçe,królowa,18
11982,becerememe,grzebanie się,25
2711,akbaba,sęp,88
14224,biçim,formularz,10
11292,başarmak,osiągnąć,20
8498,esin,inspiracja,33
11525,geri gel,wróć,36
1453,teselli,pocieszenie,96
12477,çek,czech,28
11983,vatandaşlar,obywatele,28
8720,ortabanı,środkowy zachód,58
10067,gazeteciler,dziennikarzy,33
8069,meyve bahçesi,sad owocowy,62
626,omurgasız,bezkręgowy,99
2137,motorlu,zmotoryzowany,94
11013,piquet,pikieta,41
7553,biyokütle,biomasa,65
10674,kıyamamak,zapasowy,40
14109,john,jan,9
9773,çöp,śmieci,50
11682,köknar,jodła,36
11956,delik,otwór,27
6540,gizlice,potajemnie,72
3974,firkateyn,fregata,81
536,yoksunluk,abstynencja,99
12553,bu sırada,tymczasem,27
