ID,TURC,RUSSIAN,INTERVAL
14400,çabalar,усилия,7
10643,çavuş,закручивать,39
14414,yapamamak,не могу,11
7346,helyum,гелий,62
7400,archie,арчи,62
12541,hafta sonu,выходные дни,22
11017,kuzgun,ворона,27
3376,kesici,резак,80
7928,nebula,туманность,58
1955,lexic,лексик,88
12692,samuel,самуэль,22
311,sari,сари,97
7727,napoli,неаполь,61
586,sansürsüz,бесцензурный,99
10895,milis,милиция,35
2388,yeniden tanıtılan,реиндуцирован,78
12005,garip,странный,25
2959,hobiler,увлечения,58
8798,tanıklık,свидетельство,48
12488,ilgisiz,не связан,24
2946,keçi,козы,45
4990,çeneler,челюсть,59
14334,amerika,америка,5
8126,imza,автограф,51
10452,kalkış,вылет из,39
7212,tartmak,весить,45
2267,aşınmış,eroded,82
2984,cong,коврик,88
11538,sistematik,систематический,28
12512,seyretme,watching,12
7585,gergedan,носорог,62
12424,gece yarısı,полночь,25
14286,miktar,количество,7
8751,akor,acor.,54
2446,remus,ремесла,90
13259,dizin,показатель,16
11057,sakal,борода,34
4773,sardar,сардар,78
10243,belfast,белфаст,42
7932,rube,побуждение,59
567,jacobit,якобит,97
4319,demeter,демтер,81
11071,patlayıcı,взрывной,18
11425,canberra,канберра,34
5299,yanlış davranmak,проступок,76
6586,insan gücü,рабочая сила,68
10098,anal,анальный,43
8610,üzüm,виноград,44
492,kabızlık,запор,96
8344,devlet çapında,пособие,57
1698,deniz yosunu,морские водоросли,94
5472,açıklayıcı,пояснение,75
5094,aden,arten,77
12140,bira,пиво,27
6518,puritan,пуритан,62
11403,uzman,эксперт,24
11232,şiddetli,жестокий,33
3615,tarantula,тарантула,85
14254,işletim sistemi,операционные системы,28
162,kana,кана,99
11414,yağma,рейде,25
9277,yaratılış,генезис,50
10951,diz,колено,35
6896,kuşkusuz,по общему признанию,66
11192,moonriker,лунный,36
9665,kurtarmak,восстанавливаться,20
11434,metil,метил,33
6791,ritmik,ритмичный,66
8889,koala,коала,52
1613,ceylon,цейлон,94
6305,sprey,спрей,59
13926,eşit,даже,7
9405,lester,лечень,49
14000,kullanıcı,пользователь,5
4026,yörünge,траектория,73
10890,einstein,эйнштейн,38
8111,epistle,послание,57
3962,handel,уборка,83
6453,haiku,хайку,69
9498,ain,аин,48
13720,ilerlemek,продолжить,11
14069,kanun,закон,8
11322,julius,юлий,35
10082,yunus,дельфин,25
14478,analist,аналитик,46
865,fosfodiesteraz,фосфодиестераза,97
2374,cupcake,кекс,90
1000,audubon,аудебон,97
7411,letonyalı,латышский язык,62
5388,gayret etmek,стараться,67
9716,kar fırtınası,метель,46
10388,eyaletlerarası,межгосударственный,41
8393,sabit,стационарный,56
14293,kaliforniya,калифорния,10
7227,fabian,фабиан,63
13530,çalı,куст,13
6500,hidargo,идальго,68
8133,pegasus,пегас,58
10818,meta,мета,38
6012,tibia,голенина,71
5990,espresso,эспрессо,71
742,phoebe,фити,98
14489,sayılar,числа,7
9803,en önemlisi,главное,46
9361,yak,як,49
11041,norseman,нормин,37
1237,çok iyi,ужасно,22
4978,tungsten,вольфрам,78
13777,ispanya,испания,12
10332,floransa,флоренция,42
248,calvary,голгори,100
10097,eskort,эскорт,36
9509,vanessa,ванесса,48
10948,varşova,варшава,38
1451,osteoloji,остеология,95
8075,sünger,губка,58
11169,belediye,муниципалитет,25
13615,tagalog,тагалог,12
4575,biatlon,биатлон,80
11126,sinsi,подлый,36
13133,çekişme,дебаты,15
6916,boer,бур,63
10656,kazara,случайно,35
11426,trojan,троян,22
2359,en komik,забитый,91
5252,iğneleyici söz,сарказм,76
8710,cesaret,храбрость,50
7201,elijah,илия,63
12775,çocuk,дитя,16
2077,azgın,роговой,92
3616,iç çamaşırı,нижнее белье,77
12351,örümcek,паук,25
10830,üreticiler,производители,21
10804,teslim,сдаваться,28
3288,kurtarma,спасение,65
967,hispanik,латиноамериканцы,58
9001,borç,заем,42
3132,montague,монтегю,88
12857,tanım,определение,14
9823,petrol,нефть,46
4868,üniter,унитарный,78
6344,çırak,ученик,68
13405,ragbi,регби,15
3400,kaslar,мышцы,36
4266,primus,примус,82
4439,devlet adamı,государственный деятель,81
13411,köprü,мост,13
1754,mnemonik,мнемонический,90
4241,kraft,крафт,82
9155,jackass,охванитель,50
6007,longshore,договориться,71
5999,homurtu,ворчание,70
10776,hayal etmek,представлять себе,31
13556,asil,королевский,12
1860,musher,мушественность,73
4683,bonuslar,бонусы,79
5987,filigran,водяной знак,64
4694,vandalist,вандалистический,79
5756,vp,вп,73
7438,giuseppe,джузеппе,62
3046,file,fila.,88
10535,taşınabilir,портативный,40
12436,rahatlama,облегчение,24
11497,normandiya,нормандия,33
8899,öğretilen,учил,52
6048,fransız,француз,71
14518,teslim olmak,урожай,38
4409,bethel,ветль,81
7246,en yeni,новейший,63
10369,cebir,алгебра,39
11265,kuzey kutbu,арктический,35
11680,salem,салем,31
6802,çok uluslu,многонациональный,66
4802,gitaristler,гитаристы,30
6186,campeche,капеч,70
10588,zımba,шлифы,38
1463,kınanmış,выговор,79
4418,springbok,газель,67
7757,romantizm,романтизм,60
13568,minnesota,миннесота,13
2960,taviz,уступка,65
4560,knot,крючок,80
6815,lute,люте,66
9094,aramak,набирать номер,45
3630,crapper,карабпер,85
13363,lübnan,ливан,15
7536,işlemci,процессор,54
10666,stalin,сталин,38
11924,cinsel olarak,сексуально,18
13871,kullanmak,использовать,5
11982,becerememe,шарить,22
11872,gönüllüler,добровольцы,17
12269,canavar,монстр,24
9899,rover,ровер,33
12830,teker,рулевое колесо,16
1932,midi,миди,92
2811,sidecar,сидячий,88
3279,orada,в нем,87
12587,guru,гуру,23
6988,miyav,мяу,65
3982,bulutlu,облачно,72
14479,takım,команда,7
12201,teğmen,лейтенант,26
13738,jim,джим,12
216,ev yapımı,домодельный,100
890,semantik,семантика,70
13009,arena,арена,18
4427,anlatmak,пересчитать,62
11662,zimbabwe,зимбабве,31
10801,haydut,hayes.,31
12446,yürütüldü,проведенный,17
5598,zorla,принудительно,67
5019,kıvırcık,кудрявый,77
11198,cenaze,похороны,35
919,buffs,бафса,73
8994,kaz,гусь,52
9167,çayır,прерий,49
8989,daha net,яснее,52
4651,servicemen,военнослужащие,80
10004,kült,культ,42
3316,lam,ламп,87
5823,geciktirmek,замедлить,38
1660,sazan,карп,83
12969,gecikme,задерживать,7
14344,mevcut,существующий,8
12959,değer,стоимость,16
14295,takip etme,следующий,5
13112,başkent,столица,12
9532,yeniden inşa etmek,перестроить,48
6309,archimedean,архимедный,70
13163,nükleer,ядерный,17
5825,sürü,стадо,67
3330,çıngıraklı yılan,гремучий,87
851,avukat keeper,виккетщик,98
10676,muhafız,опекун,38
2011,hayal kırıklığına uğratmak,разочаровывать,31
1926,sayım,графиня,93
3348,tezgâh,острие,65
6910,istekli,жаждущий,63
169,diss,дисс,100
9091,sevinçli,радоваться,42
9930,feribot,перевозить,37
7070,silip,вытереть,51
14401,özel,специфический,8
47,spitz,шпиц,100
12455,mühendis,инженер,7
390,omurgalı,позвоночный,91
3772,yürekten,heartand,83
305,ley,лейябрь,95
8523,bon,бон,55
2178,tartışmalı,неутера,90
5425,büyük boynuz,большой рог,75
815,boyun çizgisi,вырез,87
9952,teşekkür ederim,спасибо,45
4692,tost makinası,тостер,76
10644,kiraz,вишня,39
8167,katılımcılar,абитуриенты,51
8598,nil,ноль,52
1035,shreveport,шрифт,97
4406,haşiyeler,маргиная,81
1251,arginin,аргинин,96
53,hilekâr,охватывает,100
1500,muhteşem olarak,впечатляюще,95
10680,yonetmek,постановление,7
8517,iris,радужная оболочка,55
11443,nicholas,николас,34
12194,markalaşma,брендинг,17
3746,drago,драгос,85
4352,palma,палма,81
13067,abi,родной брат,12
8426,newark,ньюарк,56
8011,matematikçi,математик,44
11393,arc,дуга,33
6567,ödünç vermek,одалживать,45
13268,7.,7-й,16
12731,mükemmel,идеально,21
8510,kas,мышечный,55
6384,keyfi olarak,произвольно,69
14041,çoktan,уже,8
12002,pierre,пронзительный,28
10673,braket,скобка,25
8151,buda,будда,58
1944,gut,подарок,93
613,scrutinlied,изуродован,94
13632,forum,форум,12
6382,prof,проф,68
3460,tun,тупица,86
1398,fenil,фенил,95
4326,bunun üzerine,вследствие этого,81
11983,vatandaşlar,граждане,24
4391,su kemeri,акведук,81
12004,seviye,уровни,11
10671,kanlı,кровавый,39
1453,teselli,утешение,95
6524,everglades,эверглейды,68
13306,sox,сокс,16
6491,pod,подпирать,63
1853,uçaksavar,антиайрфф,94
2459,sigaralar,сигареты,49
6871,klon,клон,38
10772,aztek,ацтец,37
12663,çömlekçi,поттер,22
4631,saladin,саладин,80
11236,haksız yere,несправедливо,35
11465,temsil,представление,30
5237,hava mürettebatı,воздушный экипаж,52
14209,eskimiş,старый,10
5830,makat,казенная часть,57
13657,şöhret,умышленность,9
3715,bulaşık makinesi,посудомоечная машина,81
14339,dikkate alınan,обдуманный,5
3101,onaltılık,шестнадцатеричный,88
12637,programlama,программирование,11
1441,aramaiç,арамейский,95
3385,lucifer,люцифер,85
11751,hacim,объем,27
4743,refrase,перефразировать,60
349,angora,ангора,100
12235,hapishane,тюрьма,17
7950,kung,кунгл,59
12415,şafak,рассвет,24
10298,bilim insanları,ученые,32
8121,temsilci,делегирование,25
864,eugenia,евгения,97
6523,bulaşıcı,инфекционный,68
13743,arka,позади,12
1741,himaye,патронаж,94
7578,amelia,амелия,62
9133,bale,балет,51
13028,devre,схема,18
8939,davenport,давенпорт,52
10110,uh,эм-м-м,43
5904,kaldırma,левитация,70
10379,kuraklık,засуха,40
2508,iki hafta,затяжка,88
14211,haftalar,недели,9
949,jeologlar,геологи,76
9652,öngörülen,ожидается,38
9258,incelemek  bulmak,зонд,45
1675,solon,солон,92
7944,tozlu,пыльный,59
11287,kaset,лента,28
2483,loco,локона,81
2184,rad,рад,90
728,dugong,дугонг,97
14419,şov,шоу,7
7695,astronot,астронавт,53
13692,koşma,бег,7
12294,nato,нато,26
10066,kanca,крюк,30
8642,stafford,стаффорд,54
6883,odysseus,одиссей,66
8482,tahıl,зерно,50
7926,sperm,сперма,59
12479,sinameki,сенна,24
8970,convoy,совокупность,47
8485,taş duvar,каменная стена,55
6583,bant genişliği,пропускная способность,66
8881,pulitzer,палитер,53
13242,sa,са,16
3187,süreklilik,континуум,88
8117,anoreksiya,анорексия,58
14059,birim,единица,7
8926,tembellik,лень,52
3027,topaz,топаз,88
11019,değer biçmek,оценивать,20
2120,chitty,церковный,92
6429,yerleştirmek,размещать,10
14106,seviyesi,уровень,11
11908,olağan dışı,необычный,26
5980,vila,вила,71
4562,lupus,лап,80
4716,libra,весы,75
13479,dönüş,перемена,9
785,moa,моа,98
5956,quartet,квартет,70
568,geçişçilik,трансвестизм,99
9408,açık deniz,оффшор,49
1526,fekal,фекал,95
2363,eland,элада,91
6580,ramon,рамон,68
4508,elyaf,степл,55
6337,patates,картофель,39
1654,skrotum,мошонка,94
13897,yapılmış,сделал,5
13532,önceden,ранее,13
1172,kelowna,келоуна,97
896,nemrut,нимрод,97
5159,hileli,мошеннический,74
4859,glüten,глютен,78
9081,tanzanya,танзания,51
1086,yah,ях,97
2853,fourier,фурье,88
10992,giydirmek,носил,38
797,filarmoni,филармония,98
5192,aldolaz,альдолаза,76
1909,hevesle,с нетерпением,93
1161,madeira,мадейра,97
13716,az,меньше,12
12624,kasırga,торнадо,20
14038,bay,мистер,11
10094,evrenin yaratıcısı,демиурге,44
9950,öncü,пионер,36
13975,ikinci,второй,7
8185,kül kedisi,здравоохранение,58
11561,dominik,доминикан,32
4819,piston,поршень,36
11941,wade,уэйд,29
9734,benny,бенни,45
5183,cırtlak,хруст,76
13883,sistemler,система,8
264,hom,хом,100
10152,cep,карман,38
14412,tüzük,правила,7
4144,en geniş,самый широкий,82
12757,jerry,джерри,21
5091,tropik,тропики,9
9530,cenevre,женева,48
11780,lüksemburg,люксембург,30
9165,başak,шип,46
3437,degas,дегово,87
9150,valensiya,валенсия,51
12859,josh,джош,20
9695,adobe,амантик,47
2038,ananda,ананда,92
8398,tesadüf,стечение обстоятельств,39
11119,fi,фигурировать,36
4807,doğurmak,порождать,43
13995,büyük,большой,7
10044,rouge,румяна,38
1883,alanin,аланин,93
9412,vatikan,ватикан,49
9549,otobüsler,автобусов,47
12755,güneybatı,юго-запад,22
12771,hayvan,животное,12
4863,jock,джок,76
3219,fleur,флер,88
6867,küçümsemek,презрение,63
4061,balonlar,надувные шары,41
6779,doku,текстура,59
14382,tamamlamak,полный,8
11064,shawn,шон,37
10350,tasarımcı,дизайнер,10
14407,beklemek,ожидать,11
8462,platon,платон,56
12482,demokrasi,демократия,24
7386,asetat,ацетат,54
13183,konuşlandırılmış,развернутый,13
11709,yakınlık,близость,31
11168,bahane,извинение,34
14394,soru,вопрос,5
8135,kovma,высылка,52
6507,casusluk,шпионаж,68
7560,vaftiz babası,крестный,61
13062,kızlar,девушки,13
11685,collins,коллинз,31
12267,nefret,ненавидеть,23
6972,gurney,герни,65
2137,motorlu,моторизованный,92
11526,mesele,роман,21
1703,tampon lastiği,банджир,94
10760,meyve suyu,сок,38
4788,helas,халас,75
7383,biftek,стейк,62
14354,kadınlar,женщины,11
112,tron,трон,100
10999,bakış açıları,аспекты,26
12048,kurt,волк,28
5115,insansı,гуманоид,74
8364,çekirdek,ядро,56
3954,satirsel,сатирический,54
7088,faraday,фарадей,64
2076,evannelist,евангелист,88
8862,laos,лаос,49
13970,yaptı,делал,5
4365,jagger,джаггер,81
6232,hon,утонченность,70
4237,tae,тэя,82
14117,menzil,диапазон,10
5721,stratus,стратус,73
6821,taranmış,скринированный,19
7940,kathy,каты,59
11018,kelt,кельтская,37
7033,panhandle,панхандл,64
11963,rakipler,противники,22
2128,bongo,бонго,81
9033,lout,леетие,52
13631,portalı,портал,12
7264,gözleme,вафля,60
10838,terminal,терминал,25
9893,heykel,скульптура,44
3281,benzoat,бензоат,87
5121,dietilamid,диэтиламид,77
23,amin,аминь,81
13984,yüzyıl,цент,26
6008,mandalina,мандарин,71
4127,oktan,октан,82
14259,yönetim,администрация,6
11213,astral,астрал,36
7929,incas,инказ,40
4779,antimatter,антивещество,79
4453,spaniel,спаниель,80
1536,accra,аккра,95
13950,kullanma,с использованием,5
6529,devamlı,сочтено,36
13069,gramer,грамматический,18
2205,yeniden okumak,перечитать,88
10954,özetlenen,изложено,30
4967,terapinler,террапины,74
5287,vegancılık,веганство,50
11427,kardeş,сестра,28
5797,yarı iletken,полупроводник,69
8586,yırtık,разорванный,55
4620,tutuklular,задержанные,70
8100,kart,карт,57
1896,cinsiyetçilik,сексизм,93
6596,proto,прото,68
11642,adımlamak,шаг,30
7665,dikkat,остерегаться,61
2181,karmakarışık,сквир,79
5834,gorman,горан,72
11043,çevirmek,переводить,18
8802,yeniden gözden geçirmek,пересмотреть,50
11658,kalan,остаток,31
14378,birimler,единицы,7
3325,bebop,поднятие,87
2431,hukukçuluk,сияние,91
5272,tekrarlanan,воссоединиться,66
3271,kayakçı,лыжник,76
3539,tifo,тиффоид,86
12082,düzensizlik,расстройство,27
1787,apostroflar,апострофы,67
8128,kullanım dışı,недоступен,57
4721,sezon ortası,средний сезон,79
13918,paylaşmak,делиться,6
8760,anabolik,анаболизм,53
976,patavaklar,патриархи,81
656,sporadik olarak,спорадически,66
6026,krishna,кришна,71
3335,sekreterlik,секретариат,87
4828,renget,rgen.,78
9517,vic,вика,48
11859,vegas,вегас,28
11129,daha hızlı,быстрее,36
10268,tamil,тамил,42
6213,alaşım,сплав,63
12945,sınıflandırma,сортировка,16
10221,hoover,пылесос,42
8190,hipopotamus,бегемот,58
12008,rulman,несущий,12
7241,dunk,замочить,59
5439,kargaşa,смятение,73
6180,boşluk,свободные места,63
4358,soya,соевый,81
9494,başıboş dolaşmak,нечеткий,43
8715,kumar,играть в азартные игры,40
13045,disko,дискотека,18
9581,kaçamak,уклоняться от,40
5691,testosteron,тестостерон,73
6388,yıkama,стирать,43
8178,ihracat,экспорт,38
7948,inf,инф,59
12662,kara liste,черный список,12
10697,lw,промежуток,39
8665,kleopatra,клеопатра,54
12778,ihlal etmek,нарушение,7
2298,hidroklorür,гидрохлорид,91
1939,slough,сражаться,93
7628,alıç,боярышник,43
306,dae,деа,100
562,etekler,предгорья,74
106,baryum,барий,100
6874,silindirler,цилиндры,41
1395,coulee,кулинария,94
12621,yerli,родной,21
11128,dağıtılmış,распределен,20
9510,boru,трубка,39
7390,iyi adam,хороший человек,62
3096,punta,пунда,88
8446,pk,писать,55
14347,çaba,усилие,7
8806,bir şeyin önceden reklamı,спойлер,42
8356,gerilmek,штамм,46
7700,dip,дп,61
1935,antioksidan,антиоксидант,91
7880,dpt,девочка,60
5865,ünite,унитарен,60
5441,teague,чайник,75
8515,howitzers,гаубиц,32
2360,bracken,борчан,89
588,horde,орда,87
12107,kontrollü,контролируемый,11
6006,neandertal,неандерталь,71
13102,dakota,дакота,18
10493,crosby,кросби,41
2444,nöbetçi,сентиментальный,87
937,chekhov,чехов,97
12878,türleri,типы,7
11857,cihaz,устройство,24
1830,tiyakin,тилацина,94
4503,göktaşı,метеорит,68
5986,monde,монду,71
6661,hemofili,гемофилия,67
14505,adres,адрес,5
9076,tuhaf,причудливый,51
14450,vurmak,ударять,8
11858,yükseklik,высота,22
1572,krater,кратеры,46
13637,mahkeme,корт,12
4099,korint,коренф,83
12737,mülteci,миллер,22
13875,onlara,их,6
7187,söylenti,по слухам,32
4654,persephone,персефона,79
3266,dürtmek,покнуть,71
11618,yorkshire,йоркшир,32
7421,vesta,веста,62
11648,ur,ур,32
9294,izleme,мониторинг,16
2765,smyrna,смирна,89
9101,fişek,фланга,44
5431,kantlamak,kilt.,73
8527,yaratıklar,существа,46
13921,söylemek,сказать,8
4706,silâhsız,безоружным,79
6109,alastor,аластор,71
8840,noktalama,пунктуация,49
6838,bong,бонг,66
5010,chun,чунь,77
3015,huntley,хенлина,88
13700,londra,лондон,12
10972,güçlendirme,укрепление,18
9051,ötenazi,эвтаназия,52
4733,en havalı,прохладный,79
4964,avalon,авалон,78
5873,ılımlı olarak,умеренно,26
10684,christie,кристи,37
5866,tütür,tubman.,72
7488,gönderme,представления,45
14375,yetenek,способность,22
2402,psikiyatri,психиатрия,91
10683,kirpi,еж,39
13814,irade,воля,5
9420,apartheid,апартеид,49
6215,skiltle,добиваться,58
8972,tuzak kurmak,ловушка,34
3487,bukalemun,хамелеон,86
594,monosodyum,моносудий,99
14076,tasarım,дизайн,10
14247,güç,сила,8
10841,şarap,вино,37
12127,korku,страх,22
2156,sızıntı,утечка,40
12422,eğlenceli,веселая,25
1806,depeche,депи,94
2630,homebrew,домашний,90
6764,fin,плавник,61
405,damper,самосвал,100
3629,ashanti,ашанти,85
1694,sabok,смениться,94
7051,yatkın,склонный,64
4513,darby,дарби,80
5572,saygı,увольнение,73
1776,bonk,бонкт,92
5013,abonelik,подписка,64
10742,kürtaj,аборт,35
10057,hackney,ухаживание,44
11263,kapmak,шапка,23
10025,harlem,горема,44
12573,daha kolay,полегче,23
8782,klinik,клинический,44
3092,vanalar,клапаны,47
11451,ikiz,близнец,21
13354,antik,древний,15
5643,karboksi,карбокси,73
4553,alai,алай,80
12061,herhangi bir yere,в любом месте,28
1680,jainizm,джайзизм,94
3253,psilosin,псилоцин,88
12740,anka kuşu,феникс,22
11735,ta,та,30
4946,yinelenen,подтвержден,57
6208,entropi,энтропия,70
10100,oral,оральный,41
2075,brant,казарка,92
4024,bölünmek,расщеплять,74
13884,üç,три,7
5485,puarren,puerile.,74
11383,bolca,множество,33
2409,akupunktur,акупунктура,91
10310,gizem,тайна,34
14131,zamanlar,раз,5
6629,bolşevik,большевистский,59
2519,en yoğun,насыщенный,90
632,belirlenmiş,надуманный,96
12153,tatmin etmek,удовлетворять,15
10509,şarkı söyleme,пение,28
6639,stratejiler,стратегии,31
3880,amal,амаль,84
3229,sırtlan,гиена,88
3402,harrow,борона,83
13810,bt,это,5
7728,kızarma,промывка,51
12618,kablo,кабель,22
7382,sinir bozucu,раздражающий,7
5062,vesuvius,везувиус,77
13370,enerji,энергия,15
13887,arasında,между,8
12191,komedi,комедия,27
8819,kazmak,копать,44
3809,cirrus,циррус,84
10591,gator,гатор,40
13240,missouri,миссури,16
4855,gatsby,гэтсби,78
4199,küçük harf,нижний регистр,82
4623,flauto,флото,80
1597,çürük,синяк,71
12944,yardım eder,помогает,6
11721,rekabet,соперничество,30
5845,mv,м.в.,72
1629,dubleks,дуплекс,92
2938,kavramak,постигать,85
11905,jüpiter,юпитер,29
6739,manâhe,манате,66
6176,şurup,сироп,70
764,mankok,манс,98
6099,vücut geliştirme,бодибилдинг,65
10159,eğitimci,тренер,37
4371,dezavantaj,недостаток,66
10969,gelenek,традиция,17
4460,quakers,квакеры,64
7120,mancınık,trebuchet,64
14166,var,получил,10
3435,skin kafa,скинхед,80
7589,çöplük,свалка,43
4313,hawker,хоукер,81
10179,malik,малик,43
3039,duvarcılık,кирпичная кладка,88
13904,destek,поддерживать,8
2325,bariton,баритон,91
9989,kuzeydoğuya doğru,северо-восток,44
1026,pancar,свекла,94
4746,dx,дх,79
11456,baghdad,багдад,33
1835,topografya,топография,94
11191,seçim,избирательный,31
9354,hakem,судья,30
3613,fetal,феталь,85
3004,burbon,бурбон,86
9413,mango,манго,49
9859,unutulmuş,забытый,45
3974,firkateyn,фрегат,78
9805,garaj,гараж,44
5945,modan,модена,72
10694,cambridge,кембридж,39
12810,i̇sviçre,швейцария,21
8979,sokrates,сократ,51
5836,ispinoz,финч,68
14490,döndü,перевернутый,9
7183,papatya,ромашка,62
4084,fastball,фастбол,82
4334,başlatıcı,пусковая установка,63
1504,kayık,каяк,92
13273,paris,париж,16
7394,istakoz,омар,62
9811,masal,сказки,31
5840,gibberish,гибберти,72
4012,kınama,охватывание,73
7291,sumatra,суматра,63
14222,yakın,около,10
3095,tork,крутящий момент,88
1970,ciltli,твердый переплет,93
5381,tabasco,табаско,75
4662,aşırı dozda,передозировка,75
1402,tamara,тамара,95
12411,dere,ручей,25
7975,üstesinden gelmek,преодолевать,59
4860,giyotin,гильотина,78
234,sırıtış,ухмылка,91
13629,jack,разъем,12
7812,smithers,смитерс,60
8192,flamalar,раковины,49
9646,havai fişek,фейерверк,45
7626,tezahür,проявление,41
14271,gerçekten,действительно,9
5242,monolith,монолит,68
3643,nikaraguan,никарагуань,84
7352,konsorsiyum,консорциум,62
12392,kahretsin,блядь,21
10111,atlas,атлас,43
8099,viski,виски,58
13135,modern,современный,17
9335,yarı yolda,наполовину,49
965,soir,повсегда,97
14511,ayrılmak,оставлять,7
5943,punjabi,пенджаби,72
10674,kıyamamak,запасной,37
9884,onsekiz,18,45
8009,çıplak,голый,35
12244,takmak,аффикс,26
12164,kaldırmak,поднимать,16
14332,ulaşmış,достиг,9
11309,penguen,пингвинь,24
13782,japonya,япония,11
3333,tournpike,тонально,83
5931,sai,сай,72
10448,helsinki,хельсинки,41
4189,fleury,флери,82
1,piperidin,пиперидин,100
11742,imparator,император,29
725,tekstil,текстиль,63
12375,öncelikli olarak,в первую очередь,25
10829,insancıl,гуманитарный,38
5779,sollamak,обгонять,53
717,paspasist,pacifist,95
5824,ıhlamur,липа,72
12166,yanlış beyan,искажение,23
12736,basma,прессование,12
11885,kendi,кенни,30
7225,theta,тета,63
13706,beklenen,ожидал,11
11738,gregoryen,григориан,31
13749,izlemek,отслеживать,10
1405,minerva,минерва,95
14192,kabul,согласованный,11
13506,posta,почта,13
9903,etanol,этиловый спирт,45
3155,önlemler,меры предосторожности,71
13319,tayfun,тайфун,15
9919,bart,барт,45
12865,iddia etmek,утверждать,15
7251,atop,атоп,63
11956,delik,дыра,23
7464,leningrad,ленинград,62
14012,belki,мощь,6
1898,eyer,эйт,93
9858,sandviç,сэндвич,43
7551,zulüm,жестокость,62
10420,dwight,днуйт,41
9926,alpin,альпийский,45
1194,tantana,фанфон,97
5216,brutus,брут,76
8329,gücenmiş,обиженный,25
3942,sömürülen,эксплуатируется,42
14237,bilinen,известен,9
11070,kanıtlanmış,доказано,36
1120,mürekkepbalığı,каракатица,97
4646,referans,направления,75
13285,yedinci,седьмой,16
518,yutulmuş,проглотил,61
6224,hamamböceği,таракан,70
12095,koalisyon,коалиция,27
9037,talep etmek,требовательный,20
1685,phallus,фаллос,94
4975,teşhis,диагностика,78
12943,kimin,чья,20
7233,kapitalist,капиталист,60
9222,sineklik,штраус,50
13702,kazanan,победитель,10
365,macaque,макака,99
9199,yıldız işareti,звездочка,48
12762,kartal,орел,14
1044,sağlıksız,нездоровый,97
8933,takım arkadaşları,товарищ по команде,30
12668,terry,терри,22
3522,hwan,хван,86
14148,önerilen,предложенный,10
7647,adventist,адвентист,58
2473,yapıştırıcı,клей,74
936,lair,логово,97
11666,çalınması,кража,31
4592,canı yanmak,болит,35
706,su üstünde,на плаву,98
9610,yorumlanmış,интерпретировать,18
10001,öz,аннотация,41
7865,metafor,метафора,54
14133,hayat,жизнь,10
11802,kapasite,емкость,29
