ID,TURC,CHINESE,INTERVAL
12522,yanıltıcı,误导,23
14296,bitti,结束,7
7545,kova,水瓶座,62
9433,ark,方舟,49
1009,pratik olmayan,不切实际的,96
4919,pericles,佩里里利,79
10752,maillot,ma,39
7493,duş,淋浴,48
9284,başarısız,不成功,45
12341,hafıza,记忆,13
3387,yazıtlar,铭文,68
677,bona,博纳,98
3961,salaklar,蠢货,50
3324,boller,瓶,88
9164,topuklu,脚跟,45
4285,cynthia,辛西娅,82
9104,patlama,爆炸,27
13309,yönetilen,管理,9
12596,iv,四世,23
2285,spor ayakkabı,运动鞋,89
9636,whitney,惠特尼,48
3921,mff,mfr.,85
4123,solmak,褪色,52
9119,takviyeli,加强,33
5206,çeltik,稻田,75
8008,jd,jg.,60
9947,chaser,追逐者,44
2673,polimerizasyon,聚合,88
8332,intihal,抄袭,53
4717,opal,蛋白石,80
326,aeneas,埃涅阿斯,100
2202,lindy,林迪,92
7586,ahududu,覆盆子,62
13971,oran,速度,7
4303,yeri doldurulamaz,不可替代,80
14364,reagan,里根,35
8300,zebra,斑马,53
13290,anthony,安东尼,16
12533,bire bir aynı,精确的,24
6371,sokağa çıkma yasağı,宵禁,66
14191,proje,项目,7
2791,oynanabilir,可玩,89
8426,newark,纽瓦克,57
7324,ortaya çıkmak,出现,48
9169,acı,苦的,50
2096,ünlem,感叹,91
11996,mühürlemek,海豹,21
5746,loa,遗址,74
6474,artçı şokları,余震,56
2644,güneş kremi,防晒霜,90
11201,ajanlar,代理人,21
12553,bu sırada,同时,24
482,epitaph,墓志铭,99
13779,william,威廉,9
13778,galler,威尔士,11
744,şehir dışı,屋,98
11677,şarkı sözleri,歌词,29
9414,taciz,骚扰,26
12505,robin,罗宾,23
14384,yol göstermek,带领,7
7590,i̇zlandaca,冰岛的,29
14131,zamanlar,时代,5
7241,dunk,扣篮,60
2698,limonen,柠檬烯,89
9503,yemen,也门,49
4902,tampon,保险杠,75
4671,rahatsız,不舒服,79
6586,insan gücü,人手,69
11611,aksine,相反,33
8296,sakatlamak,瘸,57
12231,romanlar,小说,14
13379,silah,枪,12
5018,yetişme ortamı,栖息地,77
8135,kovma,开除,53
5195,titrek,摇摇欲坠,77
10253,logan,洛根,43
7584,airbus,空中客车,62
7149,misyoner,传教士,57
12528,odun,木头,19
8827,peugeot,标致,54
8563,nielsen,尼尔森,56
3463,yumurtlama,ovation.,84
11520,darwin,达尔文,32
11352,ondalık,十进制,31
13796,içinde,在,5
14077,nokta,观点,6
1268,ilave olarak,还儿,96
369,hadron,强子,100
6425,nijeryalı,尼日利亚人,68
11707,paralel,平行线,28
12958,calvin,凯文,19
13639,maalesef,很遗憾,12
10898,lisans,执照,34
3365,kesinti,中断,43
199,gertrude,格鲁鲁德,100
13177,anket,轮询,14
5534,olympus,奥林巴斯,75
3736,abur cubur,小吃,76
6575,tao,涛,64
9118,omega,欧米茄,52
4142,koyu,dark,83
8120,softball,垒球,59
7879,cober,克罗克,61
8702,devirmek,推翻,53
13883,sistemler,系统,8
2234,otostopçu,搭便车,85
6459,pas  paslanma,锈,66
4890,lub,润滑油,79
13656,atlantik,大西洋,12
10184,neon,氖,44
1140,canını sıkma,诱饵,73
5694,swung,摆,75
5790,stoner,斯托纳,72
11007,burma,缅甸,38
8197,mevcut olmayan,缺席的,58
6896,kuşkusuz,不可否认,67
3589,motosikletler,摩托车,26
9257,racer,赛车手,37
5998,eşit olarak,均匀,73
9295,elemek,排除,15
7559,solucan,虫子,62
5193,halüsinojenik,幻突性,69
5682,meme başı,乳头,69
7703,geri dönüşüm,回收,54
14237,bilinen,已知,9
7606,sivrisinek,蚊子,59
13621,vb,等等,12
6353,kilometre taşları,里程碑,50
9139,kelvin,凯尔文,51
3553,colima,科尔玛,87
7844,piper,吹笛者,58
6462,granada,格拉纳达,70
9659,porter,搬运工,47
7557,iyi geceler,晚安,62
9115,yanlış anlama,误解,45
12204,çöp kutusu,箱,27
9857,yayla,高地,33
12590,i̇slâm,伊斯兰教,16
6513,izlenimcilik,印象主义,69
8757,mozart,莫扎特,54
10113,ascidian,阿立迪亚人,44
3418,ormancılık,林业,87
10729,anlatı,叙述,38
3680,hor,鄙视,84
7706,alpler,阿尔卑斯山,57
13291,ulus,国家,7
10709,matematiksel,数学,21
10701,parlak,闪亮的,40
4969,gonzo,冈佐,79
7833,yanlış,mis.,23
10759,katedral,大教堂,38
1547,alem,orgy.,93
14240,grup,组,8
8148,dilenmek,求,48
8410,balmumu,蜡,53
10213,güçlü,强大,43
10853,dekatlon,迪卡侬,38
3242,enfiye,鼻烟,88
7187,söylenti,谣传,32
11892,sözleşmeler,惯例,13
48,matti,哑光,100
12927,alma,接收,6
7393,tasvir etmek,写真,37
11297,katmak,凯特,34
13035,personel,人员,19
6264,optimum,最佳,71
2036,hallo,哈洛,93
4905,kapasitör,电容器,77
12378,onur,荣誉,19
12981,takvim,日程,13
8259,fosilleşmiş,僵化,58
8960,michelangelo,米开朗基罗,53
6564,yoğun,稠密,61
10521,yoksulluk,贫困,41
2165,elektroforez,电泳,92
9429,mayo,梅奥,49
6951,buick,别克,66
5002,poinsettia,一品红,79
6889,romero,罗梅罗,67
5226,hayalet,幽灵,77
11961,bot,靴子,25
11694,taşıyıcı,载体,29
8357,on altıncı,第十六,57
7680,mastürbasyon,手淫,58
6746,mobilya,家具,68
13141,kırmak,休息,13
10491,podyum,领奖台,40
13144,i̇skender,亚历山大,17
13438,edebiyat,文学,14
11361,andre,安德烈,35
12768,flemenkçe,荷兰人,22
5815,dang,登革热,74
7015,tapmak,崇拜,60
11512,hardy,哈欠,32
2345,bir yere,某个地方,91
6773,kromatografi,色谱法,68
13326,hr,人力资源,13
14102,resmi,官方的,9
6632,marsilya,马赛,61
8032,bates,贝茨,58
3088,blender,搅拌机,88
12686,derli toplu,整齐的,22
8381,ömür,寿命,57
10280,filipo,菲律宾人,41
12355,havacılık,航空,25
1916,manifoldlar,歧管,66
6020,quiz,测验,72
1804,çıta,梯,75
12565,ispat et,证明,15
5187,kremlin,克里姆林宫,77
12831,afganistan,阿富汗,21
1875,dimetil,二甲基,93
8057,onaylayan,批准,55
7032,rhodesia,罗得岛,66
13054,tutmak,抓住,12
858,inşaatlar,建筑,5
2259,fiberglas,玻璃纤维,92
9679,zırh,盔甲,21
11619,bulgaristan,保加利亚,32
12700,panzer,帕兹,22
13951,mutlak,必须,7
10864,çıktı,输出,38
10311,dikkatsizce,不平衡,43
13809,itibaren,从,5
9060,kaşımak,刮,39
1061,ıvır zıvır,whatnot.,97
6279,beloruss,布伦斯人,71
3939,biyosfer,生物圈,84
12033,korsan,海盗,18
1231,torchbearers,火炬手,85
11617,santimetre,厘米,32
8963,spite,鄙,52
589,skeet,塞克甜,97
8046,kin,仇恨,59
10541,carroll,卡罗尔,41
4655,revisit,重新审视,64
13785,zelanda,西兰,11
909,su samuru,奥特斯,44
7944,tozlu,尘土飞扬,60
6286,iyot,碘,71
6348,kobalt,钴,70
4474,uykulu,困,81
9116,ayy,哎呀,52
1500,muhteşem olarak,壮观,95
5023,saat yönünde,顺时针,78
730,karpal,腕骨,98
2132,nerede,下落,93
14232,adam,男人,9
6697,kendin,你自己,68
9472,macellan,麦哲伦,49
6647,bilişsel,认知的,62
12450,ördek,鸭,20
4549,fruktoz,果糖,81
5595,iltica,庇护,73
7536,işlemci,处理器,55
272,baler,球员,91
4782,lahana,卷心菜,80
2583,nezaket,善良,13
645,torrens,托伦斯,99
8529,aslat,斯莱特,56
5946,duffy,达菲,73
196,whitworth,惠特沃思,100
13060,soğuk,寒冷的,18
8999,vinç,起重机,51
13145,arizona,亚利桑那,17
4182,brahms,勃拉姆斯,79
3157,mançurya,满洲里,88
12524,julian,朱利安,24
8442,olgunlaşmamış,不成熟,54
3027,topaz,黄玉,88
4244,iş yeri,工作场所,83
883,incece,巧妙的,97
10062,diskalifiye edilmiş,取消资格,43
8137,huggle,hug,59
3758,perseus,佩戴斯,85
880,halojenür,卤化物,95
14472,james,詹姆士,9
10094,evrenin yaratıcısı,贬义,44
6362,beagle,小猎犬,70
13030,katılmış,加入,11
1758,heyecanlı,兴奋,52
8463,afyon,鸦片,57
13538,uyma,遵守,13
6308,karides,虾,71
5349,fışkırtma,喷出,75
14097,toplantı,会议,10
10495,atmosfer,气氛,32
11922,parçalar,件,17
10039,azot,氮,44
7604,jin,斤,62
8642,stafford,斯塔福德,55
704,nacho,纳霍,98
405,damper,泼妇,100
13449,ciddi anlamda,严重地,14
331,tipi,蒂迪,100
6813,aç,饥饿的,67
9125,ahşap,木制的,52
7840,monoksit,一氧化物,61
4150,yenilenmiş,翻新,59
3130,quagmire,泥潭,87
12959,değer,价值,16
4277,ortam,周围的,82
6832,yıkım,拆除,65
8311,aparat,仪器,58
11002,üflemek,吹,30
6068,ısrar etmek,坚持,27
7058,yen,日元,66
6515,yapay penis,假阳具,68
11623,araplar,阿拉伯人,12
716,gelen,inbound.,85
6392,ortaklaşa,共同,70
9680,quidity,本质,48
13552,uygulamak,适用,10
13285,yedinci,第七,16
12669,aktivite,活动,10
3352,perme,烫发,87
10385,büyücü,魔术师,41
9602,altmış,六十,43
2137,motorlu,机动,93
6811,chopin,肖邦,67
12065,spencer,斯宾塞,28
8011,matematikçi,数学家,45
3103,shawnee,肖伊,88
6482,çevrimdışı,离线,69
5324,nana,娜娜,75
11782,marc,马克,31
10652,bebeğim,宝贝,39
11175,çete,暴民,34
5686,lowry,洛瑞,73
13751,belirtmek,表明,9
11055,vesika,肖像,36
11558,kabuk,贝壳,26
3668,şüpheci,怀疑论,56
13090,yeniden atandı,重新分配,18
5835,denizyıldızı,海星,73
643,jirga,吉尔加,99
572,sürüngen,爬行动物,99
9047,planör,滑翔机,47
4444,kiralık,租赁,75
2543,düzleşmek,扁平化,86
7284,tanker,油船,55
12720,at,马,19
9328,linda,琳达,50
4776,sürtük,荡,73
13736,cumhuriyet,共和国,12
14244,araç,方法,8
12200,nispeten,相对地,20
11927,semper,萨默,30
7639,teminat,抵押品,62
10819,marco,马可,39
2554,stetoskop,听诊器,91
10547,kışla,营房,40
1590,yoğunlaştırmak,凝结,51
5965,thrash,捶打,59
5484,süpermarketler,超级市场,61
14079,haline gelmek,变得,8
2650,kripto,加密,90
6779,doku,质地,60
12852,orman,森林,19
9189,fuller,富勒,51
8788,orwell,奥韦尔,54
1931,dolu fırtınası,雹暴,89
12243,russel,罗素,26
1393,penney,帕尼,96
8970,convoy,护航,47
884,godspeed,戈斯顺德,97
13195,kitle,大量的,16
3575,cennet gibi,天上,86
9729,on dokuz,十九,47
13709,tonu,语气,12
12452,yayılmış,传播,22
