ID,DANOIS,KOREAN,INTERVAL
11645,chevrolet.,시보레,30
14193,selvom,그렇지만,9
13770,nok,충분한,11
2360,bracken.,고사리,89
5179,trigonometry.,삼각법,76
12282,helt vildt,미친,25
5176,spalding.,스파링,76
3863,rent vand,깨끗한 물,83
4322,tessellation.,모자이크 세공,77
7977,knude,매듭,27
10498,omskrevet,다시 쓴 것,39
5574,kaj,부두,72
13602,femte,다섯 번째,12
10716,tilfælde,인스턴스,20
11209,ski,스키,26
8469,kolera,콜레라,55
12432,th.,태도,24
12722,mor,어머니,20
2274,uerfarende,무경험,91
13590,mangler,부족한 것,10
43,opkaldelse,국번,98
13285,syvende,제칠,16
6849,heliac.,헬린,65
8605,fraktion,분수,43
10687,opstand,반란,36
4374,svageste.,가장 약하다,80
10826,koral,산호,37
4920,ethylen,에틸렌,77
9882,rammen,뼈대,43
11495,headless.,목이 없는,32
13113,strand,해변,16
7614,interessant.,재미있게,61
13226,frem,앞으로,9
3890,sena.,세나,83
6145,wagga.,와가,69
8503,borgerskab,시민권,54
5643,carboxy.,카르복시,73
7409,bohemian.,보헤미아 사람,58
6212,mikroorganisme,미생물,67
12811,nasa.,나사,20
5466,varmere,온열 장치,71
7820,påmindelse,알림,16
11124,indtryk,인상,21
10185,joshua.,조슈아,41
11255,kemi,화학,34
4988,salina.,살리나,64
13422,joseph.,요셉,14
3849,camilla.,카밀라,83
13046,simpson.,심슨,18
13482,jr.,주니어,13
11888,yahoo,야후,28
1155,gangrene.,회저,97
9767,planter.,식물,15
9074,spredt,뿔뿔이 흩어진,44
1532,kiowa.,키오 오와,95
4698,mete.,재다,73
10888,peaked.,뾰족한,14
6009,godt år,좋은 해,70
3317,apotek,약국,83
686,signatarer.,서명국,88
11560,have på,입다,22
7860,blik,섬광,54
399,bicarbonat.,중탄산염,100
138,furtive.,몰래 하는,97
5509,excentrisk.,별난,48
11535,thai.,태국인,31
3913,doomsday,최후의 일,83
8038,fosfor.,인,57
13228,tied.,묶여있다,10
7283,carom.,캐논,61
12966,uforklarlig,설명 할 수없는 것,19
5828,overbevisende,강력한,52
261,freemasons.,프리메이션,92
2132,opholdssted,소재,92
5721,stratus.,충운,72
11329,syttende,17 세,33
3956,uptown.,주택 지구의,83
2908,neonatal.,신생아,88
6464,auktion,경매,59
8951,husky.,에스키모 개의,31
3888,nylon.,나일론,83
11918,dirk.,단도,28
4583,gant.,빤쯔,79
4406,marginalia.,마르네시아어,80
607,screenwriter.,시나리오 작가,99
8679,omsætning,회전율,34
2624,ensign.,소위,88
8820,amino.,아미노,52
8525,cheshire.,체셔들,54
1430,gratuitous.,그럴 필요 없는,44
7501,realisme,실재론,61
11197,taktik,전술,18
5979,ambitiøs,거창한,69
3345,hykleri.,위선,87
109,tilbagebetale,갚다,90
10271,væsel,족제비,40
8299,pavilion.,누각,53
12936,havn,포트,18
11218,langs med,옆에있다,34
4985,hobo.,뜨내기 노동자,74
8439,elmer.,엘머,55
12817,berlin.,베를린,20
12649,palæstinensisk.,팔레스타인 사람,19
10643,spundet,자은,38
10639,transaktioner,업무,36
6413,lopes.,로프,63
11347,kaldenavn,별명,26
12641,lyse,가볍게 하다,22
3785,midshipmen.,중반 백멘,84
244,spiselige.,먹을 수 있는,97
2206,indviklet,뒤얽힌,87
12195,værdig,가치 있는,26
5986,monde.,몬드,70
2651,hæmoglobin,헤모글로빈,89
2821,dang.,잡스,88
13634,uregistreret,등록되지 않은,12
13628,pol,폴,12
10136,silke,실크,41
4373,metodologi.,방법론,71
7919,halvfjerds,칠십,47
11035,halvtreds,오십,34
11224,vision,전망,32
3404,udslæt,발진,84
6213,legering,합금,62
7823,claire.,클레어,46
5764,nixie.,배달 불능 우편물,72
13056,graham.,그레이엄,18
12336,indvandring,이민,21
13325,forsikre,안전하게 하다,13
8026,hydroelektricitet.,수력 전기,53
12800,skuespiller,배우,17
2170,konsul,영사,61
12169,ma.,엄마,24
6317,fotosyntese,광합성,68
13869,sådan,그런,5
8743,øm,부드러운,47
2049,kwan.,콴,92
12958,calvin.,칼뱅,18
8819,grave,파기,43
11081,hjemsøgt.,유령의,33
9863,mcphail.,맥무페,44
9937,herrer,신사,43
9215,pooh.,푸오,48
10181,sult,굶주림,41
5494,motherfucker.,어리석은 사람,74
10765,neo.,네오,38
11910,optøjer,폭동,15
13462,lincoln.,링컨,14
13203,hr,선생님,16
9226,følelsesmæssig,감정적 인,30
1106,ubrudt,꺾이지 않은,97
7320,defame,퇴화하다,29
13802,med,~와 함께,5
3552,rummelige.,널찍한,86
8074,abbott.,아반,57
217,ballas.,발라스,100
7759,batters.,반죽,38
12541,weekend,주말,21
13952,en del,부분,8
7181,sulfat.,황산염,62
7856,nanking.,남경 무명,59
3688,sind.,신기,84
13597,skud,발사,12
5009,tong.,틀러,74
9429,mayo.,마요네즈,47
1667,imperialist.,제국주의 자의,79
10034,tears.,눈물,33
3852,forgrenet,분기,25
13880,mange,많은,6
5612,pubertet,사춘기,73
10259,tektonics.,건축,38
10456,græs,잔디,39
9757,ombord,배로,45
29,melankoli,우울,100
11882,stanford.,스탠포드,28
8123,økse,도끼,50
9969,skiftet,시프트 됨,17
10324,boeing.,보잉,39
3972,kvartalsvis,계간지,83
7,carbonite.,탄산염,100
10838,terminal,단말기,24
9148,halt.,정지,36
3389,olier,유화,16
13202,vietnam.,베트남,16
13821,det her,이것,5
5571,stadia.,경기장,73
6685,redux.,융자,66
10746,substrater.,기판,34
11557,shakespeare.,셰익스피어,31
5283,pembroke.,펨 브로크,75
11427,søster.,자매,27
4686,hearst.,듣기,78
87,blegning.,표백,38
6850,mold.,곰팡이,55
6263,canary.,카나리아,67
1474,bilby.,빌리,95
11032,strengt.,엄밀하게,36
3014,patrice.,팻레사스,88
10824,barbermaskine,면도칼,37
2675,lousy.,듬뿍 있는,89
1253,poleret,우아한,20
9165,spike.,스파이크,45
12275,mord,살인,19
14246,forsøger,견딜 수 없는,6
8197,fraværende,결석 한,56
8777,taj.,타지,52
8176,komma,반점,48
303,scion.,귀공자,97
13025,oberst,대령,17
13405,rugby,럭비,14
6255,rystede,흔들어서,69
211,vallonien,왈론 사람,100
11163,civilisation,문명,11
12990,dans,댄스,15
10853,decathlon.,십종 경기,37
6757,bagvaskelse,중상,52
6217,equestrian.,승마자,65
9048,youngest.,최연소자,50
7591,overfyldt,붐비는,17
1495,antidisestabrishotorisme,항재성의 항공사,95
12036,samarbejde,협력,12
9598,humor,기분,38
148,forny,개편,70
11066,tilfældigt.,무작위로,36
1030,yarborough.,구점 이상의 패가 없는 수,97
9679,rustning,갑옷,21
7621,sumo.,스모,60
13100,guatemala.,과테말라,17
3360,wapiti.,와피 티,87
9149,ridden,시달린,50
2928,civil,민법상,88
12740,phoenix.,불사조,21
5564,shady.,그늘진,73
8799,beregnet,계획된,27
2300,nix.,아니야,88
830,corral.,가축 우리,95
13364,undskylde,사과하다,6
6073,birch.,자작 나무,70
8556,retsvæsenet,사법부,54
10381,patron,탄약통,36
3937,nedstigning,하강,37
7927,lan.,랜,58
366,tetrahydrocannabinol.,테트라 히드로 카나 비놀,100
3367,puff.,퍼프,70
6388,vask,씻다,41
4141,ultralyd,초음파,82
6354,indirekte,간접적으로,68
3242,snuff.,코담배,87
12016,lager,스톡,24
9235,aurora.,오로라,49
4418,springbok.,남아프리카 사람들,66
7900,albue,팔꿈치,56
10135,versailles.,베르사일,42
8551,plasma.,혈장,54
12534,betragtes,...에 관해서,6
6986,fængslet,투옥되었습니다,45
13616,besøg,방문하다,11
1142,vagthund,지키는 개,95
8687,barsk,암울한,53
9277,genesis.,창세기,49
8798,vidnesbyrd,고백,47
10303,blad,잎,22
12526,svarede,응답했다,11
10932,trekant,삼각형,34
8992,fremdrift,추진 된 것,38
13722,privilegier,특권,11
2389,nekrolog,사망 기사,82
14093,fremtid,미래,8
4450,portage.,운반,80
10789,værktøjer,도구,19
12104,arabien.,아라비아의,27
5874,proteiner.,단백질,29
5091,tropics.,열대,8
7248,berettigelse.,적임,30
2960,koncession,양보,63
11809,kerry.,케리,29
2087,clio.,클리오,92
12837,seattle.,시애틀,20
6138,porto,우편 요금,69
8913,clip.,클립,37
1693,kvalme,메스꺼움,94
3450,footer.,보행인,83
2811,sidecar.,사이드카,88
2777,boomer.,부머,87
372,perks.,특전,97
4863,jock.,조크,76
5543,halvback.,중위,69
2933,dido.,하잘것 없는 물건,88
14153,prøve,시험,5
12819,antage,추정하다,14
13685,påstand,주장하다,9
7086,howdy.,하우스,62
4073,letterman.,레터맨,82
13195,masse,대량의,15
551,drifter.,표류자,98
12035,umulig,불가능한,26
2370,amar.,아마르,91
2150,muffed.,머플,92
12129,vedtaget,채택 된,20
5129,puppetry.,꼭두각시,76
8488,jordskred,산사태,41
4813,flytte,고쳐 놓다,32
1336,latent.,숨어있는,96
2071,melanom,흑색 종,92
7774,brookie.,룩이,59
5602,filnavn,파일 이름,72
9861,humus.,부식질,44
6618,saigon.,사이공,66
10778,provins-,지방민,38
9992,stipendium,장학금,41
3090,mensch.,멘제치,88
5333,gladstone.,글래드스턴,74
2416,congenital.,타고난,89
2925,goldwater.,골드 워터,88
8966,hengiven,저주 받은,41
12320,gloria.,글로리아,25
10533,interface.,상호 작용,38
11375,tackle.,태클,23
10238,chamberlain.,시종,41
6380,spektral,유령 같은,67
11213,astral.,아스트랄,34
3558,formidlet,매개,25
3264,peptid.,펩티드,84
9502,colombian.,콜롬비아 사람,46
2004,skrifttyper.,글꼴,34
6447,borneo.,보르네오의,67
947,cumulus.,적운,97
8617,mufti.,평복,53
13805,ved,~에 의해,5
7946,engros,모조리,58
12807,koblet,결합,12
204,gazelle.,가젤 영양,99
13971,sats,비율,7
2727,astor.,아스토르,88
10279,plaza.,큰 광장,40
2867,overbord.,배 밖으로,88
6117,colossus.,거상,69
946,blenheim.,황금빛 사과,97
8930,garanti,보장하다,33
13573,tit,자주,12
12789,ulykker.,사상자,18
13252,regn,비,14
13144,alexander.,알렉산더르,17
3646,remskive,고패,84
4429,torn,가시,76
12542,fisk,생선,19
1234,formidler.,전반,17
9317,ceres.,케레스,48
2607,randle.,랜더,89
10246,halloween.,할로윈,41
10931,materiel,소성품,37
7998,butch.,못 쓰게 하다,58
8870,uvidende,알지 못하는,50
3457,seprey.,물수리,77
3729,indium.,인듐,84
3685,captives.,포로,52
1271,grådig,탐욕스러운,95
7266,roanoke.,로아 노크,62
12187,topmøde,정상 회담,26
11545,flad,평평한,29
10198,bo.,악,36
8384,milepæl,경계표,46
2231,brownie.,브라우니,88
10818,meta.,메타,37
1499,rogan.,로저트,95
1264,dreamy.,꿈꾸는 듯한,96
7030,sabbath.,안식일,63
10621,søgte,찾았다,38
11446,attende,십팔,32
12314,daglige,일일,25
10530,koordinater.,좌표,21
360,regenerativt,재생생,100
8036,heck.,지하실,57
8205,induktion,유도,44
14195,hellere,꽤,6
5854,icarus.,이카루스,71
1744,kalam.,칼엄,93
10301,karneval,사육제,40
14212,gebyrer,요금,14
12093,ukraine.,우크라이나,27
13658,synes,~ 인 것 같다,9
13485,stemme,투표,10
14076,design,설계,9
10671,blodig,피의,38
6726,indkaldt,소환 한 것,52
7253,at snyde,부정 행위,46
13099,største.,가장 큰,17
11914,birmingham.,버밍엄,28
14224,form,형태,8
14458,tanke,생각,11
7738,unverified.,확인되지 않았습니다,45
1403,manipulations.,조작,38
66,pinpoint.,핀 끝,93
7835,irriteret,짜증이 난,29
13336,oklahoma.,오클라호마,15
12866,ca.,캘리포니아 주,20
5336,loma.,고마이,74
133,zanzibar.,잔지바르,100
13733,klar over,알고있는,12
11441,ruter,경로,16
3988,cytoplasma,세포질,80
2962,søskende,형제 자매,70
5016,antichrist.,적 그리스도,75
7062,hazen.,쇠약해진다,63
13463,z.,지,14
1502,bessemer.,바스 메더,95
2219,uforudsigelige,예측할 수없는 것,88
8781,baas.,바아스,44
5370,flygtige,휘발성 물질,66
3176,eskalering.,차츰 오르는,38
10122,opstår,발생합니다,11
6349,tacoma.,타코마,68
10657,blind,눈이 먼,31
13900,arbejde,일하다,5
681,bode.,보드,90
401,upscale.,고급 스러움,100
3352,perm.,파마,86
7252,outfit,차림새,54
1981,herbicid.,살초제,89
4832,chateau,샤토,78
5891,dinosaurer.,공룡,49
2854,discern.,분별하다,74
3808,uncalled.,부르지 않은,83
594,mononatium,몬로디엄,99
2286,rotor.,축차,89
542,tees.,티즈,66
5445,galaktik,은하계,74
8564,uundgåelig,피하기 어려운,54
661,ringer.,호출자,63
709,trower.,실컷 때리다,85
4078,bellevue.,벨뷰,82
243,grosse.,그로스,33
8728,volkswagen.,폭스 바겐,53
10624,konsolideret.,통합,32
10123,horn,뿔,33
3122,corset.,코르셋,71
9846,bike.,자전거,38
106,barium.,바륨,100
10354,alumni.,동창들,40
4284,stiller.,고장난 사람,81
8137,kram.,포옹,57
1171,trot.,속보,88
9594,nørd,얼간이,42
7170,bearcat.,곰의,53
2633,booster.,부스터,76
2627,harpiks,수지,78
11916,optaget,가득차 있는,24
7416,afskedige,해고하다,26
1980,bufotenin.,부피 테인,93
6177,bigfoot.,큰 발,69
1412,dashes.,대시,45
3796,goblin.,고블린,81
12088,wi.,위자,26
2251,radiocarbon.,방사선 카본,91
8412,gravitation,중력,46
9913,cambodja.,캄보디아,44
9303,lenin.,레닌,47
8504,talbot.,탈봇,54
8633,hvalros,바다 코끼리,53
4438,tuba.,튜바,79
14036,hjem,집,7
9924,arabisk.,아라비아 사람,43
270,proponent.,제안자,71
13346,alene,홀로,15
4378,saxons.,색화물,52
4034,curriculum.,과정,82
11007,burma.,버마,36
1608,vandret,수평으로,55
7899,lindre,완화,26
13630,deltage,참가하다,9
5817,hydroxylase.,히드 록실 라제,71
7131,mescaline.,메스 칼린,63
10736,annie.,아연,38
5167,sant.,산트,76
3529,hydroponics.,수경법,83
13480,detroit.,디트로이트,13
7708,porcupine.,호저,60
11146,indfødte.,원주민,35
10529,pub,선술집,38
815,hals,목선,87
860,analyseret,분석 됨,47
1431,watchers.,관측 자,87
137,porøs.,다공성,100
1824,tømmermænd,숙취,92
12204,beholder,큰 상자,25
2983,kensington.,켄싱턴,88
32,grundsætninger,테이너스,87
13065,over tid,시간 외에,18
12189,parker.,파커,26
8776,mummy.,미라,52
13726,israel.,이스라엘,12
9186,suppe,수프,49
90,emfysem.,기종,100
6669,scramble.,스크램블,49
10823,fokuseret,초점을 맞춘다,28
11924,seksuelt,성적으로,17
13898,virksomheder,회사,9
8156,malm,광석,56
5160,ramt.,맞은,76
8931,barndom,어린 시절,51
5513,intuitiv,직관적 인 것,58
8417,se bort fra det,무시,47
6795,modulær,모듈 형,62
7975,overcame.,지나친,58
13519,ben.,벤,13
2171,forudset,상상했다,87
12125,slot,성,26
6172,dolce.,돌체,69
2583,venlighed,친절,13
2524,tyrant.,폭군,84
10220,synd,죄,35
4975,diagnose,진단,77
351,pesky.,페살,100
3394,akronymer.,줄임말,59
13071,plukke,선택하다,12
9510,rør,파이프,38
1053,opløselighed,용해도,67
3251,pico.,피코,87
8621,flydende,떠 있는,42
11651,fordel,혜택,7
6829,jockey.,기수,60
10986,hybrid.,잡종,35
8329,fornærmet,기분을 상하게했다,24
9326,litauisk.,리투아니아 사람,47
10745,kongres.,의회의,38
8424,horace.,호레이스,55
5886,skelner,구별,27
3702,dull.,단조롭고 지루한,83
429,anterior.,전의,100
5751,bucky.,버리,72
6808,abby.,애비,65
1684,sunspot.,흑점,91
11279,elementære,초등학교,34
6101,brændvidde,초점,70
12627,francis.,프란시스,22
8441,dorothy.,도로시,55
12547,udveksling,교환,20
1704,gladden.,기쁘게 되다,94
4309,plainfield.,플레인 필드,81
6020,quiz,퀴즈,70
1823,ekspressionisme.,표현주의,93
1682,interviewere,면접 조사자,86
10803,smag,맛이 나다,34
6773,kromatografi.,색층 분석기,65
7032,rhodesia.,로도디아,63
14237,kendt,모두 다 아는,9
6470,beriget,확고히 하는,62
11677,sangtekster,가사,28
938,aum.,애자,97
2750,batten.,잔뜩 먹다,88
4459,piranha.,피라 냐,77
3243,grundy.,그린디,87
1833,barbarisk,야만인 같은,83
10474,lig.,사유,39
13439,soldater,군인,12
9966,genoptag,이력서,28
8782,klinisk,객관적인,42
12460,wilton.,윌턴 양탄자,23
5195,rystende,흔들리는,75
6042,motocross.,모토 크로스,70
9917,aleph.,알레프의,44
4096,anæmi.,빈혈증,82
12167,delta.,델타,26
14274,gik,갔다,10
13360,tigre.,호랑이,12
10083,strå,빨대,41
11070,bevist,입증 된 것,35
7643,oasis.,오아시스,60
12260,panda.,팬더,25
5199,pedel,관리인,75
3978,skildpadde,남생이,83
11432,elite.,엘리트,31
386,triassic.,삼중의,100
6511,meerkat.,미어캣,67
2186,shay.,역마차,80
3744,købere,구매자,77
12723,mandag,월요일,21
3694,ridley.,릿리,84
7890,hoy.,외치는 소리,58
14295,følge,수행원,5
4926,pang.,격통,77
8480,implikationer,시사점,39
10832,oversigt,개요,37
1410,cicero.,키케로,95
9010,genstart,재시작,40
899,sort mand,흑인 남자,97
5072,chinatown.,중국인 거리,76
5552,sistine.,슈티 틴,73
1017,slavonic.,슬라브 말,97
7134,huemul.,하프,63
10242,landdistrikterne,시골의,41
7413,spættet,스파졸 칠이났다,62
9400,lang.,랑,48
8472,tifinagh.,티 핀지,55
5424,emory.,유의 한,74
4143,tora.,토라스,80
1170,flammende,타오르는,48
2692,adrenal.,부신,89
10977,ru,거친,33
12960,afgrund,만,19
998,obsidian.,흑요석,97
2475,gitter,격자,86
13530,busk,부시,13
8786,betaling,회비,44
6288,nysgerrighed,호기심,67
6877,bretonium,브레튼,64
10673,beslag.,까치발,24
4443,aquatic,물의,46
9259,vagabond,부랑자,48
4715,hamstring.,햄스트링,78
4833,parramatta.,파라 마타,78
1888,ville ikke.,윌트,93
4569,midt i,...의 듯이있다,79
10884,jord,토양,36
13531,bakke,언덕,12
6134,sie.,시에,69
9772,bullpen.,불펜,44
12739,høre,듣다,17
14019,windows,창,11
8105,bevidst,의식하는,57
3993,dime.,단돈 한 닢,76
5224,sadel,안장,70
1186,sharpie.,샤리,97
14217,en gang til,다시,5
14055,komme,오다,7
12118,dodgers.,다저스,24
9082,fried.,볶은 것,37
8906,hector.,헥토르,51
1029,scud.,휙 달림,91
10534,usammenhængende,일치하지 않는,38
3223,falun.,파룬,87
12510,vare,안건,18
6587,lige så stille,조용히,67
1715,cora.,코라,94
5746,loa.,로아,72
6869,orgasme,오르가슴,63
12617,hjælpe,지원,16
1369,umarkeret,표지가없는,96
3593,samaritan.,사마리아인,83
4424,centaur.,켄타우루스,74
10728,forudsagt,예측 한 것,23
2830,temptations.,유혹,63
160,beskidte.,불결한,100
7855,reno.,리노,59
5947,micronesia.,미크로네시아,71
256,dewan.,이슬람인,100
9111,utility,공익 사업,30
65,tilbageslag,좌절,72
12193,uanset,~에 관계없이,26
9695,adobe.,어도비 벽돌,45
9353,seadog.,물개,48
8313,falk.,배합,56
13087,metal,금속,17
8433,unranked.,언급되지 않았습니다,55
6976,hældning,경사,52
633,atocha.,아토 쉐,99
11240,mills.,밀스,25
10641,rematch.,재 시계,38
3652,atelier.,아틀리에,84
13290,anthony.,앤서니,15
3908,firepower.,화력,83
14445,tests,테스트,5
2463,bashing.,부싱,50
10989,laden,짐을 실은,36
9692,femtende,제 십오,45
733,flanker.,측면 보루,96
10092,salomon.,솔로몬,42
12119,cirkulation,순환,23
10995,dehydrogenase.,탈수소 효소,36
1425,synthesizer.,신디사이저의,41
10611,diesel.,디젤,38
7414,indirekte.,간접적 인,62
1295,salinity.,염분,80
7515,ballad.,민요,55
5322,blond,금발의,61
13783,forvirring,착란,9
9684,parenteser.,괄호,45
7139,augustine.,아우구스틴,59
3325,bebop,벳집,87
13503,hen imod,...쪽으로,12
6835,passover.,유월절,65
8031,cutler.,칼 장수,58
3097,misbilligelse,난색,73
10597,fielder.,야수,38
6643,forsvinde,사라지다,34
370,cingular.,싱귤러,100
13894,disse,이것들,6
8697,bullshit.,엉터리,53
6983,soda,탄산 음료,64
10616,silva.,실바,38
9508,raseri,격노,39
897,behemoth.,거대한 짐승,97
10772,aztec.,아즈텍,36
8172,skildrer.,묘사하다,23
2377,mansignor.,몬시 조사,91
6392,fællesskab,공동으로,68
10731,trist,슬퍼,29
10706,dæk,갑판,37
6347,dir.,디렉토리,68
30,greaves.,기름 찌끼,100
8715,gambling.,도박,39
2474,tori.,토리의,56
4300,kano,카누,70
1088,feminin,여자 같은,94
9124,tilbagekaldt,회상했다,28
2323,symbiose.,공생,91
1753,zenith.,천정,93
7593,kælderen.,최하부,60
13239,brasilien,브라질,16
3497,hovedlinje.,메인 라인,83
14469,dokument,문서,12
5830,breech.,볼기,56
13308,colorado.,콜로라도,15
13491,potentielt.,잠재적으로,11
9868,regere,군림,34
12350,stående,서 있는,11
8484,dexter.,덱스터의,53
5606,tallahassee.,탈라 해시,73
9004,polytechnic.,공예 학교,50
5567,skrøbelig,부서지기 쉬운,71
9395,anders.,앤더들,48
7077,skandaler.,스캔들,25
10906,midtvejs.,중도,37
4183,pancreas.,콩팥,82
10992,havde på,착색하고,36
5123,albus.,앨범,76
2755,begær,색욕,84
10100,mundtlig,경구,39
6538,arrogant,오만한,59
5271,underdogs.,약자,55
5540,droit.,콧물,68
3009,utilfredsstillende,불명예 스럽다,88
9702,sko,구두,33
11043,oversætte,번역하다,17
2050,warhead.,탄두,75
4853,prostata.,전립선,76
10019,cabot.,캐벗,43
5996,aster.,과,70
8283,fibrose.,섬유증,56
11051,kvæg,가축,36
3575,himmelske,천국 같은,85
12212,colin.,콜린,26
3815,krigsskibe,군함,64
5972,håndvask,싱크대,50
5642,ammonium,암모늄,73
4957,gran.,가문비,76
2202,lindy.,린디,91
9898,last,뱃짐,43
5763,forskydning,배수량,39
8900,honning,꿀,51
3925,gu.,구이,83
11322,julius.,줄리어스,33
2806,lackluster.,부진,88
5973,mater.,정돈,70
3616,undertøj.,속옷,77
1552,dill.,딜,93
9240,breddegrad,위도,47
13700,london,런던,12
9671,opfyldt.,완성 된 것,36
234,grin,이를 드러내고 웃다,91
5838,opad,위로 향하여,61
9523,genindtræde,재료 자,46
14043,problem,문제,8
8107,pistoler.,권총,39
711,disservice.,해,98
5927,hovedpine,두통,66
12667,mandskab,승무원,19
4279,spotlight.,스포트라이트,79
5750,hanna.,한나,72
13020,aftale,합의,17
9806,opt.,고르다,35
9408,offshore.,난바다 쪽으로 부는,48
3154,upåvirket,영향을받지 않아,88
8550,tilflugt,피난,53
10628,undervisning,가르치는,28
2775,antikviteter,antics.,87
994,slaver.,슬라브,89
12337,indstilling,환경,9
13245,jason.,제이슨,16
12621,hjemmehørende,토종의,21
7929,incas.,잉카,38
3411,polyester.,폴리 에스테르,84
13076,samfund,사회,17
7295,spokane.,스포 캔,62
1974,maulana.,마운나,93
11789,skuespillerinde,여배우,28
1931,hailstorm.,우박,88
3280,glycol.,글리콜라,83
895,pode,부정 이득,89
384,puri,푸리,100
7853,varsity.,대학,59
2978,siena.,시에 나,88
12746,ankom,도착했다,14
12054,dukker.,인형,22
14116,juni,6월,6
8277,dental.,이의,56
100,humpback.,곱사등,100
14465,forening,협회,10
7185,lava,용암,62
12717,sende,보내다,15
9872,homoseksualitet,동성애,35
5110,hindring,장애,61
1557,beamer.,비머,95
13974,forenet,연합,6
5444,kvasi.,quasi.,74
2358,afsaltning,탈염,90
