ID,DANOIS,JAPAN,INTERVAL
6874,cylindre.,シリンダー,40
9104,blasts.,爆発,26
7098,dix.,ディックス,63
12920,quebec.,ケベック,19
4428,merovingian.,メロビンディアン,80
10442,terrier.,テリア,39
12863,udfordring,チャレンジ,12
1857,beklædning,衣服,93
8058,grenada.,グレナダ,57
5477,mime.,マイム,73
13722,privilegier,特権,11
13367,6th,第6回,14
12678,buchanan.,bu,22
7718,modsigelse,矛盾,33
3539,tyfoid.,腸チフス,86
203,fodarbejde,フットワーク,100
5826,dominique.,ドミニケ,72
7783,raphael.,ラファエル,59
7452,milky.,乳母車,62
6852,demobilisering,不動産,52
1225,milla.,ミラリー,96
13974,forenet,ユナイテッド,6
8424,horace.,hor hor,55
8089,lars.,lar lar,45
6575,tao.,芋,62
13072,bølge,波,15
13440,uanset hvad,なんでもいい,14
9456,medvirkende,楽器,25
11511,fløde,クリーム,32
3525,goran.,ゴラン,86
9809,finger,指,31
5499,beaumont.,ビューモント,74
11690,harvard.,ハーバード,30
13477,philadelphia.,フィラデルフィア,13
12666,mytologi,神話,21
1009,upraktisk.,非難,95
3036,pretoria.,プレトリア,88
8150,fixture.,備品,41
8256,garth.,ガース,56
2812,altercation.,alter alter,86
1767,pensions,前哨戦,61
13392,svar,返事,12
7563,mild,軽度,61
7936,grus,砂利,58
3208,energetic.,元気的な,82
5608,thrashers.,スラッシャー,71
14395,reducere,減らす,16
10811,leonard.,レオナード,38
5807,opretholdt,支持された,72
9532,genopbygget,再建しました,47
367,watchmen,腕時計,100
3565,forvirret,困惑した,42
14190,enten,どちらか,7
473,gimmick.,ギミック,95
12645,efterforskning,調査,15
5158,fiaco.,フィアスコ,75
1373,pethidin.,ペチジン,95
173,cinder.,石炭殻,99
13733,klar over,気がついて,11
223,keeler.,圭殿,100
14277,marketing,マーケティング,12
1542,savant.,守ります,95
1088,feminin,フェミニン,94
3136,roper.,ローパー,87
9437,gateway.,ゲートウェイ,47
6192,sletning,消去,29
11321,trek.,トレッキー,33
10631,downhill.,下り坂,38
7275,kassette,カセット,60
13628,pol,ポール,12
2115,airdate.,気密,89
5732,dumbledore.,ダンブルドア,72
6110,coppa.,コッパ,70
12334,gibson.,ジブソン,25
12859,josh.,ジョシュ,20
2925,goldwater.,ゴールドウォーター,88
6357,farley.,ファーリー,69
12455,ingeniør,エンジニア,7
10002,behandlinger.,イメージ,43
8487,gletscher,氷河,50
1255,maestro.,マエストロ,95
3235,meningitis.,髄膜炎,86
12054,dukker.,pup pup,22
14239,grundlag,ベース,8
8286,låst ude,ロックアウト,56
807,lancelot.,ランセロット,98
13977,vil have,欲しい,5
10574,neptune.,ネプチューン,39
13903,synes godt om,のように,5
130,elektrostatisk,静電的に,89
869,artifact.,アーティファクト,59
6835,passover.,pass pass,65
10632,richter.,リッチャー,38
6711,messier.,メシア,66
9125,træ-,木製,50
8641,fagfolk,専門家,15
9017,søm,爪,29
6587,lige så stille,静かに,67
6222,plutonium.,プルトニウム,69
14504,løber,実行,7
9241,nomen,だれも,49
7352,konsortium,コンソーシアム,61
8395,cafe,カフェ,55
8151,buddha.,仏,57
3288,salvage.,引き上げ,64
5356,shiva.,シバの,75
5747,boucher.,バウチャー,72
11459,amos.,アモス,32
10793,forberedende,準備する,38
7372,symptomer.,症状,58
8593,olivia.,オリビア,53
4796,duet.,デュエット,72
10920,voksen,大人,32
13767,deed.,死亡しました,10
5761,sensor.,センサー,60
4091,radon.,ラドン,82
3853,dihydroxy.,ジヒドロキシ,83
2775,antikviteter,アンティス,87
357,udkast,草案,95
9130,infinitesimal.,微妙な,44
11249,dublin.,ダブリン,34
6696,unsupported.,サポートされていない,64
10487,sammensætning,構成,28
11197,taktik,戦術,18
1618,basalt.,玄武岩,92
10558,kunstig,人工的な,38
7971,sheikh.,シェイク,58
8257,wildlife.,野生動物,56
11663,ghana.,ガーナ,30
47,spitz.,スピッツ,100
2473,klæbemiddel,接着剤,73
10604,handle ind,買い物,23
6466,ovn.,オーブン,62
12522,misvisende,誤解を招くように,22
12011,newcastle.,ニューカッスル,27
13691,kæmpe stor,巨大,12
12421,austin.,オースティン,24
3038,timian,タイム,88
13192,wilson.,ウィルソン,16
502,tantamount.,タンタマウント,99
9666,absurd.,absurd absurd,44
14284,selvom,それでも,5
3197,healthcare.,健康管理,87
13958,måneder,数ヶ月,10
3257,mumps.,モンフル,87
8978,kork,コルク,49
3024,lehr.,リーレーリー,88
10174,livredder,ライフガード,41
10899,metro.,メトロ,33
14152,pakke,パッケージ,19
8606,dybt,深く,53
4623,flauto.,フロルト,79
6668,verdi.,ヴェルディ,66
3912,effigy.,eff eff,79
11778,uegnet,不適切な,29
12390,nova.,ノバの,24
3577,bytte,pre,82
7074,mormoner.,モルモン,31
1415,heltinde,ヒロイン,45
7702,castillo.,カスティーリョ,60
1320,legis.,王見,95
14102,officiel,正式,9
1268,såvel,同じように,95
362,diskriminerende,差し控え,100
14511,forlade,離れる,7
860,analyseret,分析しました,47
2324,schwarz.,シュワルツ,91
13468,minister,大臣,13
8101,tiebreaker.,タイ・ブレーカー,57
12929,triple.,トリプル,18
1383,uorganisk.,無機,95
4784,pap,段ボール,78
5555,samsara.,サムサラ,74
6705,aland.,土地,66
10114,landwehr.,land land,42
1853,antiaircraft.,アンチリアラフト,93
11524,erhvervet,獲得しました,22
11506,diameter,直径,31
4154,hegn.,ヘッジ,58
4674,concerto.,協奏曲,77
13179,forbrydelse,犯罪者,10
7606,myg,蚊,57
10796,buddhisme,仏教,38
2469,kapitaliseret,大文字,68
11530,hentes,検索しました,27
2806,lackluster.,lackl,88
8639,stik,刺st,51
8806,spoiler.,ネタバレ,40
3954,satirisk.,sat,53
2323,symbiose.,共生,91
12791,larry.,ラリーリー,20
12164,løfte op,リフト,16
3396,crossbar.,クロスバー,85
13995,stor,大きい,7
10377,partner,相棒,31
1184,roer.,散らす,96
13238,stanley.,スターリー,16
3232,risker,リスク,87
11676,jakarta.,ジャカルタ,30
13512,krone,クラウン,12
3255,zirconium.,ジルコニウム,87
358,infurieret,興奮して,91
13625,klar,クリア,11
4483,manke,manう,75
6994,chevy.,シビー,64
2215,codec.,コーデック,85
2130,interlaced.,インターレース,78
10553,rutherford.,ラザフォード,39
6387,sekulært,世俗的に,60
13168,bombe,爆弾,10
5136,norma.,ノルマ,76
12737,miller.,ミラー,21
11347,kaldenavn,ニックネーム,26
9462,greenwich.,グリニッジ,47
641,bitmap.,ビットマップ,99
117,fluke.,フルーク,98
6319,ekstresist.,極力主義者,56
10401,legetøj,おもちゃ,35
4016,magma.,マグマ,83
8127,sanger.,歌手,18
8945,troll.,トロール,27
7802,cyclonic.,サイクロニック,10
5639,floppy.,フロッピー,72
13773,domæne,ドメイン,11
7712,corvette.,コルベット,58
8938,luge,ハッチ,49
2251,radiocarbon.,放射線カーボン,91
13564,basketball,バスケットボール,12
1636,snell.,鼻息,94
1307,polonium,ポロニウム,95
67,lazier.,ラジエリア,100
12363,korrekt korrekt,正しい,24
6951,buick.,ビュイック,64
3780,forringet,劣った,61
5412,ankara.,アンカラ,74
2331,gander.,狂う,91
5898,marxisme.,マルクスズム,71
2713,berwick.,ベルウィック,89
7473,resultattavle.,スコアボード,60
13573,tit,頻繁,12
12839,forår,バネ,17
2908,neonatal.,新生児,88
11223,somalia.,ソマリア,34
3066,horner.,ホーナー,88
2325,baritone.,バリトン,91
161,bacillus.,バチルス,100
14026,ifølge,によると,9
9608,perfecto.,完璧,46
11367,chokolade,チョコレート,33
5566,coy.,コイ,74
10964,bruge,払う,27
7810,rubicon.,ルビコン,59
1366,crispin.,クリッピン,95
7611,frigjort,unl unl,57
6071,monterey.,モントレー,70
14238,ting,もの,8
10310,mysterium,神秘,33
2246,minnie.,ミネー,91
11055,portræt,ポートレート,34
8043,marian.,マリアン,57
4657,opretholde,穴あけさえ,58
2119,bakersfield.,ベーカーズフィールド,92
10780,teorem,定理,37
7687,macao.,マカオ,60
4769,hårspray,ヘアスプレー,78
1851,motley.,モーリー,93
6839,jameson.,ジェイムソン,65
7345,solidaritet,連帯,62
12782,inline.,列をなして,20
2913,pampas.,パンパス,85
13105,nøjagtig,正確,15
12848,syndrom,症候群,20
4780,reuben,再登録,78
11184,jo.,ジョーリー,35
27,inhibere,阻害する,61
6623,squash.,押しつぶす,63
11288,syracuse.,シラキュース,34
5520,trisha.,三島,74
6315,diocese.,ディベヨ,68
4229,intercept.,傍受,15
7342,keramik,陶器,61
7176,praktisk,便利,43
6177,bigfoot.,ビッグフット,70
6749,meuse.,me me,66
9366,volta.,ヴォルタ,48
7338,tay.,tう,62
6269,kulhydrat.,炭水化物,68
8801,nikkel,ニッケル,50
2269,velcro,マジック,91
4805,fordømme,cond,33
12400,ren,綺麗,18
11536,udfordrende,挑発的,29
13835,who,誰が,6
5154,ubalanceret,不平衡,75
4191,spinners.,スピンナー,53
11712,emily.,エミリー,30
9671,opfyldt.,満足,36
6313,pauline.,パウリン,67
2937,devrimental.,有害な,77
7026,beholdning,在庫,62
6086,wichita.,ウィチタ,70
9340,pee.,おしっこ,47
9677,rhodes.,ロードズ,46
10856,slik,キャンディー,37
4903,reindeer.,トナカイ,77
12598,legende,伝説,20
4692,brødrister,トースター,76
11447,i stand til at,有能,23
6521,australasian.,オーストラリアの,68
9643,dom,判定,43
6591,chimpanse,チンパンジー,64
6627,kaukasus.,カッカス,67
1571,undokumenteret,文書化されていない,94
11451,tvilling,ツイン,21
2098,sort vand,黒い水,92
14058,ved godt,知る,7
3385,lucifer.,ルシファー,84
4806,fyldt,つめた,67
12466,kyle.,カイル,23
4502,starship.,スターシップ,79
5830,breech.,ブリーチ,56
9893,skulptur,彫刻,42
4480,udlignet,均等化された,72
1339,uhørt,unh unh,95
4373,metodologi.,方法論,71
3345,hykleri.,偽善,87
2854,discern.,識別する,75
5933,ansigtsbehandling,フェイシャル,71
13554,værdsat,感謝,9
8041,falske.,ボギュス,57
6547,pasta.,パスタ,67
10998,vast.,広大,36
13240,missouri.,ミズーリ,16
8327,orientering,オリエンテーション,31
183,embankment,盛土,94
13777,spanien.,スペイン,11
8534,plumbago.,プランバゴ,54
12643,inviteret,招待,6
13868,mennesker,人々,7
10458,indvending,異議,12
7719,underliggende,根底にある,56
7503,lily.,百合,60
1834,muckraber.,マックレーカー,90
6132,maggie.,マギー,70
6153,legitimationsoplysninger,資格情報,67
5787,keystone.,キーストーン,71
11814,studier,勉強しました,16
1769,omklassificeret,再分類された,87
14017,drift,オペレーティング,6
12201,løjtnant,中尉,25
890,semantisk,セマンティック,69
11896,ressource.,資源,18
8364,kernen,核,55
14432,forsikring,保険,13
6918,tertiære,而合,65
11241,vred,怒り,34
4650,ita.,それは,79
7487,løg,玉ねぎ,56
2670,mangan,マンガン,89
7211,rejser.,旅行する,16
2751,sill.,寝る,88
3823,outlandish.,ish out,84
1134,myology.,雑音,96
9054,mongoliet.,モンゴリア,50
5160,ramt.,str.,76
10269,grim,醜い,38
11839,propaganda,宣伝,29
12302,chi.,ch,25
8751,acor.,ac,52
3979,torchwood.,トルチウッド,83
3975,teknikere.,技術者,55
12805,flyve,飛ぶ,12
9121,az.,azの,50
4233,errr.,誤る,81
5993,optimering,最適化,50
8449,seismologi.,地震学,53
742,phoebe.,ph ph,98
11096,memphis.,メンフィス,36
3947,ish.,hは,83
7348,forståelse,把握,56
5075,brochure,冊子,72
1200,spiegel.,スピエジェル,96
9845,santos.,サントス,44
12898,utah.,ユタ,19
4503,meteorite.,隕石,68
13670,betingelser,条項,8
11001,fe.,フェール,36
11761,athletic.,アスレチック,12
11785,spartan.,スパルタ,24
23,amen.,アーメン,80
7714,infield.,内野,15
5277,uanset hvad der er,どちらでも,75
7420,brutal,残忍な,46
157,hæftemaskine,ステープラー,100
10713,tunnel,トンネル,34
9262,wrestler.,レスラー,42
5685,tycoon.,大月,72
7220,jill.,欣然たる,62
4956,hestekræfter.,馬力,77
2420,planlæggere,プランナー,81
9392,aerospace.,航空宇宙,48
7247,brøling,とどろいている,48
13972,fil,ファイル,6
3871,forfærdeligt.,恐ろしく,48
127,udvalg,盛り合わせ,81
11888,yahoo,ヤフー,28
1456,hjælpeløs,無力,91
12535,angreb,ass ass,21
10963,frimærke,切手,30
3581,hverdage.,平日,64
13270,social,社交,14
9937,herrer,紳士,43
12706,jesus.,イエス,21
4482,tait.,テイト,80
13585,født,生まれ,12
2977,metropolis,大都市,88
6310,marokkansk,モロッコ語,65
11442,identisk,同一,20
13854,ud,外,6
5283,pembroke.,ペンブローク,75
10956,indies,めちゃくちゃ,23
9055,tordenvejr,雷雨,40
2250,plenarfarligheden.,プレナリー,91
1904,filmskabelse.,映画制作,72
2679,rosalind.,ロザインド,89
7543,hm.,香ばしい,61
14358,udgifter,支出,27
14329,oplade,充電,14
4408,vertex,バーテックス,80
11853,vikings.,バイキング,23
5413,transcendens,超越,68
11708,medium,中くらい,30
3063,safir,サファイア,88
7266,roanoke.,ロアノーク,62
10628,undervisning,teach teach,28
12734,commonwealth.,連邦,21
10531,beirut.,ベイルート,39
9997,piffle.,ピフル,43
13942,sæt,セット,9
62,digger.,dig,89
10539,lære.,教義,38
1988,samarra.,サマラ,93
3764,fennec.,フェンネコ,84
13880,mange,多くの,6
1896,sexisme.,sex sex,93
13602,femte,5番,12
10520,biograf,シネマ,38
1204,sukkerrør,サトウキビ,96
5593,mutation.,突然変異,63
1120,bløddyr,cut,96
333,hikke,しゃっくり,97
4072,blackjack.,ブラックジャック,82
14377,gade,通り,10
2399,synkroniseret,同期しています,67
10692,offentligt tilfredsstillende,public,38
9647,zambia.,ザンビア,46
6078,regneark.,スプレッドシート,68
10987,forretter.,スタート,23
12518,passe,フィット,17
5088,runer.,run,39
10326,nærmeste.,在した,40
14031,tidlig,早い,9
6064,pallas.,パラ,70
5654,sigøjner,ジプシー,67
8686,reaper.,刈取,51
9423,turist,観光客,37
30,greaves.,グリーフ,100
9044,profet,預言者,45
3708,fuselage.,機体,84
13074,laboratorium,ラボ,17
8483,blok,ブロック,54
1930,trældom,束縛,92
13254,asiatisk,アジア人,15
7748,tum.,tum tum,60
9436,københavn,コペンハーゲン,47
11543,regnbue,虹,31
13095,frihed,自由,17
2702,binomial.,二顎骨,89
10884,jord,土,36
8355,uproduktivt,未生産,55
6150,slæde,そりに,68
8011,matematiker.,数学者,43
5043,maltesisk,マルタシー,77
11377,indrømmet,入院しました,23
7189,marina,マリーナ,62
940,testikular.,精巣,97
3127,slør,ベール,70
3240,boldface.,太字,79
10421,matrix,マトリックス,40
13844,to,二,7
4015,charlottesville.,シャーロットヴィル,83
7652,flemish.,fl fl,60
14163,forskning,研究,9
9048,youngest.,最年中,50
12059,marks.,マーク,7
12725,flew.,ぼんやりした,21
2416,congenital.,先天的,89
6101,brændvidde,焦点,70
14065,hårdt,難しい,7
11786,underlegen,浅い,29
8524,kronologi.,年表,38
8060,pacers.,ペーサー,53
6118,novice.,初心者,68
3321,anticyklon,アンチシクロン,79
1660,karpe,鯉,82
3988,cytoplasma,細胞質,80
10710,dusin,ダース,27
4263,hertz.,ヘルツ,81
3472,backfield.,バックフィールド,86
4116,dui.,du du,82
7650,quartermaster.,需品,60
11754,gen.,遺伝子,28
9727,opslag,紀要,40
11588,valited.,unc,31
9313,bokser,ボクサー,46
12819,antage,推定,13
12996,ubrugelig,使い物にならない,18
14272,kampagne,運動,13
14134,ændringer,変更,5
6789,safari.,サファリ,65
13191,dømme,文,12
12594,jose.,j j,22
11203,stolt,誇り,35
4942,glad.,喜んで,77
6122,cavalier.,キャバリア,41
9814,fang.,牙,44
3408,tigris.,チグリス,86
3976,elegant,エレガント,71
8429,kurv,バスケット,52
8110,halvmåne,cr cr,57
11720,opdagelse,発見,26
10103,tråd,糸,37
8253,kiev.,キエフ,56
5137,illuminati.,イルミナティ,76
13285,syvende,第七に,15
837,overvægtig,太りすぎ,98
11758,opvarmning,温暖化,22
7944,støvet,ほこりの多い,58
14195,hellere,それよりも,6
10783,søger,求める,23
2968,agitation,攪拌,67
7540,serb.,セルブ,61
13025,oberst,大佐,17
12190,brandon.,ブランドン,26
3242,snuff.,嗅ぐ,87
2856,forbavsende,ast ast,70
11224,vision,ヴィジョン,32
10383,uofficiel,非公式,38
13951,skal,しなければならない,7
6908,majestæt,威信,63
12203,liberal,リベラル,16
7973,suffolk.,サフォーク,58
13406,dal,谷,14
13832,havde,持っていた,6
10799,ejendomme,プロパティ,18
1884,lupe.,ルペ,93
2538,stedet,lie,90
3295,straffe,罰,21
1086,yah,ヤフ,96
8946,patient,忍耐強い,38
7707,petersen.,ピーパーセン,60
3282,polymerase.,ポリメラーゼ,87
10260,wesley.,ウェズリー,41
7269,koffein,カフェイン,62
11942,mall.,モール,27
7272,græder,泣いて,32
8791,julio.,ジュリオ,52
5432,romano.,rom rom,74
6729,entallig,特異な,61
4924,natal.,nat然,77
10191,nervøs,緊張,41
1497,minutemen.,minut,95
5962,genindføre,復活する,41
1197,dolley.,ドラリー,96
5004,splits.,分割されて,17
7238,bismarck.,ビスマルク,62
11495,headless.,ヘッドレス,32
14341,central,中央,10
654,robble,ローブル,84
9144,plader,板,20
9548,meu.,me,47
7698,carbuncle.,癰,60
13206,bestemme,決定,9
10223,gile.,おばあちゃん,41
6859,beskæftiger sig.,雇う,21
11031,shootout.,シュートアウト,35
4350,baggrunde,背景,16
6367,syfilis.,梅毒,69
1027,placid.,静当した,97
13728,citation,引用,10
14093,fremtid,未来,8
624,seimas.,se se,99
7122,mørbrad,サーロイン,63
8350,ideologi,イデオロギー,42
4166,jousting.,ジュースリング,81
6753,beryl.,ベリル,65
2374,cupcake.,カップケーキ,90
12531,malo.,マロ,23
68,dristly,bold bold,100
6385,asap.,できるだけ速くに,68
5089,tyne.,タイン,56
580,gujarati.,グジャラチ,99
139,assamisk.,居住者,100
1474,bilby.,ビルビー,95
135,custard.,カスタード,100
3921,mfr.,あふれる,83
11299,skyldig,有罪,34
3094,påbegyndt,開始しました,35
3726,champaign.,シャンペーン,84
4013,camouflage,迷彩,77
3483,baronet.,バロネット,78
6497,øhav,諸島,67
6230,frikendt,acqu acqu,68
4451,mangrove.,マングローブ,79
8061,spiste,食べた,56
12810,schweiz,スイス,20
11064,shawn.,覆う,36
10259,tektonics.,テクトニクス,38
2285,sneakers.,スニーカー,88
513,partizan.,百党,99
2173,dehydratase.,デヒドラゼ,91
10802,pizza.,ピザ,38
4619,yr.,歳,71
10400,springfield.,スプリングフィールド,40
10248,fjendtlig,敵対的な,31
8762,alligator,アリゲーター,52
1633,remand.,rem rem,74
2889,mora.,モラの,88
13561,jones.,ジョーンズ,12
6341,hustruer,妻に,69
2178,uncontressirial.,扱いにならない,89
9195,fartøjer,血管,38
7001,chaplin.,chpl,64
14175,holde,保つ,8
6727,tinker.,ティンカー,63
2069,trigonometric.,三角の,92
12554,kennedy.,ケネディ,23
3526,skumfidus,マシュマロ,86
1659,ryger.,喫煙者,79
6226,boca.,ボカ,69
3727,stillestående vand,たまり水,84
11667,cock.,コック,29
9839,engagerende,魅力的,14
9522,dal.,d.,47
4655,revision.,復活させる,62
13124,prod,生産,17
10893,armenien.,アルメニア,37
8998,upåliteligt,信頼できない,50
7808,trey.,トレイ,59
2211,vending,販売会,90
7325,swords.,刀,33
2454,afdæmpet,subued,78
7986,stunned.,st st,42
12103,konvertering,変換,17
4857,skiff.,スカフ,74
6359,reservister.,保護区,65
14157,fuld,満杯,8
1684,sunspot.,黒点,91
7688,zo.,居動,60
4068,bazooka.,バズーカ,82
10107,stammer.,部族,29
8186,emerald.,エメラルド,55
10705,feber,熱,38
710,hesteryg,馬,98
241,upbeat.,up up,100
6756,ultraviolet.,紫外線,65
9844,målmand,ゴールキーパー,42
3332,flatworm.,フラットワーム,87
3089,casper.,カシューター,88
6030,kant.,カント,70
89,wallaby.,ワラビー,76
4994,powerhouse.,パワーハウス,70
2449,bedfordshire.,ベッドフォードシャー,90
9757,ombord,退院する,45
4846,pharmaceutical.,医薬品,66
760,panoptical.,パノプトカリー,98
9884,atten,18,44
7037,løst,解決する,19
7061,lambert.,ランバート,64
5838,opad,上向きに,61
8265,landinger.,着陸,11
8793,dayton.,デイトン,52
5844,piet.,ピエトリー,72
14286,beløb,額,7
13281,primær,主要な,14
13620,afrikaans.,アフリカ人,12
9784,forfængelighed,虚らかい,44
4412,tantalum.,タンタル,80
13870,mest,ほとんど,7
6403,matilda.,マチルダ,68
13768,sig selv,自体,11
7459,ahoy.,アホイ,62
8184,kero.,ケロ,56
9383,messing,真鍮,48
4833,parramatta.,パラマティ,78
8851,blatant.,けいに,51
11781,divisional.,分割,29
10911,hunde.,犬,8
2126,omvæltning,激動,88
12442,fangst,キャッチ,18
5602,filnavn,ファイル名,72
3098,rodeo.,ロデオ,88
14063,afdeling,部門,8
10707,canyon.,峡谷,38
11435,pligter.,義務,18
10656,ved en fejltagelse,偶発的に,33
3264,peptid.,ペプチド,84
14310,noget,何か,7
4818,saul.,サウリ,77
12464,plakat,ポスター,21
13626,human,人間,12
12026,redde,救援,24
12473,simon.,シモン,23
1051,fed skrift,ボルドイン,97
10612,procedure,手順,29
2382,rangoon.,ランゲン,91
8774,freud.,フロイト,52
3146,insulin,インスリン,88
14489,tal,数字,7
7163,alkymist.,錬金術師,62
4899,demografi.,人口統計,77
12516,civile.,民間人,17
1947,rec,議生,91
11616,racisme,人種差別,31
12010,marmelade,混雑する,25
3149,sekston.,西部,88
2404,subkontinent.,亜大陸,91
14155,britisk,イギリス人,9
10217,teen.,ティーン,38
8896,holt.,hol hol,51
13843,alle,全て,6
950,aldrin.,アリン,97
7219,lanes.,レーン,25
7011,grænseværdi,しきい値,63
10902,boykot,ボイコット,35
11004,bernard.,バーナード,36
10524,cube.,立方体,37
13737,joe.,ジョー,12
1821,marsupial.,占いました,93
389,gallium.,ガリウム,100
9904,kontaktet,お問い合わせ,5
13163,atomisk,核の,16
11115,barcelona.,バルセロナ,35
6142,cate.,居,62
1658,nada.,南田,94
13185,patrick.,パトリック,16
13097,kategorier,カテゴリー,6
1567,kilometertal,マイレージ,95
7256,countdown,秒読み,62
4624,grint.,磨く,79
12939,sandhed,真実,18
3060,vinkel.,角に,88
10566,taipei.,台北,39
6985,pika.,ピカ,64
1965,anteater.,ant,91
13413,zone,ゾーン,13
7476,ambrose.,アムブローズ,62
5258,entusiastisk,熱狂的,39
10674,spare.,予備の,36
8760,anabolic.,アナボリック,51
3711,samson.,サムソン,84
6849,heliac.,ヘリック,65
7629,amish.,am,60
7198,recoil.,反動,62
4834,bindi.,バインディ,77
102,printmaking.,刷り立て,100
7897,strandet,str,48
2219,uforudsigelige,予測不可能な,88
10433,natrium,ナトリウム,40
8951,husky.,ハスキー,32
12792,lp.,l,20
10741,indsamlet,集まった,24
5618,fife.,ファイフ,73
12762,ørn,鷲,13
9947,chaser.,チェザー,42
1477,rektor,校長,93
2179,shahi.,太平洋,91
4427,recount.,按ずる,62
13414,kæmper,ファインティング,6
1000,audubon.,オブボン,97
2495,debby.,デビー,62
