ID,DANOIS,POLONAIS,INTERVAL
1986,unexploded.,niedodowłosa,94
4536,hypotetisk.,hipotetyczny,80
5654,sigøjner,cygański,71
13552,gælder for,stosuje się,12
11437,racist,rasistowski,36
10342,dansk,duński,45
2807,app.,aplikacja,91
13073,enkel,prosty,21
10787,middelalderen,średniowieczny,42
2286,rotor.,wirnik,91
2943,mistress.,kochanka,88
11792,slidt,noszony,34
11046,historikere.,historycy,30
8329,fornærmet,obrażony,29
12875,duft,zapach,23
12493,planlagt,zaplanowany,12
9458,grav,grób,41
1314,underernæring,niedożywienie,97
14428,bakker op,wsparcie,10
11129,hurtigere,szybciej,39
8096,omkreds,obwód,61
14175,holde,trzymać,10
8586,revet i stykker,rozdarty,58
7554,grøntsag,warzywo,53
11786,underlegen,gorszy,34
10709,matematisk.,matematyczny,24
2583,venlighed,życzliwość,16
8237,columbine.,orlik,60
11687,scorecard.,karta z punktami,35
7885,buet,zakrzywiony,40
12722,mor,mama,24
3786,rektangulær,prostokątny,87
13910,siden,od,8
1193,z er,zs.,97
2050,warhead.,głowica bojowa,79
4073,letterman.,listonosz,85
13487,kirke,kościół,16
2563,vildsvin,dzik,91
148,forny,rewir,74
13227,produktion,produkcja,9
1250,louder.,głośniejszy,97
8455,etnicitet.,etniczność,28
8451,demonstranter,protestujący,58
10843,tier.,szczebel,40
2985,charitable.,charytatywny,88
12004,niveauer.,poziomy,12
6852,demobilisering,demobilizacja,57
13067,bror,brat,15
4990,kæber.,szczęki,62
12530,hemmelighed,sekret,25
14120,placere,miejsce,6
563,roulette.,ruletka,99
7494,lodge.,wigwam,55
765,loaf.,bochenek,97
1413,tilmelding.,zapisy,69
280,bogie.,wózek,93
13193,brugervejledning,podręcznik,19
12246,hår,włosy,29
14375,evne,umiejętność,26
140,afspilning,odtwarzanie nagranego dźwięku,100
958,cøliac.,celiakiczny,98
11777,licensiering,koncesjonowanie,12
10827,afregning,osada,36
10805,modsætningen er imod at modsætte sig,przeciwnik,19
7424,visdom,mądrość,65
3084,kranse,wieniec,80
14127,punkter,zwrotnica,7
59,brilliance.,blask,99
5497,kirtel,gruczoł,72
2516,innuendo.,insynuacja,88
2319,sway.,kołysać,83
12143,fugl,ptak,28
7967,bevidsthed,świadomość,59
4137,klasseværelse.,klasa,78
8050,gele,galaretka,62
6746,møbel,meble,70
9017,søm,gwóźdź,33
13601,afdelinger.,dywizje,8
684,refereed.,sędziany,26
14009,ydeevne,wydajność,12
14018,nuværende,aktualny,8
12687,jern,żelazo,22
10614,konføderation,konfederacja,26
11451,tvilling,bliźniak,25
4381,cur.,kundel,82
14093,fremtid,przyszły,9
600,nightshirt.,nocna koszula,99
4114,shorthand,stenografia,73
5403,wildfire.,pożar,66
12542,fisk,ryba,23
10657,blind,ślepy,36
8718,hatte.,kapelusze,30
13032,nemlig,dokładnie,21
9678,stabilitet,stabilność,36
2417,chink.,szpara,90
11160,hør efter,słuchać,28
5378,wildcard.,dzika karta,78
6339,udløbet,niewydany,73
6220,mitt.,rękawica,72
4949,anarkisme.,anarchizm,78
5220,simulering,symulacja,41
8417,se bort fra det,lekceważenie,52
12234,langsom,powolny,26
12119,cirkulation,krążenie,27
4846,pharmaceutical.,farmaceutyczny,70
11922,stykker,sztuki,20
14339,taget i betragtning,uważany za,5
6944,afskaffet,zniesiony,62
9751,anklage,akt oskarżenia,44
1236,specs.,okular,66
11800,lyn,błyskawica,33
889,ternary.,potrójny,98
11342,uberettiget,bezpodstawny,38
8519,eksploderende,eksplodować,36
11963,modstandere,przeciwnicy.,25
3598,superscript.,napisany u góry,85
11093,kanon,armata,37
2220,plagues.,plagi,40
2379,fortsæt,trwać,86
881,stardust.,gwiezdny pył,98
11396,springe,pomijać,32
7968,mikrobølgeovn.,kuchenka mikrofalowa,62
6556,sunk.,zatopiony,71
442,tepive.,opróżniać,100
8838,modig,odważny,26
13305,afsnit,ustęp,17
2053,nyse,kichnięcie,87
8399,solnedgang,zachód słońca,59
11749,nøjagtighed,precyzja,34
9712,cirkus,cyrk,50
10183,usikker,niepewny,46
13811,har,ma,5
2852,tarm,jelito,65
12818,nordøstlige.,północny wschód,24
8724,dab.,zimnica,57
7908,zionisme.,syjonizm,62
5333,gladstone.,goguś,78
3600,ængstelig,niespokojny,88
13340,vægt,skala,17
8422,uventet,niespodziewany,60
13106,wickets.,bramki,16
6389,gel.,żel,69
670,holm.,kępa,38
10702,tønde,beczka,38
2598,mesterværk,arcydzieło,85
3429,farce.,farsa,88
12752,sidstnævnte,końcowy,25
6958,immaterielle,nieuchwytny,68
2931,længst,najdalej,90
7163,alkymist.,alchemik,66
5602,filnavn,nazwa pliku,76
9170,bulk,cielsko,54
2720,incendiary.,zapalający,88
12572,rom,rzym,27
10397,ave.,zdrowaśka,44
2936,kammerat,towarzysz,66
11793,underrette,notyfikować,29
10162,vanskeligheder,trudności,35
570,landbrugsjord,pole uprawne,97
9708,descent.,zejście,50
14087,total,całkowity,7
7743,skitse,naszkicować,57
12726,parat,gotowy,23
6967,terrestrial.,ziemski,67
1430,gratuitous.,darmowy,49
8551,plasma.,osocze,59
11418,spejl,lustro,34
3865,melodisk.,melodyczny,86
2111,lymfom,chłoniak,93
10323,gore.,przelew krwi,44
11734,lænke,łańcuch,32
5994,spiritus,trunek,72
4733,coolest.,najfajniejszy,82
13431,rusland,rosja,17
7718,modsigelse,sprzeczność,38
9753,anstændig,przyzwoity,49
13047,filippinerne.,filipiny,16
8167,deltagere,uczestnicy.,55
4605,halskæde,naszyjnik,80
3119,stikkontakt,gniazdo elektryczne,80
7591,overfyldt,zatłoczony,21
5708,komedieserie,komedia sytuacyjna,70
13744,depression,depresja,13
11139,uacceptabelt.,gorszący,38
5889,præster.,kapłani.,46
8985,uddybe,wyszukany,47
6396,premise.,przesłanka,54
1902,moslem,muzułmanin,86
11112,griffin.,gryf,39
12922,bevis,dowód,21
5027,profeti,proroctwo,72
6627,kaukasus.,kaukaz,71
1328,apathy.,apatia,97
2263,vaskerum,umywalnia,93
5934,plausible.,wiarygodny,71
9900,jihad.,święta wojna,48
1285,induce.,spowodować,55
13565,fylde,napełnić,13
9385,corn.,kukurydza,50
1574,voicing.,udźwięcznienie,23
9124,tilbagekaldt,przywołany.,33
2039,bankmand,bankier,85
9247,jenny.,przędzarka,52
12311,skotske.,scottish.,29
10648,optisk,optyczny,38
13987,sag,sprawa,6
3042,jug.,dzbanek,88
2060,aspen.,osika,94
10046,balderdash.,brednie,47
11010,aerial.,antenowy,40
12046,tilstedeværelse,obecność,31
14007,øge,zwiększyć,15
14157,fuld,pełny,10
6935,filosofisk.,filozoficzny,42
11203,stolt,dumny,38
103,coronary.,wieńcowy,100
8872,superstar.,super gwiazda,56
2633,booster.,wzmacniacz,80
11929,citater,cytaty,16
8249,skatter,podatki,28
6285,hæmmer,inhibitor,66
3267,uprøvet,niezrównany,88
6720,akavet,niezręczny,69
3081,trække fra,odejmować,64
8880,oslo.,osło,56
13505,voldgift,arbitraż,16
9502,colombian.,kolumbijczyk,51
7404,håndled,nadgarstek,62
37,rapy.,gwałt,37
13002,franchise.,franczyzowa,21
3112,dandy.,elegant,88
10662,konstant,stale,43
9948,lefty.,leworęczny,48
5109,uspecificeret,nieokreślony,80
9835,forespørgsel,zapytanie,46
6710,gravid,w ciąży,70
2544,ujævn,nierówny,92
12310,stige,wzrastać,23
4024,cleave.,rozszczepiać,77
12739,høre,słyszeć,21
8166,torsk,dorsz,61
5559,eksistentialisme.,egzystencjalizm,73
9968,chili.,czerwony pieprz,48
9594,nørd,nerd.,47
11206,i morgen,jutro,38
13025,oberst,pułkownik,21
8359,mansion,rezydencja,58
1369,umarkeret,nieoznaczony,97
13767,deed.,zmarł,12
10791,fjorten,czternaście,41
5917,udledning,emisja,60
1392,pålæggelse.,nakładanie,97
13951,skal,musieć,8
11938,ost,ser,32
9937,herrer,panowie,48
10678,løfte,obietnica,28
11204,appel,odwołanie,29
13469,give lov til,dopuszczać,11
2596,robe.,szata,83
7165,sædvanlig,zwyczajowy,67
2835,lemmer.,odnóża,74
10559,vælgere.,wyborcy,38
10816,halvkugle,półkula,41
12845,brændstof,paliwo,23
1773,pinky.,mały palec,90
492,forstoppelse,zaparcie,97
12275,mord,morderstwo,23
7293,infangible.,niełamliwy,66
11435,pligter.,obowiązki,21
6315,diocese.,diecezja,72
12918,mål,cel,16
1956,forhandle,okazja,62
11359,tobak,tytoń,38
9416,skewed.,przechylony,49
7853,varsity.,uniwerek,62
12701,glad,zadowolony,25
6516,hydropower.,hydromasaczni,72
11860,warren.,królikarnia,33
11843,ungarian.,język węgierski,32
2972,airman.,lotnik,90
2820,horisonter.,horyzonty,56
13921,sige,mowić,9
14063,afdeling,dział,10
4485,epilepsy.,padaczka,83
12551,jul,boże narodzenie,27
8875,sphinx.,sfinks,56
6741,trappe,schody,66
13012,fortrydt,nie zrobiony,22
4718,fugtighed,wilgoć,82
12777,subst.,substancja,24
4475,scarface.,człowiek z blizną,83
2764,doldrums.,chandra,91
6676,muldyr,muł,62
6487,garnered.,zręczony,50
3738,fiskere.,rybaków,87
9132,erosion,erozja,54
14036,hjem,dom,8
11661,glemte,zapomniał,35
11225,forælder,rodzic,29
12242,koncept,pojęcie,26
8277,dental.,dentystyczny,61
13866,kunne,mógł,8
8761,silicium.,krzem,55
8968,sleeping.,spanie,19
8095,hare,zając,60
8646,atlantis.,atlantyda,58
8160,pythagorean.,pitagorejski,61
4807,spawn.,ikra,46
9996,støt,stale.,48
11847,konkurrerende,rywalizować,26
6217,equestrian.,konny,69
1552,dill.,koperek,95
2733,vvs,instalacja wodociągowa,85
10396,tidligste.,najwcześniejszy,45
11433,ubesejret,nie pobity,37
1686,stå ved,czekaj,95
7675,frowned.,zmarszczył brwi,59
13472,højere,wyższy,16
2332,trillion,kwintylion,91
8841,helhed,całość,57
11426,trojan.,trojański,26
9785,buried.,pochowany,40
6758,utvivlsomt,niewątpliwie,69
7009,raja.,radża,67
10955,deaktiveret,dezaktywowany,38
6437,håndværker,rzemieślnik,72
12728,carter.,furman,25
13756,klippe,głaz,12
8302,utter.,zupełny,55
4236,wandering.,wędrowny,38
12800,skuespiller,aktor,20
11317,banket,zapukany,27
4943,ballade,psota,80
13739,super,wspaniały,13
12553,i mellemtiden,tymczasem,27
4427,recount.,opowiadać,65
1846,eksekutiv,skarb państwa,95
3135,kirurgisk,chirurgiczny,88
14309,personlig,osobisty,6
13131,homoseksuel,wesoły,20
13754,upload,przekazać plik,9
7536,processor.,edytor,58
11546,torden,grzmot,35
14151,syd,południe,9
8776,mummy.,mumia,56
9602,tres,sześćdziesiąt,46
13599,vendt tilbage,zwrócony,11
11732,forbindelse,pogarszać,29
8576,taknemmelig,wdzięczny,53
10593,radikal,rodnik,37
0,intents.,intencje,8
8645,ly,schron,48
8108,kontekstuelle,kontekstowy,60
6466,ovn.,piekarnik,66
6665,indtræden,najazd,62
11369,dedikeret.,dedykowane,34
3095,drejningsmoment.,moment obrotowy,89
4053,billedlig,obrazowy,83
5740,veterinær.,weterynaryjny,76
2969,mallet.,drewniany młotek,88
321,cochlear.,ślimakowy,100
1791,nullification.,anulowanie,95
13467,tilladelse,pozwolenie,16
13335,sjette,szósty,18
5525,trække sig tilbage,wycofanie się,36
2945,hovedtelefoner,słuchawki,83
4761,helix.,spirala,82
5190,gashåndtag,przepustnica,74
10929,kaj.,kuszetka,38
5394,ulogisk,nielogiczny,77
13544,lee.,zawietrzny,16
7922,nødvendighed,konieczność,61
4281,vidner,świadczyć,62
12700,panzer.,pancerny,25
4399,nameless.,bezimienny,83
13690,penge,pieniądze,14
13039,rundt regnet,około,20
14197,plante,zakład,18
1695,langsomst,najwolniejszy,96
5449,idiotisk,idiotyczny,32
13964,fire,cztery,7
1682,interviewere,rozmówcy.,88
3644,nonprofit.,niedochodowy,88
6709,midtfelt,pomocnik,57
7241,dunk.,maczać,62
3641,notesbog,zeszyt,83
6570,forfatterskab.,autorstwo,71
9382,trommer.,bębny,32
13815,eller,lub,5
5340,pjece,broszura,67
14039,imidlertid,jednakże,6
2775,antikviteter,antics.,88
10653,catcher.,łapacz,39
6025,unilateral.,jednostronny,58
1491,sandhedstilstand,prawdomostatność,96
6900,redegjort for,rozliczany,6
10180,albanian.,albański,38
658,extant.,pozostały,99
2406,antisocial,antyspołeczny,93
13353,contrib.,wkładki,18
9567,gimme.,dawaj,51
12869,fl.,flor,23
933,sodomran,sodomy.,98
12954,sølv,srebro,22
1416,piller,pigułki,61
12755,sydvest.,południowy zachód,25
11931,ages.,wieczność,15
13871,brug,używać,5
1478,saltvand,słona woda,96
8904,elizabethan.,elżbietański,56
12621,hjemmehørende,rodzinny,25
3365,afbrydelse,przerwanie,46
12608,ørken,pustynia,25
13854,ud,na zewnątrz,6
10379,tørke,susza,44
1959,krympet,skurczony,94
174,emalje,szkliwo,98
2844,puffin.,maskonur,90
3092,ventiler.,zawory,50
10946,stolthed,duma,40
12711,bus,autobus,23
10940,våbenskjold,herb,38
8127,sanger.,śpiewacy,22
8635,tudse,ropucha,57
13587,martin.,jaskółka oknówka,15
13891,lave,robić,5
3760,eksamener.,egzaminy,67
12303,univers,wszechświat,8
1872,belay.,asekurować,90
11876,genindsæt,reinsert.,10
5784,tides.,płyty,37
12846,udstyr,sprzęt,18
12050,buck.,bryknięcie,29
5644,valtz.,walc,71
14348,at tage,nabierający,5
3399,demonteret,zdemontowany,73
8669,billig,tani,57
13721,bidragsydere.,składnicy.,12
10006,æsel,osioł,47
5189,flair.,talent,79
7060,pipeline.,rurociąg,64
5473,ulighed,nierówność,72
1061,whatnot.,etażerka,97
4826,vildt,wściekle,81
4661,patches.,łaty,34
6033,røveri,rozbój,70
1840,ophævet,unieważniony,88
11059,ugentlig,tygodniowo,40
11969,excellent.,doskonały,27
5360,scurvy.,szkorbut,78
6820,semimonthly.,pół miesięczna,69
12516,civile.,cywilowie.,20
13553,fremhævet,pogrubiony,15
6924,dairy.,mleczarnia,68
13968,ledelse,kierownictwo,11
9987,varemærke.,znak towarowy,45
11636,sammenligne,porównywać,12
4017,solstice.,przesilenie dnia z nocą,83
13254,asiatisk,azjatycki,19
1757,wether.,skop,94
3457,seprey.,rybołów,81
9186,suppe,zupa,54
8339,forfølgelse,prześladowanie,55
12188,ryg,grzbiet,30
6788,fender.,błotnik,66
8906,hector.,zabijaka,56
6831,vedligeholdelse,podtrzymywać,27
11452,almindeligt,równina,29
12470,punt.,barka płaskodenna,24
2465,brudgom,pan młody,79
6641,akin.,pokrewny,70
5140,videobånd,videotape.,68
10737,smerte,ból,34
128,chatter.,gadać,98
7714,infield.,pole bramkowe,19
6728,corinthians.,koryntian,65
9470,isoleret,odosobniony,44
2597,læsere,czytelnictwo,91
13674,masse,działka,13
11407,slået,bity,37
4150,renoveret.,odnowiony,61
1631,vulva.,srom,96
1659,ryger.,palący,83
6156,sympatisk,współczujący,73
4277,omgivende,otoczenia,84
3533,svinefedt,smalec,88
4443,aquatic,wodny,51
7386,acetat.,octan,57
2007,phosphoric.,fosforowy,88
6612,traktor,ciągnik,66
8373,rav,bursztyn,60
7601,ugyldig,próżnia,60
11404,frk,sm,37
7665,pas på,strzec się,64
9483,wolves.,wilki,52
7772,nitrate.,azotan,61
8283,fibrose.,zwłóknienie,61
4378,saxons.,saski,57
5567,skrøbelig,kruchy,76
6907,goo.,maź,69
9062,flaske,butelka,44
12161,risiko,ryzyko,29
14419,viser sig,przedstawia,8
12924,jay,sójka,19
4978,tungsten.,wolfram,80
8969,kompatibel,zgodny,51
1992,gusty.,porywisty,94
5330,memoirs.,pamiętniki,70
13538,overholdelse,zgodność,16
11884,miljø,środowisko,32
12289,palads,pałac,29
6056,gunfire.,obstrzał,74
5184,fabiform.,fabatyk,79
14113,find,znajdować,8
11480,hoveder.,heads.,11
11132,stod,stał,39
6291,undertrykke,stłumić,42
6725,vene,żyła,62
2140,gennemblødt,namoczony,86
3831,dung.,łajno,86
11666,tyveri,kradzież,35
8677,autism.,autyzm,58
2374,cupcake.,babeczka,92
6476,skarpt.,ostro,72
11881,kontanter,gotówka,33
13692,kørsel,działanie,8
9077,negre.,murzyn,50
4162,punitive.,karny,84
7710,udløb,wygaśnięcie,63
13801,sagde,powiedział,10
6780,foreman.,majster,69
14219,øst,wschód,11
10619,enterprise.,przedsiębiorstwo,38
5819,bevarelse.,konserwowanie,32
841,buggy.,powozik,98
10182,navigation,nawigacja,31
6747,fordømt,potępiony,59
8799,beregnet,obliczony,32
14225,hoved,główny,9
2224,kaif.,odrzutowiec,93
13750,mulighed,możliwość,13
10452,afgang,wyjazd,42
3367,puff.,ptyś,75
6251,cyanid.,cyjanek,73
8980,80.,osiemdziesiąt,53
8035,fjern,odległy,62
9393,berygtede,niesławny,51
12235,fængsel,więzienie,20
2766,serfdom.,poddaństwo,91
3761,hastigt,pochopnie,87
12515,kompleks.,złożony,25
12546,betale,płacić,24
3579,culprit.,winowajca,75
2954,laced.,sznurowany,62
1361,nee.,z domu,97
8581,wreck.,wrak,48
298,adder.,sumator,100
4736,aromatisk,aromatyczny,79
6140,clearance.,luz,73
11692,jordskælv,trzęsienia ziemi,15
12358,læge,lekarz,23
9879,krim.,krymski,49
2189,strammere,mocniej,93
1727,penned.,napisany,43
12714,basis,podstawa,25
8621,flydende,ruchomy,47
14053,vest,zachód,10
8604,dygtig,mądry,58
13206,bestemme,określić,11
14023,forskellige,różny,10
1484,jumpsuit.,kombinezon.,96
12133,torsdag,czwartek,31
13079,træ,drzewo,19
5331,deadlock.,impas,70
7828,stativ,statyw,62
5565,overture.,uwertura,74
14044,satser,stawki,7
626,invertebrate.,bezkręgowy,99
1503,cornish.,kornwalijski,96
6590,rubble.,gruz,71
3767,cruising.,rejs,38
5489,pounce.,pazur,69
4687,kantsten,krawężnik,71
3907,overordentlig,niezmiernie,86
9296,flip.,trzepnięcie,45
13734,guld,złoto,13
13330,champignon,grzyb,18
6294,hovedperson,protagonista,65
8170,indsprøjtning,zastrzyk,32
913,kollegieværelse,sala sypialna,88
13,overtrædelse,naruszenie przepisów,100
11498,aviser,gazety.,18
9839,engagerende,ujmujący,17
544,dioxin.,dioksyn,99
13077,inning.,sprzęt zboża,14
2552,uovervindelig,niezwyciężony,89
7820,påmindelse,przypomnienie,19
4284,stiller.,stilcznia,84
7760,murværk,cegły,63
4039,ulastelig,nieskazitelny,85
4532,mindende.,upamiętniający,33
5084,tyve,złodzieje,79
10558,kunstig,sztuczny,42
13591,kontor,gabinet,12
9612,kompliceret,skomplikowany,43
11487,forsvare,bronić,16
3508,zürich.,zurych,88
822,uoverstigelig,nie do pokonania,99
10136,silke,jedwab,46
8976,kitty.,koteczek,54
19,infernalal,piekielny,100
6161,mayan.,majski,69
9584,langvarig,przydługi,51
14173,øget,zwiększony,15
10151,recession,recesja,43
3475,reagerende,reagowanie,49
4548,tangled.,splątany,75
4917,ascent.,wzniesienie się,81
10384,tilbagetrækning,wycofać,30
5240,ringe op,wykręcić numer,79
11569,bebrejde,winić,28
11076,musicians.,muzycy,25
8962,anhænger,zwiastun filmu,50
3006,valmy,mak,88
10928,forhandlinger,negocjacje,29
11251,dværg,krasnolud,37
10760,juice,sok,41
547,heresy.,herezja,98
4059,ombord,na pokładzie,85
9059,vælger,wybór,9
6506,hvorved,w wyniku czego,72
10743,lingvist,językoznawca,35
3956,uptown.,przedmieścia,86
2965,greyhound.,chart,72
14367,billede,obraz,6
2704,advarsel,alarmowanie,31
736,pyjamas,piżama,96
3422,armory.,zbrojownia,85
6652,kridt,kreda,68
12780,cuba.,kuba,24
5630,bemærkelsesværdigt.,wybitnie,28
6420,hodge.,osoba pracująca na roli,72
2760,hagesmæk,śliniaczek,89
11108,scout.,zwiadowca,27
203,fodarbejde,praca nóg,100
7581,slagte,ubój,58
829,mastery.,mistrzostwo,99
10998,vast.,rozległy,40
7509,hekseri,czary,65
4613,komplementære.,uzupełniający,82
10334,titanic.,tytaniczny,27
7896,knust,roztrzaskany,57
9127,tomat,pomidor,50
13933,samme,to samo,9
355,reborn.,odrodzony,100
14413,arbejder,pracuje,5
7838,vane,nawyk,50
12264,kulstof,węgiel,28
12569,jetfly,dysze,22
9281,relationer,relacje,30
7488,indsendelser,zgłoszenia,48
14322,samtaler,rozmowy,5
6583,båndbredde,przepustowość łącza,69
2174,peg.,kołek,73
14137,yderligere,dalej,6
6206,overskygget,przyćmiony,69
6748,genie.,dżin,70
3950,bolster.,wzmocnić,68
2726,frodige,płodny,58
8900,honning,kochanie,56
5337,nål,igła,73
340,bedsteforældre,dziadkowie,82
14485,venlig,uprzejmy,16
8743,øm,miękki,51
1551,engle.,engulować,93
9898,last,ładunek,48
12778,overtræder,naruszenie,7
11491,input.,wejście,35
5282,ordforråd,słownictwo,79
8041,falske.,podrobiony,62
10090,desist.,odstąpić,47
1679,op adhill.,pod górę,96
7920,viewer.,widz,38
2847,collage.,kolaż,90
5882,komprimeret,sprężony,48
11577,fremtrædende,znaczący,31
5279,pendul,wahadło,78
3054,keynote.,myśl przewodnia,89
982,genoprettet,przywrócony,85
9088,vinyl.,płyta winylowa,55
555,freehold.,grunt posiadany na własność,99
1515,chemise.,koszula,91
10780,teorem,twierdzenie,41
11336,trukket tilbage,wycofane,38
7734,læder,skórzany,63
6867,foragt,pogarda,67
2420,planlæggere,planiści,84
1851,motley.,pstrokacizna,94
5052,pejorative.,pejoratywny,78
3695,slumrende,uśpiony,87
3972,kvartalsvis,kwartalny,86
5388,bestræbelse,dążyć,70
14396,påstande,roszczenia,10
2960,koncession,koncesja,68
14065,hårdt,twardy,9
9525,hjemløs,bezdomny,45
5262,rutinemæssigt.,rutynowo.,50
2940,udsætte,odraczać,64
12374,elektrisk,elektryczny,20
11202,panel,płyta,36
3448,pug,mops,84
7892,allieret,sprzymierzyć,21
4294,saks,nożyce,73
11993,invalid.,nieważny,31
6619,conshript.,pobór do wojska,62
6776,morrow.,nazajutrz,69
6180,ledige stillinger.,wakaty,66
12928,blod,krew,22
3186,eloquence.,elokwencja,81
10458,indvending,sprzeciw,13
10562,kampesten,otoczak,43
5358,forfølger,prześladowca,74
6067,blæsende,wietrzny,74
13297,gylden,złoty,19
11627,venter,czekanie,17
3682,ildsten,ognisty kamień,87
5369,modoffensive.,kontrofensywny,69
13384,skære,ciąć,16
14184,væk,z dala,12
2812,altercation.,sprzeczka,88
1634,kiks.,biszkopty,66
11030,indledende,wstępny,39
4144,bredeste.,najszerszy,85
8407,fagot.,pęk,55
8146,i gang,w toku,61
7033,panhandle.,żebrać,67
5780,guldsmed,ważka,76
6885,bowyer.,bić,69
6267,bonde,chłop,56
259,jokingly.,żartobliwie,100
10592,skinke,szynka,42
3235,meningitis.,zapalenie opon mózgowych,88
7721,dommedag,apokalipsa,63
9319,godkende,podpisać się,34
13543,gav,dał,16
2364,firdobbelt,poczwórny,88
6898,ghosts.,duchy,34
3899,grådighed,chciwość,86
9167,prærie,preria,52
11345,tankning,tankowanie,36
1601,drejebænk,tokarka,96
6069,plea.,zarzut,61
9869,ugle,sowa,40
9396,hegn,ogrodzenie,42
11430,trinity.,trójca,37
1150,phenol.,fenol,93
9643,dom,osąd,48
3040,caprice.,kaprys,86
13655,generelt,ogólnie,9
2416,congenital.,wrodzony,91
3173,clueless.,bezradny,89
9811,fortællinger.,opowieści,34
1077,analysere,analizowanie,44
10424,truende,groźny,27
5280,upside.,do góry nogami,78
8867,chilensk.,chilijski,56
9248,opfindelse,wynalazek,34
9601,vejkryds,skrzyżowanie,45
11337,shit.,gówno,38
11393,bue,łuk,36
6093,mayfly.,jętka,74
4549,fructose.,fruktoza,83
7483,yardage.,metraż,65
3908,firepower.,siła ognia,86
9362,kirkegård,cmentarz,52
13619,ledig,do dyspozycji,14
5418,fission,rozszczepienie,77
2301,været i tvivl,wątpliwy,22
3019,vaskepulver,detergent,89
11028,quake.,drżeć,38
11295,forsyninger.,kieszonkowe dzieci,21
6502,overhead,nad głową,71
5237,kabinepersonale,załoga powietrzna,55
5110,hindring,przeszkoda,64
10533,interface.,berło,42
7276,samleje,stosunek płciowy,66
3493,twinkle.,migotanie,88
13929,vej,sposób,8
6275,haitian.,haitański,70
3948,sarkastisk,sarkastyczny,82
9265,retslige,sądowy,52
13715,smith.,kowal,14
5510,koma.,śpiączka,68
8128,utilgængelig,niedostępne,60
2999,gelatin.,żelatyna,89
11050,kapitel,rozdział,34
12236,halvleg,połowa czasu,30
4317,clubhouse.,klubowy,83
7704,vaskebjørn,szop pracz,63
12616,betalingsmiddel,waluta,26
12018,halvø,półwysep,32
