ID,DANOIS,ARABE,INTERVAL
7622,upassende,غير مناسب,62
7584,airbus.,ايرباص,62
13549,format,صيغة,10
3867,freshmen.,المبتدئون,84
7032,rhodesia.,رودسيا,65
9164,hæle,الكعب,44
1803,cowherd.,راعي البقر,93
14208,mark,مجال,8
1506,aegis.,ايجيس,95
4402,busby.,بوسبي,81
1967,nanny.,مربية,93
8642,stafford.,ستافورد,54
1475,macedon.,ماسيدون,95
10450,uhøflig,غير مهذب,38
5311,hovercraft.,الحوامات,76
7040,publikum.,الجماهير,28
6492,mole,رصيف بحري,60
528,hayne.,هاين,99
9630,morse.,مورس,47
11600,forordninger.,أنظمة,23
4271,iba.,إيبا,82
121,stivelse,نشاء,96
922,hustle.,يسرع,88
6296,livsstil,نمط الحياة,63
11993,invalid.,غير صالحة,27
7390,god mand,رجل صالح,62
13575,bob.,بوب.,12
13877,kan,يمكن,5
913,kollegieværelse,المسكن,85
6627,kaukasus.,القوقاز,67
12799,ur,ساعة حائط,19
1670,tater.,تتبع,94
10221,hoover.,هوفر,42
2908,neonatal.,حديثي الولادة,88
74,formørkelse.,eclipsing.,39
13682,carolina.,كارولينا,12
845,glut.,تخمة,96
9549,busser.,الباصات,46
6567,låne,أعار,45
2401,overtrædelser,المخالفات,78
391,afterlife.,الآخرة,100
6787,eksternt,عن بعد,38
5876,mistanker,الشكوك,47
5589,brygning,تخمير,41
3556,udgjorde,الناخب,78
9184,analog,التناظرية,39
11440,ecuador.,الإكوادور,33
9261,nedbrydning,انحلال,43
10904,opbevaring,تخزين,37
10585,kompakt,المدمج,37
11690,harvard.,هارفارد,31
13373,scotland.,اسكتلندا,15
3789,marquee.,سرادق,84
3695,slumrende,في سبات عميق,85
3797,hummingbird.,الطائر الطنان,83
2422,tittle.,ليتل,91
4844,carlin.,كارلين,78
10064,alexandria.,الإسكندرية,43
11585,temperatur,درجة الحرارة,24
5597,booby.,بغيض,65
11037,overflødig,متكرر,34
10877,symboler.,حرف او رمز,19
2921,babu.,بابو,89
11566,bombers.,مفجر,23
13929,vej,طريق,7
1349,arbejdsstation,محطة العمل,87
13317,indiana.,إنديانا,15
7522,sirius.,سيريوس,62
5670,gras.,غرا,73
9321,cornwall.,كورنوال,43
2038,ananda.,أناندا,92
3506,radix.,راديكس,86
13624,uden for,الخارج,12
12234,langsom,بطيء,22
126,janus.,مزدوج الوجه,100
12462,hjørne,ركن,22
3887,casa.,كاسا,73
7135,ligner,يشبه,38
13459,stærk,قوي,14
1659,ryger.,المدخن,80
3192,stricker.,أكثر صرامة,88
109,tilbagebetale,سداد,90
14464,arkiveret,قدم,6
10387,airmen.,الطيارين,41
7364,episcopal.,الأسحق,62
11371,enlisted.,جند,29
11772,brasilianske,البرازيلية,29
13969,styring,يتحكم,11
11613,mos,طحلب,31
13093,argentina.,الأرجنتين,17
1951,moop.,موب,93
5056,ligand.,ليجان,63
5873,moderat,معتدلة,26
4439,statesman.,رجل الدولة,81
9516,madeline.,مادلين,48
6579,kippur.,كيبور,68
11608,frakke,معطف,27
6979,presserende,عاجل,58
2785,newmarket.,سوق جديد,89
6680,fudge.,حلوى,67
7156,nicky.,نيكي,64
7397,tara.,تارا,62
5011,talenter.,المواهب,32
5763,forskydning,الإزاحة,41
7488,indsendelser,التقديمات,44
4099,korinth.,كورينث,83
12402,skyde,اطلاق الرصاص,19
11624,mf.,مهد,31
14512,avis,جريدة,14
13406,dal,الوادي,14
10073,oz.,أوقية,43
9591,gnome.,غنم,46
2108,mitzvah.,ميتزفه,92
14353,beskrevet,موصوفة,9
7322,flora.,النباتية,62
11570,manitoba.,مانيتوبا,32
7199,politibetjent,الشرطي,63
11388,truman.,ترومان,33
196,whitworth.,ويتورث,100
4922,hove.,هوف,78
6023,håndklæde,منشفة,67
11073,pil,سهم,32
10167,kage,كيك,40
3008,stiliseret,منطبق,88
13376,miami.,ميامي,14
4451,mangrove.,مانغروف,80
133,zanzibar.,زنجبار,100
14293,californien,كاليفورنيا,9
5795,woo.,واو,70
4960,vastly.,إلى حد كبير,78
4952,slavic.,سلافية,78
11343,repost.,إعادة نشر,34
5467,nikon.,نيكون,75
10147,beholde,يحتفظ,25
7362,loft,السقف,61
2043,wird.,مداهر,92
10373,swat.,قوات التدخل السريع,41
5484,supermarkeder.,محلات السوبر ماركت,60
8723,slayer.,القاتل,53
10773,donovan.,دونوفان,38
3502,kala.,كلا,86
1441,aramaic.,الآرامية,95
3131,gabe,تثبيث,84
1961,askari.,العسكري,93
12127,frygt,يخاف,22
6237,respektfuldt,باحترام,11
8629,muldvarp,خلد,53
3129,kafka.,كافكا,88
12179,desuden,بالإضافة إلى,27
2122,lancet.,لانسيت,92
11301,fo.,فو,34
2064,coptic.,القبطون,92
2546,nukleolus.,النيوكلوز,90
4282,bland,ماصخ,81
87,blegning.,تبييض,38
970,kalorie,السعرات الحرارية,88
9031,chlorid.,كلوريد,51
569,kendo.,كيندو,99
4902,kofanger,بوم,74
4972,dysleksi.,عسر القراءة,78
3254,garnet.,غلينت,88
751,tarot.,التارو,98
1248,backstage,وراء الكواليس,96
8263,madras.,مدراس,57
12743,max.,الأعلى,21
11389,log på,تسجيل الدخول,33
331,tipi.,تيبي,100
4196,neuron.,الخلايا العصبية,70
4063,killeen.,كيلين,83
647,dalles.,دالس,98
13218,ocean,محيط,15
6238,rekreation,الترفيهية,30
313,karismatisk,الكاريزمية,100
8274,udøde,ميت حي,57
9513,bartlett.,بارتليت,48
4809,smokey.,مدخن,78
5819,bevarelse.,المحافظة على,28
5430,muffin.,الكعك,73
10721,stol,كرسي,33
5640,het.,هيت,73
11070,bevist,ثبت,36
5619,spektroskopi.,التحليل الطيفي,74
9706,moses.,موسى,46
5492,hookah.,الشيشة,74
6616,shrewsbury.,شروزبري,67
5336,loma.,لوما,75
6404,ren.,رن,69
2485,fugtig,رطب,69
14151,syd,جنوب,8
2457,fetch.,أحضر,75
8222,hunde,هون,51
3571,vivian.,فيفيان,85
3961,moroner.,معتولي,49
5033,lessacy.,معرفة القراءة والكتابة,77
3402,harrow.,مسلفة,83
219,boozer.,بوزير,100
4567,cello.,التشيلو,80
14308,j,ي,8
12956,årligt,سنوي,17
2156,lækker,تسرب,39
7641,geo.,جيو.,61
12832,økonomisk,اقتصادي,17
12525,lawrence.,لورنس,23
7260,testikel,الخصية,61
252,parlamenter,البرلمانات,17
390,hvirveldyr,الفقاريات,91
452,durr,حاصر,100
2686,igloo.,المبني القبني,90
4484,gracias.,غراسياس,81
12112,kuwait.,الكويت,27
58,limonade,عصير الليمون,100
1959,krympet,تقلص,93
5374,hula.,حولا,75
13414,kæmper,قتال,7
918,sketchy.,اسكاشة,97
4407,embryonale,الخلايا الجنينية,81
12417,bar,شريط,21
14465,forening,منظمة,10
7748,tum.,توم,61
10053,hulk.,هولك,43
3217,connaught.,كولوت,88
13180,columbia.,كولومبيا,16
8528,cadillac.,كاديلاك,54
187,tributary.,الرافد,90
8407,fagot.,فاجوت,52
807,lancelot.,لانسلوت,98
2821,dang.,دانغ,88
2568,iva.,إيفا,90
2223,veneful.,انتقامي,90
8827,peugeot.,بيجو,53
12921,gået i stykker,مكسور,19
11908,usædvanlig,غير عادي,26
4682,gallant.,الشهم,78
6540,hemmeligt,في السر,68
3331,usikre,غير آمن,87
9948,lefty.,اليساري,44
800,druid.,درويد,88
13076,samfund,المجتمع,17
542,tees.,تيز,67
4109,ester.,إستر,74
13437,te.,تي,14
1887,standstill.,تراوح مكانها,93
7971,sheikh.,الشيخ,59
8015,rabbiner,الحاخام,57
5863,omstrukturering,إعادة الهيكلة,61
2155,chem.,الكيمياء,91
5729,aerodynamics.,الديناميكا الهوائية,59
633,atocha.,أتوشا,99
13345,øve sig,ممارسة,12
8372,macbeth.,ماكبث,56
11354,sudan.,السودان,34
6785,acetyl,أسيتيل,65
8246,funky.,جبان,57
11328,lilla.,ليلكي,34
4693,tegneserieist.,كاريكاتير,67
7288,tailback.,خياطة,62
7762,helena.,هيلينا,60
3206,spænding,تشويق,30
9222,strauss.,شتراوس,50
4575,biathlon.,بياتلون,80
5065,cad.,نذل - وغد,77
6939,aeon.,ايون,63
5532,cypress.,شجرة السرو,74
13653,irak.,العراق,12
9661,spa,منتجع صحي,46
13363,libanon.,لبنان,15
11293,coliseum.,كوليزيوم,34
7802,cyclonic.,سيكلونيك,11
8337,suburban.,من الضواحى,56
7139,augustine.,أوغسطين,60
4725,kr.,كتر,74
7663,radioaktiv,مشع,60
326,aeneas.,اينيس,100
3234,rouse.,تظاهر,78
7589,dump.,أحمق,43
8134,kansler,المستشار,57
6312,sanctuary.,الملاذ الآمن,68
9676,britannica.,بريتانيا,46
12279,forberedt,معد,16
9874,realisere,تدرك,36
14130,leverer,يوفر,6
1100,hum.,همم,93
8760,anabolic.,الابتنائية,53
12670,pixels.,بكسل,21
7243,kiropraktik.,بتقويم العمود الفقري,63
11463,arsenal,ارسنال,30
8761,silicium.,سيليكون,51
10871,forfærdeligt,كريه,33
10441,gabriel.,جبريل,40
6610,mentor.,مرشد,66
5537,soveværelse,غرفة نوم,71
4941,vasketøj,غسيل ملابس,77
2736,quack.,الدجال,88
7761,skelettal,الهيكل العظمي,60
5128,hertisky.,دوقي,74
523,gables.,الجملونات,75
13169,ærekrænkende,التشهير,17
10647,bacquet.,البسكويت,39
7046,wonderland.,بلاد العجائب,64
8814,sawyer.,سوير,52
4469,smykker,مجوهرات,81
7287,forurening,تلوث اشعاعى,46
12992,diagrammer,المخططات,17
3475,reagerende,رد فعل,45
7123,yuan.,يوان,64
6692,orme.,الديدان,46
10318,massa,ماسا,41
2096,udråb,تعجب,90
7615,smiler.,الابتسامات,28
6657,malay.,لغة الملايو,59
12969,forsinke,تأخير,7
2502,pelham.,بيلهام,90
10918,aftermath.,ما بعد الكارثة,37
6453,haiku.,هايكو,69
14075,adgang,وصول,8
5419,meiosis.,الانقسام الاختزالي,75
8580,superintendent.,المشرف,52
12320,gloria.,غلوريا,25
13679,indien.,الهند,12
10175,scorer.,هداف,31
11936,hjerne,مخ,27
9690,hartford.,هارتفورد,46
4309,plainfield.,بلينيلد,81
13178,længde.,الطول,15
12991,dallas.,دالاس,19
3197,healthcare.,الرعاىة الصحية,88
3478,ledsagere.,الصحابة,53
12666,mytologi,علم الأساطير,21
6699,granger.,جرانجر,67
12309,bred vifte,تشكيلة,22
12027,damp,بخار,27
5400,rami.,رامي,74
3755,algoritmer.,الخوارزميات,44
7720,til.,سمسم,61
9815,hængende,شنقا,31
9086,forsvarsmænd,defensemen.,51
8353,fæces.,الفضلات,56
13007,reaktion,تفاعل,17
13800,på,على,5
1504,kayak,كاياك,92
13673,jersey.,جيرسي,12
5073,begrænsninger.,القيود,71
7697,mister.,مستر,61
4286,paganisme.,الباجية,65
8179,bach.,باخ,57
7668,start,نشأه,61
13496,kaptajn,قائد المنتخب,13
7149,missionær,التبشيري,56
9696,hylde,رفوف,46
1591,forløbet,انقضى,92
10332,firenze.,فلورنس,41
2078,nitrous.,النيتروز,92
7042,certificering,شهادة,40
1397,berrier.,بيرير,96
4438,tuba.,آلة توبا,80
5187,kremlin.,الكرملين,76
2608,overstiger,يتجاوز,90
486,soaring.,الارتفاع,70
5229,kaspian.,قزراوة,76
11901,tommer,بوصة,20
13999,linje,خط,8
1564,spearman.,الرامح,95
8839,wont.,متعود,53
4634,quell.,قمع,70
2492,forræder,خائن,76
4147,viadukt.,جسر,78
989,camelot.,كاميلوت,97
9428,rytme,على نفس المنوال,46
7671,økologi,علم البيئة,51
8809,polka.,البولكا,53
4908,unscheduled.,غير مجاد غير مجد,78
4148,roadrunner.,نقار الخشب,74
10006,æsel,حمار,43
4032,reagens.,كاشف,79
13220,udviklede sig,المتقدمة,10
13409,dec,منصب,14
14318,altid,دائماً,9
11697,trykke tilbage,اندلع,30
2740,lydighed,طاعة,85
6560,tore.,مزق,68
567,jacobite.,يعقوبيت,96
9746,desperat,متحرق إلى,37
12851,baltimore.,بالتيمور.,20
5578,bohemia.,بوهيميا,74
5987,vandmærke.,علامة مائية,64
5216,brutus.,بروتوس,76
966,psykiater,طبيب نفسي,94
13083,tegne,ألفت,14
10770,zeppelin.,منطاد,38
11309,pingvin,البطريق,24
13577,ung,صغيرة,12
7011,grænseværdi,عتبة,64
10344,kost,حمية,40
3986,werewolf.,بالذئب,83
7181,sulfat.,كبريتات,63
11433,ubesejret,لم يهزم,33
7843,vc.,إيماء,60
3621,grundvand,مياه جوفية,85
10266,patent,براءة الإختراع,37
5324,nana,نانا,74
7624,dekret.,مرسوم,52
11792,slidt,البالية,30
3711,samson.,سامسون,85
12653,koste,كلفة,19
13491,potentielt.,يحتمل,12
14384,at føre,يقود,7
8811,lever,الكبد,53
12008,leje,تحمل,12
11432,elite.,نخبة,31
11736,perry.,بيري,30
5716,sønnesøn,حفيد,71
2819,forwuringdoing.,مخالفة,89
10614,konføderation,الكونفدرالية,22
13408,til sidst,في النهاية,13
7553,biomasse,الكتلة الحيوية,62
1244,freaking.,ينقط,28
8952,dana.,دانا,52
10689,fastland,البر الرئيسى,38
13760,prix.,بريكس,12
13443,pæn,لطيف,13
13303,figur,الشكل,12
12874,brydning,مصارعة,19
2016,bemandet,موظف,85
11869,bager,خباز,29
3934,bertha.,بيرثا,83
7873,gerningsmænd,الجناة,45
14010,gå,يذهب,7
9943,wheeler.,ويلر,44
9978,højdepunkter.,يسلط الضوء,21
10927,plast,بلاستيك,36
5861,hyperaktivitet,فرط النشاط,69
1581,rekvisitter,الدعائم,62
4317,clubhouse.,النادي,81
3999,arcadian.,أركاديا,73
4526,efternavne,الأبطن,38
1381,lymfatisk.,الجهاز اللمفاوي,96
6844,hasan.,حسن,66
4158,burley.,بورلي,82
2928,civil,مدني,88
5797,halvleder.,أشباه الموصلات,69
12695,oversvømmelse.,فيضان,14
12909,vold,عنف,19
12592,acts.,أعمال,9
3187,kontinuum.,الأستمرارية,88
8743,øm,مناقصة,48
11734,lænke,سلسلة,28
12355,luftfart,طيران,24
6558,disciplinær,تأديبي,68
10120,caliber.,عيار,41
10137,gerald.,جيرالد,43
9143,waf.,واف,51
5200,killing.,قطه صغيرة,71
12326,ranking,تصنيف,7
13688,million,مليون,11
11749,nøjagtighed,صحة,30
3676,tenor.,تينور,80
13238,stanley.,ستانلي,16
12268,muslim,مسلم,20
12230,hofte,ورك او نتوء,25
4359,fond,مغرور,67
9701,konklusioner.,الاستنتاجات,23
5946,duffy.,دافئ,72
9758,organisatorisk,التنظيمية,45
2874,leprechaun.,متشيطن,87
6937,lærebog,الكتب المدرسية,52
5633,pomona,بومونا,73
5356,shiva.,شيفا,75
3329,myocardial.,عضلة القلب,87
8390,dong.,دونغ,56
8720,midwest.,الغرب الأوسط,54
6732,kolon,كولون,42
1744,kalam.,كلام.,93
7515,ballad.,القصة,56
8469,kolera,كوليرا,55
6955,tyv,لص,65
4884,footed.,قدمها,18
10240,franco.,فرانكو,42
3315,tulipan,توليب,86
11580,victor.,فيكتور,30
5106,utrolig,لا يصدق,70
7696,sorg,الحداد,55
7506,jesuit.,اليسوعي,60
3878,englishman.,انجليزيه,84
7894,friktion,احتكاك,59
3650,vend om,التف حوله,82
6494,rin,رين,68
13478,jackson.,جاكسون,13
9791,eh.,إه,45
5851,telugu.,التيلجو,72
11249,dublin.,دبلن,35
8436,evner.,قدرات,22
11063,cola.,الكولا,36
6886,asbest.,الأسبستوس,66
13626,human,الانسان,12
4244,arbejdsplads.,مكان العمل,82
10416,princeton.,برينستون,41
11694,carrier.,الناقل,28
1315,store bogstaver,الأحرف الكبيرة,96
1229,sitter,حاضنة,95
7568,hvor som helst,أينما,62
14256,opkald,المكالمات,8
11520,darwin.,داروين,31
6255,rystede,اهتز,70
11550,reproduktion,الاستنساخ,27
1216,bizet.,بيطار,96
6318,balder,ردفان,67
1843,maratha.,ماراثا,93
14215,effekt,تأثير,10
9601,vejkryds,تداخل,42
7173,bis.,بني,41
1180,handguns.,المسدسات,65
12376,ridder,فارس,20
13502,scene,المسرح,12
13411,bro,كوبري,13
8412,gravitation,الجاذبية,47
7901,martian.,مريخي,58
9425,sytten,سبعة عشر,49
10134,papua.,بابوا,43
12362,packers.,باكرز,24
9040,array,مجموعة مصفوفة,50
13078,lufthavn,مطار,17
8676,kontingent.,مشروط,39
5004,splits.,الانشقاقات,18
2137,motoriseret.,بمحركات,92
13655,generelt,عموما,7
11442,identisk,تطابق,21
2741,simplistisk.,التبسيط,88
4297,sanskrit.,السنسكريت,81
10539,lære.,عقيدة,38
4523,marathi.,ماراثي,80
13190,befolkning,عدد السكان,15
6308,reje,جمبري,70
8584,pasadena.,باسادينا,55
13215,episode.,حلقة,12
4124,overbærenhed,تساهل,67
13521,pris,جائزة,9
13324,være uenig,تعارض,14
9572,lucy.,لوسي,47
9335,halvvejs,في منتصف الطريق,49
4053,billedlig,صورة مصورة,81
13136,køn,الجنس,17
8677,autism.,الخوض,54
599,ugh.,قرف,99
8037,wit.,خفة,23
533,liturgi,ليتورجي,98
11656,succesfuldt,بنجاح,11
6323,burr.,لدغ,70
12337,indstilling,ضبط,9
7740,karate.,الكاراتيه,58
13824,mere,أكثر,5
9471,terræn,تضاريس,48
3906,saharan.,الصحراوي,84
9070,orangutan.,انسان الغابة,51
8488,jordskred,انهيار أرضي,42
14444,fortsatte,واصلت,5
12313,supreme.,أعلى فائق,25
2369,polyethylen,بولي ايثيلين,91
11552,logoer,شعارات,11
1701,blanca.,بلانكا,94
12893,svært,صعبة,20
10682,alias,الاسم المستعار,34
14257,netværk,الشبكات,8
10027,flygtning,لاجئ,27
13087,metal,فلز,17
3024,lehr.,مهر,88
9217,forhistorisk,قبل التاريخ,50
9796,malaysian.,ماليزية,44
12581,terrorist,إرهابي,19
13186,udenlandsk,أجنبي,16
13591,kontor,مكتب. مقر. مركز,10
2583,venlighed,العطف,13
12219,audio.,صوتي,26
9281,relationer,العلاقات,26
248,calvary.,في الجليد,100
10870,bengal.,بنغال,26
2076,evangelist.,مبشر,88
13108,leder,زعيم,12
4262,lyske,فورت,81
4650,ita.,ايتا,80
378,seminar,ندوة,89
1045,choctaw.,شوكتاو,97
3779,keats.,كيتس,83
2165,elektroforese,الكهربائي,91
1473,seletøj,ظفيرة,88
2473,klæbemiddel,لاصق,74
7540,serb.,صرب,62
1816,yoghurt.,الزبادي,93
5139,dabbler.,الهاوي,77
13248,pro,طليعة,14
7784,verdun.,فردون,60
10855,glat,ناعم,36
2370,amar.,عمار,91
13676,draft.,مسودة,11
8097,viridian.,فيريدي,58
6823,donna.,دونا,64
11900,krystal,كريستال,27
9724,flint.,فلينت,46
2197,sollys,ضوء الشمس,91
2926,bade.,بايد,89
14487,november,شهر نوفمبر,5
7560,gudfar,أب روحي,61
8365,henfald,تسوس,51
3263,besidder,يمتلك,19
11556,salt,ملح,30
2477,runoff.,جريان المياه,90
8972,fælde,فخ,33
7656,chico.,شيكو,61
6438,checker.,فاحص,50
7093,snooker.,السنوكر,64
6612,traktor,جرار زراعى,63
2826,tre gange.,ثلاث مرات,89
10970,misc.,متفرقات,37
14094,bedst,أفضل,8
11428,polo.,البولو,33
8130,judy.,جودي,58
2835,lemmer.,أطرافه,71
3529,hydroponics.,الزراعة المائية,83
5881,mærkeligt,الغريب,72
14073,muligt,ممكن,7
2772,mila.,ميلا,89
11134,katalyser.,يحفز,35
618,lukrativ,مربح,99
12603,denver.,دنفر,23
13933,samme,نفس,8
891,deponeret,أودعت,54
165,acton.,العمل على,100
10004,kult,طائفة دينية,42
9839,engagerende,الانخراط,14
9092,lover,عاشق,43
3626,leno.,لينو,85
13453,kunstner.,فنان,12
5414,opdrift,الطفو,75
11235,lukke ude,اصمت,22
7430,pullman.,بولمان,62
7889,opføre sig,تصرف,41
212,mistral.,ميسترال,100
7238,bismarck.,بسمارك,63
11298,fantastiske,رائعة حقا,32
2371,reebok.,ريبوك,91
12510,vare,غرض,18
4673,uskadelig,غير ضار,79
10560,rektor,المالك,32
3181,mojo.,ماجو,88
11877,contemporary.,معاصر,28
12829,bacon,لحم مقدد,20
10338,emerson.,إيمرسون,41
13034,holland.,هولندا,18
13114,chauffør,سائق,12
11294,genetisk.,وراثي,26
12654,ville ikke,ويل,22
13621,etc,إلخ,12
2380,kryptografi.,تشفير,91
6471,bevæbning,إحراف,64
6254,stuepige,خادمة,67
4236,wandering.,تجول,33
2619,takers.,المتقدمون,62
12509,tiende,العاشر,23
7458,ale.,آلي,58
12565,bevise,إثبات,14
7346,helium.,الهيليوم,62
12450,and,بطة,19
3856,tilbehør,مستلزمات,67
7079,mirza.,ميرزا,64
10308,chit.,شيت,41
12005,ulige,غريب,24
9656,iso.,ايزو,47
1268,såvel,كذلك,96
12010,marmelade,مربى,25
9291,istanbul.,اسطنبول,50
9727,opslag,نشرة,41
9752,sung.,سونغ,46
2511,dungy.,رث,90
14212,gebyrer,رسوم,14
8510,muskuløs,عضلي,55
6127,overhaling.,إصلاح,61
10008,meridian.,خط الطول,43
4862,lovpligtig,قانونيا,78
10269,grim,البشع,38
11402,scoreless.,لا جدال,33
9272,albion.,ألبيون,50
2636,turban,عمامة,88
3242,snuff.,شم,88
14048,filer,الملفات,6
12683,tastaturer.,لوحات المفاتيح,20
63,trickery.,مخادعة,100
4750,cambodjanske,كمبودي,76
9657,por.,أبله,47
3318,medheld,حجب,87
5499,beaumont.,بومونت,75
5237,kabinepersonale,الطاقم الجوي,51
6907,goo.,لزج,65
8486,indpakket,مغطى,38
12786,vancouver.,فانكوفر,21
5100,artikuleret,مفصلية,64
4064,hooliganisme.,الشغب,62
13736,republik,جمهورية,12
5215,postkort,بطاقة بريدية,71
7537,bourne.,بورن,62
8011,matematiker.,رياضياتي,43
13809,fra,من,5
10067,journalister,الصحفيين,28
3325,bebop,بيبوب,87
5892,meritorious.,جاري,72
1425,synthesizer.,مرن,42
14017,drift,التشغيل,6
830,corral.,زرب، جمع، رتب، طوق,95
13738,jim.,جيم,12
11759,biskop,بيشوب,29
10389,flagstaff.,سارية العلم,41
6700,slurs.,انطلق,56
2534,tillman.,تيلمان,90
6992,leeward.,المواجه للريح,61
13065,over tid,متأخر، بعد فوات الوقت,18
14157,fuld,ممتلىء,9
12765,portugal.,البرتغال,21
8126,autograf,توقيعه,51
2634,pote,كف,85
4498,forhøjet blodtryk,ارتفاع ضغط الدم,80
9320,glæde,مرح,47
12536,puerto.,بويرتو,23
9119,forstærket,عززت,32
7932,rube.,ربي,59
2955,karat.,قيراط,87
11811,grenadier.,جرينادير,28
10651,muligheder,والخيارات,7
4610,lærte,تعلمت,80
5162,abonnent.,المشترك,53
7227,fabian.,فابيان,63
9654,budbringer,رسول,45
9448,amfibious.,برمائي,48
5696,groundout.,الأرض خارج,73
2141,gatling.,جاتلينج,92
3280,glycol.,غليكول,84
6969,paisley.,بيزلي,65
12831,afghanistan.,أفغانستان,20
13697,stephen.,ستيفن,12
5259,ubarmhjertig,بلا هوادة,75
1238,hypoteser,الفرضات,80
13305,afsnit,فقرة,14
12904,spinster.,العانس,20
9160,wha.,وا,50
9992,stipendium,منحة دراسية,42
7916,eddy.,كادي,59
7242,melamin.,الميلامين,63
2710,forråde,عمليات البيع,87
2507,emulsion,مستحلب,90
6721,i sig selv,متأصل,53
2404,subkontinent.,شبه قشرة,91
13664,lokal,محلي,12
12543,kontrakt,عقد,19
13799,at,الذي - التي,5
9170,bulk,حجم,50
10974,sierra.,سلسلة جبلية,37
3175,råben,صراخ,46
11843,ungarian.,المجر,28
10457,amsterdam.,أمستردام,40
13726,israel.,إسرائيل,12
10696,muller.,مولر,38
13720,fortsæt,تقدم,11
4193,strikeout.,سترايت,39
7196,ærkebiskop,رئيس الأساقفة,61
4965,median.,الوسيط,78
6346,bison.,الثور,62
916,galger,المشنقة,96
597,kolonister.,المستعمرون,90
7794,beruset,سكران,60
3715,opvaskemaskine,غسالة أطباق,81
10535,transportabel,المحمولة,39
3976,elegant,أنيق,71
11491,input.,إدخال,31
5595,asyl,اللجوء,72
1738,esoterisk,الباطن,93
3065,kabbalah.,كابالا,88
9802,overraskende,مفاجأة,21
11297,kat.,كات,32
5948,hanoi.,هانوي,72
