ID,DANOIS,TURC,INTERVAL
6506,hvorved,vasıtasıyla,73
3588,gradient.,gradyan,82
570,landbrugsjord,çiftlik arazileri,97
13712,verificerbar,doğrulanabilir,10
6023,håndklæde,havlu,72
12884,nul,sıfır,24
5716,sønnesøn,erkek torun,76
5679,sennep,hardal,77
14229,timer,saat,10
623,stjerneklar,yıldızlı,100
12995,avenue.,bulvar,23
2348,bør ikke.,yapmamalı,93
7951,næstsidste,sondan bir önceki,64
4207,kompensere,tazmin etmek,48
8190,flodhest,hipopotamus,62
2138,lovløs,kanunsuz,88
8400,starcraft.,yıldız gemisi,61
12231,noveller,romanlar,17
12673,sammensværgelse,komplo,27
12820,fortjeneste,hak etmek,24
13431,rusland,rusya,18
8802,genoverveje,yeniden gözden geçirmek,56
10717,smør,tereyağı,44
6152,broil.,kavrulmak,75
1638,ror,dümen,94
9751,anklage,iddiası,46
4885,destillation.,damıtma,72
7771,fyrtårn,deniz feneri,63
12177,skubbe,itmek,21
8708,klatring,tırmanmak,33
12319,pitcher.,sürahi,25
3886,eksamensbevis,diploma,85
11433,ubesejret,yenilmez,38
13820,hvilken,hangi,6
1687,uforberedt,hazırlıksız,96
8609,helligdom,tapınak,56
10247,målt.,ölçülen,22
2459,cigaretter.,sigaralar,55
12131,kandidat,aday,24
60,nyttelast,yükleme yükü,98
8985,uddybe,detaylandırmak,49
7615,smiler.,gülmek,34
2313,spist,yenilmiş,93
6560,tore.,yırttı,73
11077,explorer.,gezgin,28
9086,forsvarsmænd,defansen,57
9323,fatal,ölümcül,30
13759,velkendt,tanıdık,13
13463,z.,z,17
12945,gradering,sınıflandırma,20
7424,visdom,bilgelik,67
2064,coptic.,kıpır,94
6991,stampede.,izdiham,67
14443,oprettet,yaratılmış,6
9568,arkade,oyun makinesi,53
6204,yan.,yanmak,75
14098,venstre,sol,9
10674,spare.,kıyamamak,41
10843,tier.,aşama,42
7105,ophelia.,heliler,69
4034,curriculum.,müfredat,86
12522,misvisende,yanıltıcı,28
11529,walt.,vahşileştirmek,38
7357,bremser.,frenler,42
5506,ustabilitet,kararsızlık,78
9540,shortstop.,kısa vadeli,53
2877,vittig,esprili,91
2222,kanel,tarçın,94
10080,klint,uçurum,46
9354,umpire.,hakem,36
7189,marina,yat limanı,68
11400,warner.,uyarıcı,38
1256,bowed,eğilmek,41
6070,stiv,katı,73
3269,stablet.,yığılmış,54
12160,expeditionary.,seferlik,32
11149,farligt,tehlikeli,25
13901,brugere,kullanıcılar,5
11498,aviser,gazeteler,19
9331,forbruges,tüketilen,35
3851,thwarted.,engellenmiş,76
13115,egypten,mısır,22
12637,programmering,programlama,13
8527,skabninger.,yaratıklar,51
10079,landbrugs,tarımsal,34
12408,afskrække,engellemek,30
12180,massiv,cüsseli,30
10036,untagged.,etiketsiz,49
4142,mørkere,koyu,86
2387,gully.,gulba,91
11592,portugisisk.,portekizce,37
1612,cot.,karyola,90
5908,tandpleje,diş hekimliği,77
11506,diameter,çap,38
10926,monument,anıt,38
13163,atomisk,nükleer,21
13589,enig,katılıyorum,13
7820,påmindelse,hatırlatma,20
7226,raffles.,raflalar,68
6428,behandling,tedavi,25
3404,udslæt,döküntü,88
3668,skepsis,şüpheci,61
12223,tættere,daha yakın,32
7901,martian.,marslı,62
14348,at tage,alıcı,5
11472,jerusalem,kudüs,38
11292,opnå,başarmak,21
1597,brudt,çürük,76
12623,santa,noel baba,28
5207,stalking.,saplama,50
5337,nål,iğne,74
6745,kjole,elbisesi,61
9304,laks,somon,55
660,deltager,katılmak,18
881,stardust.,stertorst,98
9967,dyrt,masraflı,38
10527,hurtigt,derhal,46
9281,relationer,ilişkiler,32
14390,kræfter,kuvvetler,9
5014,massage,masaj,80
8676,kontingent.,şarta bağlı,45
6885,bowyer.,bobin,71
11936,hjerne,beyin,33
8073,i land,karaya,63
12242,koncept,kavram,28
6194,undergå,uğramak,53
1364,uhyggelig,ürpertici,97
8747,fædreland,vatan,59
7270,firkanter,kareler,19
5824,linden.,ıhlamur,77
3714,phonograph.,fonograf,85
6798,lungebetændelse,zatürre,71
10216,troværdighed,güvenilirlik,30
5398,nonne,rahibe,70
4499,raters.,ratlayıcılar,82
3080,defekt,kusur bulmak,56
4791,ubearbejdet,kazanılmamış,83
13329,områder,alanlar,11
2973,goldeneye.,altın göz,90
9529,bad,banyo,47
14186,taget,alınmış,9
13766,plus,artı,14
1509,sheik.,şeriği,91
4840,poised.,kaybolmuş,77
860,analyseret,analiz edildi,53
11038,marsk,bataklık,40
13155,celle,hücre,20
5139,dabbler.,likble,81
13809,fra,itibaren,5
3288,salvage.,kurtarma,70
8601,dane.,dadı,56
5188,evergreen.,yaprak dökmeyen,81
13613,ern.,isn,16
2129,blueline.,mavi çizgi,94
11976,soapbox,sabun kutusu,34
8867,chilensk.,şil,58
13364,undskylde,özür dilemek,6
14013,resultater,sonuçlar,8
13978,dag,gün,7
9125,træ-,ahşap,57
5720,modes.,modlar,39
6240,gps,küresel konumlama sistemi,18
13621,etc,vb,15
13065,over tid,mesai,22
2264,caveman.,mağara adamı,94
2625,kroning,koronluk,66
10037,opfattes,algılanan,45
13873,nogen,herhangi,5
8673,estisk.,estonyalı,57
3945,gå til,goto,87
13199,ulejlighed,rahatsızlık,20
9729,nitten,on dokuz,52
8319,sage.,adaçayı,61
10959,feedback.,geri bildirim,42
920,akvarel,suluboya,98
5173,fritid,boş vakit,79
9044,profet,peygamber,52
10,sunstar.,güneş yıldızı,100
11114,østers,istiridye,40
5023,med uret,saat yönünde,82
687,fysikere.,fizikçiler,62
1080,konfigurationer.,konfigürasyonlar,53
10977,ru,kaba,39
7573,rave,övünmek,57
7867,lønninger.,ücret,35
12545,satellit,uydu,27
1327,analfabetisk,okuma yazma bilmeyen,95
13826,været,olmuştur,5
12982,i første omgang,ilk olarak,15
3331,usikre,güvensiz,89
5221,skævt,lopsiz,80
13292,jordan.,ürdün,20
2550,hamp.,kenevir,93
10095,reduktion,kesinti,47
8975,sommerfugl,kelebek,56
14385,aktiver,varlıklar,44
11527,afgift,geçiş ücreti,37
1116,sundial.,şezlong,94
13016,sygdom,hastalık,22
8321,cystic.,kistik,62
1022,redningsmænd,kurtarıcılar,98
2540,blunder.,hata,83
10020,kashmir.,keşmir,49
3301,persona.,şahsiyet,82
9002,fedme,obezite,56
7799,nisse,elf,65
6606,fancy,süslü,65
14326,officer,subay,12
9811,fortællinger.,masal,36
11380,lodret,dikey,35
13024,flåde,donanma,23
13076,samfund,toplum,21
8852,monkeys.,maymunlar,28
7259,komplement,tamamlayıcı,62
4137,klasseværelse.,sınıf,79
876,germs.,mikrop,82
356,admiralty.,amirallik,100
3072,mandel,badem,88
7912,leander.,lanet,64
3250,pinball.,langırt,89
7356,degenereret.,yozlaşmış,59
2761,hatteless.,nefretsiz,91
7239,confucianism.,konfüçyüsçülük,68
135,custard.,muhallebi,100
12153,tilfredsstille,tatmin etmek,19
7274,malaria.,sıtma,68
12515,kompleks.,karmaşık,26
13953,tilbage,geri,8
114,kashmiri.,keşmiri,100
9815,hængende,asılı,37
155,trillebør,el arabası,100
11762,hætte,kapüşon,34
10561,klaver,piyano,45
942,ekstase,rapture,94
7305,nudity.,çıplaklık,68
4808,hektar,dönek,53
11169,kommune.,belediye,30
12616,betalingsmiddel,para birimi,27
12321,jugoslavien.,yugoslavya,31
3156,præstedømme.,rahiplik,90
4465,bose.,bosmak,84
11133,seksten,on altı,41
215,pall.,pump,100
14469,dokument,belge,15
4545,isbjerg,buzdağı,83
6513,impressionisme.,izlenimcilik,73
9444,svovl.,kükürt,51
12197,flagermus,yarasa,12
7639,collateral,teminat,65
12032,cornix.,korix,33
13733,klar over,farkında olmak,14
716,indgående,gelen,88
631,uncut.,kesilmemiş,100
5377,westerly.,batıdan,68
1815,biomedicin,biyomedikal,95
5836,finch.,ispinoz,73
7186,gravering.,oymak,49
11997,undertow,altta bırakmak,34
7322,flora.,bitki örtüsü,68
12634,ulovlig,yasadışı,26
8984,rekruttere,iyileştirmek,28
12016,lager,stok  mevcut,30
3033,auditor.,denetçi,89
2250,plenarfarligheden.,plenity,94
3407,redwood.,sekoya,87
12445,dynasty.,hanedan,29
7398,apostel,havari,55
6643,forsvinde,kaybolmak,39
10671,blodig,kanlı,44
13628,pol,kutup,15
6214,curran,kürek,75
11608,frakke,kaban,33
4001,forgyldt,yaldızlı,86
8022,farvestof,boya,59
1596,bage,pişirmek,66
9357,afklaring,açıklama,53
12640,tæller.,tezgah,26
11368,stouter.,kurye,38
14354,kvinder,kadınlar,13
12788,fa.,fransa,25
3141,støjende,gürültülü,90
6710,gravid,hamile,72
7319,friske.,saçak,65
13956,en anden,bir diğer,7
13716,mindre,az,14
10315,sand,kum,39
10658,dagsorden,gündem,43
1648,perdue.,perdelemek,93
3596,skumring,alacakaranlıkta,88
14346,kommerciel,reklam,11
11786,underlegen,kalitesiz,35
2212,forkortet,kısaltılmış,89
7838,vane,alışkanlık,52
6127,overhaling.,revizyon,65
7160,echelon.,ekel,66
14198,hen ad,birlikte,12
11367,chokolade,çikolata,38
8147,gaffel,çatal,46
7630,extraterrestrial.,dünya dışı,64
9961,sjældent,nadiren,32
13363,libanon.,lübnan,19
12074,manuskript,senaryo,31
14225,hoved,ana,9
4038,aria.,arya,73
2085,faldskærmssoldat,paraşütçü,55
14461,tager,almak,5
12246,hår,saç,31
12872,tabe,kaybetmek,15
4226,hog.,açgözlü,67
3532,hammerhead.,çekiç kafası,88
1990,mormor,büyükanne,93
5073,begrænsninger.,kısıtlamalar,76
3637,hillman.,dağlı,88
2510,humbug.,riyakârlık,93
1810,langvarig,uzun süredir,95
4463,tekstlig,metinsel,82
8942,ødelæggende,yıkıcı,44
9775,certificeret,sertifikalı,49
8109,locker.,dolap,62
14335,store,harika,10
14081,nyheder,haberler,13
2219,uforudsigelige,öngörülemeyen,90
12645,efterforskning,soruşturma,20
8994,gås,kaz,57
11155,eventyr.,maceralar,32
8545,synkronisere,senkronize etmek,60
3912,effigy.,büst,83
7394,hummer,istakoz,67
4560,knut.,knot,84
1156,carbine.,karabina,89
14059,enhed,birim,7
14255,sity,laf,100
10791,fjorten,on dört,43
9668,ankel,ayak bileği,51
983,texan.,teksaslı,44
1243,stolt.,gururla,97
13136,køn,seks,21
3707,solbriller,güneş gözlüğü,88
12889,hjerte,kalp,19
3389,olier,yağlar,20
4646,henvisning,referans,80
1294,spædbørn.,bebekler,58
7804,pattedyr,memeli,58
5944,lig,ceset,65
5263,forbindelse,irtibat,79
8144,fjernere,daha uzak,62
11371,enlisted.,kayıtlı,35
142,landejere.,toprak sahipleri,95
11055,portræt,vesika,39
13414,kæmper,savaş,8
3496,retroaktivt,geriye dönük,80
7590,islandic.,i̇zlandaca,34
13577,ung,genç,16
63,trickery.,hilekârlık,100
3170,tyranni.,tiranlık,85
5029,spur.,mahmuz,38
4532,mindende.,anma,35
13216,wasn.,yabanmersini,20
14264,havde brug for,gerekli,6
14512,avis,gazete,19
5320,topper.,topak,68
8720,midwest.,ortabanı,59
11913,gård,çiftlik,29
4027,dike.,dik gibi,74
2345,noget sted,bir yere,93
5388,bestræbelse,gayret etmek,72
14322,samtaler,görüşmeler,5
9396,hegn,çit,44
5019,krøllet,kıvırcık,82
2139,situation,vâât,94
11699,sikker,güvenli,32
1629,duplex,dubleks,94
11952,haj,köpek balığı,27
9000,blackout.,karartma,55
13040,senior-,kıdemli,21
12767,årti,on yıl,22
11833,konstellation,takımyıldız,35
13377,banned.,yasaklanmış,12
2965,greyhound.,tazı,74
8970,konvoj,convoy,52
2574,lønningsliste,maaş bordrosu,91
8307,paraply,şemsiye,61
8063,herregård,manor,62
14310,noget,bir şey,9
10828,coca.,koka,43
13255,skrivebord,çalışma masası,20
537,fez.,fes,100
10872,smal,dar,38
6935,filosofisk.,felsefi,44
3038,timian,kekik,90
9868,regere,saltanat,39
2477,runoff.,akıntı,93
5962,genindføre,eski durumuna getir,47
8254,violin,keman,62
3428,popsicle.,dondurma,89
39,fejlfinde,hata yapmak,92
5961,striver.,köle gibi çalışan,76
7026,beholdning,envanter,67
4073,letterman.,mektupcu,86
721,revisionisme.,revizyonizm,99
14392,dele,parça,9
405,tiper.,damper,100
10689,fastland,anakara,44
2810,kandidatur,adaylık,90
14468,har lyst,istek,6
10936,letland.,letonya,42
9333,vedvarende,kalici,35
3644,nonprofit.,kar amacı gütmeyen,88
10311,usalvageably.,dikkatsizce,47
4391,akvædukt,su kemeri,84
5587,opkastning,kusma,73
10303,blad,yaprak,27
4815,garderobe,giysi dolabı,82
1983,rutter.,çıngırak,95
6216,beatrice.,batmak,75
6176,sirup,şurup,75
4394,mongols.,moğollar,60
995,wog.,dedelemek,98
6169,ved ikke,dunno,75
13685,påstand,iddia,11
4521,ejendommelige,özel eşya,79
489,puffe,kıpırdamak,80
863,mætning,doyma,66
11124,indtryk,izlenim,26
5386,mudret,bulanık,77
7261,genom.,genetik şifre,65
10607,rhine.,ren,45
12041,frisk,taze,33
2435,aururia.,asidör,93
11687,scorecard.,pukâs,36
13751,angive,belirtmek,11
2039,bankmand,bankacı,86
12954,sølv,gümüş rengi,23
3533,svinefedt,domuz yağı,88
1058,zeal.,zalim,98
2137,motoriseret.,motorlu,94
8121,delegeret,temsilci,31
14172,kode,kodlamak,16
12350,stående,ayakta durmak,14
14433,provision,komisyon,23
5138,vægtløftning,ağırlık kaldırma,80
1830,thylacin.,tiyakin,95
14464,arkiveret,dosyalanmış,6
13430,rose,gül,17
12284,videnskabelig,ilmi,31
6116,smække,tokat,60
12464,plakat,afiş,27
2485,fugtig,nemli,74
2255,migranter,göçmen,74
8576,taknemmelig,minnettar,55
3121,jujube.,hünnap,90
5816,undgås.,kaçınmak,7
3200,tilfører sig,zarar vermek,58
6728,corinthians.,korintliler,67
7898,interchange.,değişmek,56
1956,forhandle,pazarlık,63
6937,lærebog,ders kitabı,58
1194,fanfare.,tantana,98
1879,rumskib,uzay gemisi,88
2754,bryggeri,bira fabrikası,86
11553,hårdere.,daha güçlü,38
111,subsistence.,geçim,93
11617,cm.,santimetre,37
4693,tegneserieist.,karikatürist,72
2257,plaid.,ekose,93
2851,carved.,oyulmuş,76
14001,få,bir kaç,7
12114,mint.,nane,31
7493,bruser,duş,53
7081,enklere,daha basit,69
2899,afvæbnet,devredilen,62
9036,batsman.,topa vuran oyuncu,57
9251,tin,teneke,55
1291,kontraproduktivt,karşı üretken,95
12535,angreb,saldırmak,26
6735,havkat,kedi balığı,72
4956,hestekræfter.,beygir gücü,82
2773,trickle.,damlama,87
4422,ude af stand til,aciz,83
3941,peek.,dikizlemek,84
1273,gemstone.,değerli taş,91
8653,tilpasning,adaptasyon,38
5363,hydroxid.,hidroksit,80
8442,umoden,olgunlaşmamış,59
5252,sarkasme,iğneleyici söz,80
4520,dig.,sana,84
6126,garland.,çelenk,74
14041,allerede,çoktan,9
6987,beth.,betçe,70
13067,bror,abi,16
13939,næste,sonraki,6
4644,genvundet,geri kazanılmış,65
11830,med titlen,başlıklı,10
3475,reagerende,tepki göstermek,51
13079,træ,ağaç,20
9570,landmænd,çiftçi,44
6291,undertrykke,bastırmak,44
1096,mareridt,kabuslar,63
12845,brændstof,yakıt,24
3399,demonteret,sökülmüş,74
5660,kiste,tabut,75
7602,genforening,reunion,65
2315,altan,balkon,86
2584,kram,sarılmak,66
12272,pave,papa,31
14450,hit,vurmak,10
10508,behandlet,idare etmek,46
14406,imod,karşı,15
10473,wang.,dalga geçmek,46
13543,gav,verilmiş,17
9526,uran.,uranyum,54
6493,bug,karın,55
14411,job,meslekler,20
7205,sanitet,sanitasyon,65
11971,lastbil,kamyon,30
6734,damaskus.,şam,72
8713,taiwanese.,tayvanlı,59
11108,scout.,izci,29
4335,cretaceous.,kretase,85
11435,pligter.,görevler,23
13265,følelse,algı,19
10536,får,koyun,46
10468,antagelse,varsayım,40
11412,forladt,terk edilmiş,34
4661,patches.,yamalar,36
9760,sapiens.,sapık,52
2617,lykkes,başarılı olmak,92
5389,kynisk,alaycı,62
10342,dansk,danimarkalı,47
65,tilbageslag,gerileme,78
3607,bra.,sutyen,82
5017,tug,römorkör,76
3350,skinny.,sıska,89
6791,rhythmic.,ritmik,71
5865,unitarar.,ünite,64
13275,tilknyttet,birleşmiş,12
9609,lineman.,yan hakem,53
11483,varighed,süre,38
6614,når som helst,istediğin zaman,72
10379,tørke,kuraklık,46
2709,flared.,alevlenmiş,61
2450,tilbagetrukket,geri çekilmiş,70
12720,hest,at,23
11610,litauen,litvanya,37
9222,strauss.,sineklik,56
2490,billeder,dilenci,93
14171,april,nisan,6
6787,eksternt,uzaktan,43
12697,opgave,görev,19
5394,ulogisk,mantıksız,78
3978,skildpadde,tosbağa,87
13862,flere år,yıllar,7
12789,ulykker.,zayiatlar,23
11111,caption.,altyazı,37
7303,fleksibel,esnek,59
13798,er,dır-dir,5
1642,tilgiven,affedilmiş,96
7406,tic.,tik,67
12008,leje,rulman,14
12944,hjælper,yardım eder,7
5781,adlyde,itaat etmek,68
5490,struds,devekuşu,78
3039,murværk,duvarcılık,90
13852,nogle,bazı,6
13141,pause,kırmak,16
3863,rent vand,temiz su,87
10992,havde på,giydirmek,42
10806,bundet,ciltli,35
5018,habitat.,yetişme ortamı,80
7540,serb.,sırp,67
7473,resultattavle.,skor tahtası,66
10391,hoppe,atlama,10
515,fortov,kaldırım,94
14127,punkter,puan,7
14156,international,uluslararası,11
9850,hercules.,herkül,51
7157,gardin,perde,65
3790,cyklist.,bisikletçi,62
8081,radius,yarıçap,63
7946,engros,toptan,63
12974,bolde,toplar,12
11117,bureau.,büro,40
11052,slave,köle,36
12800,skuespiller,aktör,21
8847,zodiac.,zodyak,58
11248,uendelighed,sonsuzluk,39
278,fairgrounds.,fuar alanları,99
69,clerics.,din adamları,73
9189,fyldigere.,fuller,56
6632,marseille.,marsilya,64
7681,heraldry.,hanedanlık armaları,65
11376,min.,mit,37
2172,kaniner.,tavşan,39
5092,whopper.,nişancı,81
2080,hvidløg,sarımsak,94
4722,gammeldags,arkaik,82
11024,kyst.,kıyı,42
8049,muster.,toplanmak,29
504,arkitekturer.,mimariler,19
7714,infield.,alet,20
11256,trick,hile,34
9847,vers,ayet,44
13985,offentlig,halk,10
5582,en skønne dag,bir gün,78
9115,misforståelse,yanlış anlama,49
5925,regnfuld,yağmurlu,76
6452,stinkdyr,kokarca,74
9434,hundehvalp,köpek yavrusu,51
14318,altid,her zaman,12
1121,sparsomt,az miktarda,98
14317,involveret,dahil olmuş,11
2420,planlæggere,planlayıcılar,85
14257,netværk,ağlar,10
9667,springvand,çeşme,52
6131,løsepenge,fidye,74
12463,taiwan.,tayvan,29
5197,diskret.,ayrık,62
10401,legetøj,oyuncak,41
3540,edict.,ferman,86
10937,sandet,kumlu,42
1607,hirst.,hirk,96
14230,endnu,henüz,10
11684,ben,bacaklar,22
7323,skur,baraka,60
13763,stærkt,şiddetle,14
7577,scotch.,i̇skoç,66
10988,frugt,meyve,38
7583,bunt.,sünnet,59
13233,semi.,yarı,20
186,mogul.,moğol,97
6769,supernatural.,doğaüstü,71
9907,sagsøgt,dava açmak,28
7706,alps.,alpler,62
10396,tidligste.,en erken,47
8619,køkken,mutfak,47
7907,gregor.,gagor,64
10064,alexandria.,i̇skenderiye,49
2273,whistler.,ıslık,93
10972,styrkelse,güçlendirme,22
652,ambrosia.,çok lezzetli yemek,99
4244,arbejdsplads.,iş yeri,85
6072,erobret,fethetmek,49
5426,indstillet på,ayarlanmış,79
1616,timeglas,kum saati,96
3026,blekere.,çamaşır suyu,88
4228,chirps.,cıvıl,82
6836,pengesedler.,banknot,40
6328,kongresmedlem,kongre üyesi,74
1088,feminin,kadınsı,96
1206,scabies.,uyuz,98
1299,annoteret.,açıklamalı,86
12206,ing.,ingilizce,32
5643,carboxy.,karboksi,78
10362,stigninger,artışlar,15
13677,duplikere,kopyalamak,13
6741,trappe,merdiven,68
9710,restaurering,restorasyon,11
7654,dug,kazıklamak,66
10801,hayes.,haydut,36
5814,reliance,güven,77
8453,forgiftning,zehirlenme,41
7558,visum,vize,62
2252,uvurderlig,paha biçilmez,94
12777,subst.,somun etmek,26
4933,grill,ızgara,66
602,raucous.,kısık,100
9425,sytten,on yedi,54
8428,queer.,kuir,60
13675,lys,ışık,13
8356,stamme,gerilmek,52
7790,dukke,oyuncak bebek,47
9374,turks.,türkler,46
6399,forhandler.,satıcı,62
7828,stativ,tripod,63
227,kosmetik,kozmetoloji,100
522,cottonwood.,pamuk ağacı,100
3179,renhed,saflık,90
7699,guldfisk,akvaryum balığı,65
8554,watergate.,sugaralı,61
13412,åben,frenk,18
4721,midseason.,sezon ortası,83
11389,log på,giriş yapmak,38
7206,kvartfinale,çeyrek final,69
11733,hasn.,hasret,36
11893,margin.,marj,31
12098,konservativt,tutucu,26
5159,svigagtig,hileli,78
9546,hungersnød,kıtlık,52
8396,prestigefyldte,prestijli,61
13722,privilegier,ayrıcalıklar,13
3901,tock.,tokmak,87
12828,baby.,bebek,25
4378,saxons.,saksonlar,59
1242,plet,lekelemek,68
6896,ganske vist,kuşkusuz,70
13906,hver,her biri,9
3799,mæslinger,kızamık,88
10860,jomfru,bakire,40
10328,arrangementer,düzenlemeler,25
10783,søger,arayan,29
11468,stang.,kamış,37
3500,overlord.,derebeyi,87
13189,kemisk,kimyasal,20
244,spiselige.,yenilebilir,98
572,reptilian.,sürüngen,100
3432,infarction.,enfarktüs,88
13193,brugervejledning,manuel,20
7696,sorg,yas,61
8947,lærd,akademisyen,40
4807,spawn.,doğurmak,48
14479,hold,takım,8
6672,overhøjhed,üstünlük,72
5995,pistacien,fıstık,76
6712,mængder,miktarları,49
2825,glimrende,görkemli,91
12682,sold,satıldı,27
9230,mursten,tuğla,51
7404,håndled,bilek,64
1865,skiver.,dilimleyici,95
217,ballas.,balay,100
2397,unsportsmanlike.,sportmenlik dışı,93
4814,invaders.,istilacılar,37
216,hjemmelavet,ev yapımı,100
7492,bevidstløs,bilinçsiz,63
12323,chuck.,ayna,31
10897,fårehyrde,çoban,42
3497,hovedlinje.,ana hat,87
12335,es,ace,27
3283,klausuler.,maddeleri,50
9173,eksponering,poz,54
3064,skorsten,baca,82
10824,barbermaskine,ustura,43
13924,mod,aykırı,9
12899,fodbold,futbol,25
1812,hjørnestenen,köşetaşı,91
6027,tasker.,çantalar,41
10543,forstået.,anlaşıldı,45
3387,påskrivninger.,yazıtlar,72
13647,direkte,canlı,9
90,emfysem.,amfizem,100
9531,afdød,merhum,53
7506,jesuit.,cizvit,64
8460,millennia.,bin yıllık,61
5528,bønner.,fasulyeler,39
7264,ævle,gözleme,64
6638,kloster,manastır,66
2367,trives,gelişmek,60
7439,ørred,alabalık,67
1461,lim,zamk,97
4610,lærte,öğrendi,83
12456,encyclopaedia.,ansiklopedi,29
10504,fest,kutlama,23
