ID,DANOIS,CHINESE,INTERVAL
13140,sverige,瑞典,17
2862,smagsstoffer.,味道,47
6464,auktion,拍卖,60
6,snuble,绊倒,57
5897,veto,否决,62
9591,gnome.,侏儒,46
8871,penny.,一分钱,52
7095,galloway.,加洛韦,64
7569,donation.,捐款,32
2760,hagesmæk,围兜,88
7370,elg.,麋鹿,62
8111,epistle.,书信,56
4854,galilee.,加利利,79
6162,columbian.,哥伦比亚人,71
8776,mummy.,木乃伊,53
10006,æsel,驴,43
7846,biennial,双年生,59
7000,knuckles.,指关节,62
11872,frivillige.,志愿者,16
1260,hammersmith.,哈默史密斯,96
315,enspænder,孤子,100
6853,tudor.,铎,66
4680,undisclosed.,未公开的,79
7845,euler.,欧拉,60
5293,demi.,黛米,75
8768,menu,菜单,52
5111,nam,纳姆,77
9802,overraskende,奇怪,21
4603,eufrates.,幼鼠,80
1969,epistemologi,认识学,87
7546,konstantinopel.,君士坦丁堡,62
10350,designer,设计师,9
9079,kæreste,女朋友,50
7280,dev.,开发,63
10086,kænguru,袋鼠,41
2421,manddrab,过失杀人,91
5396,ohm.,欧姆,73
6125,tankeløs,mind,71
11143,laser.,激光,35
4967,terrapins.,地带,75
8641,fagfolk,专业人士,16
6633,justering,重新调整,55
3927,rolando.,罗兰托,84
12194,branding.,品牌,17
7559,wormer.,虫子,62
12827,koreansk.,韩国人,19
4113,tendentious,招待,82
1832,cady.,卡迪,94
1392,pålæggelse.,征收,96
6729,entallig,单数,62
11365,rainforest.,雨林,34
1094,butanol.,丁醇,97
7127,weys.,韦伊斯,64
8102,nabo,邻接,36
5366,outgoing.,out,76
7545,vandmanden,水瓶座,62
9594,nørd,书呆子,43
3460,tun,屯,86
4199,små bogstaver,小写,82
12948,junk.,垃圾,19
868,ombudsmand,监察员,97
10174,livredder,救生员,42
9731,donor.,捐赠者,41
5504,tyrefægtning,斗牛,74
4711,søvnløshed,失眠,79
3063,safir,蓝宝石,88
5208,hasty.,仓促,75
3140,keramisk,陶瓷制品,79
803,curveball.,曲线球,98
8303,tate.,泰特,56
6308,reje,虾,70
6905,dialekt,方言,49
12279,forberedt,准备好,16
10265,observationer.,观察,12
10791,fjorten,十四,38
9273,afskovning,砍伐森林,49
6192,sletning,擦除,30
14343,i øjeblikket,现在,7
13102,dakota.,达科他,17
1445,majestætisk,雄伟,93
8411,porto.,波尔图,56
13867,hvis,如果,5
8412,gravitation,引力,47
8945,troll.,巨魔,27
6699,granger.,格兰杰,67
8937,mammut,长毛象,51
4503,meteorite.,陨石,69
11207,joan.,琼..,35
13508,jeff.,杰夫,13
217,ballas.,鲍拉斯,100
13619,ledig,可用的,12
12618,kabel,电缆,21
7521,zombier,僵尸,25
13643,landsby,村庄,12
6178,swaziland.,斯威士兰,71
939,troupe.,剧团,94
8576,taknemmelig,感激,49
9314,berkeley.,伯克利,49
12718,gov.,g,21
11134,katalyser.,催化,35
6450,oplader.,充电器,30
2212,forkortet,简略,87
12113,dame,淑女,20
4278,grue.,金钱,82
13779,william.,威廉,9
10264,butikker.,店,23
6477,pate.,挂钩,68
6763,salvation.,救恩,66
8797,simplex,单纯乳头,53
13770,nok,足够的,11
7494,lodge.,小屋,51
4981,blodskam,乱伦,78
8855,sofia.,苏菲亚,53
4314,malayalam.,马拉雅拉姆,82
11146,indfødte.,土着,36
10813,wien.,维也纳,38
10657,blind,瞎的,32
1893,prædiken,讲道,86
2430,harmonika,手风琴,91
3410,ferskvand,淡水,87
10998,vast.,广阔的,37
6239,opfordrer,ur,22
9055,tordenvejr,雷雨,41
10101,klædt på,穿着,25
14457,udvikle,发展,10
13394,revolution,革命,14
4296,hyacint.,风信子,81
12434,airlift.,空运,23
749,botulisme.,肉类主义,98
8244,byrde,负担,54
3717,napalm.,纳巴马,85
5859,allegheny.,阿勒格尼,73
13859,tid,时间,5
10833,emirates.,酋长国,36
8143,circular.,圆,57
9627,forbande,诅咒,40
3467,sheila.,希拉,87
1909,ivrigt.,急切地说,93
6133,esther.,伊斯林,71
5079,lear.,李尔,77
3992,ginkgo.,银杏,83
13620,afrikaans.,南非荷兰语,12
12438,barry.,巴里,24
3189,kona.,科纳,88
6164,vandfald,瀑布,67
12034,talkie.,谈话,28
13975,anden,第二,7
7032,rhodesia.,罗得岛,65
12845,brændstof,燃料,19
5826,dominique.,多米尼克,73
2720,incendiary.,燃灭,87
10158,restaurant,餐厅,37
14451,tab,损失,10
11273,serienummer,序列号,32
3358,uriny,泌尿版,87
1820,sherpa.,夏尔巴,88
8864,forstad,市郊,36
7157,gardin,窗帘,61
12151,indendørs,国内的,26
2700,dudes.,帅哥,24
10507,panik,恐慌,39
11211,vermont.,佛蒙特,35
5605,populært.,俗气,74
7005,akustisk.,声学,60
11009,rotation,回转,26
2101,lagrangian.,拉格朗日,92
7890,hoy.,霍伊,60
4829,envoy.,使者,75
8314,heather.,希瑟,56
6653,stiv,死板的,64
9232,burst.,爆裂,46
11929,citater,引号,13
9168,trone,王座,50
14211,uger,几周,8
11197,taktik,策略,18
5933,ansigtsbehandling,面部的,72
12927,modtagelse.,接收,6
10991,hart.,哈特,37
3705,maniacs.,疯子,47
5323,rhyme.,韵,62
11078,dramatisk.,戏剧性,30
7839,løgner,说谎者,56
11819,relegeret,降级,24
6605,lai.,赖,68
5920,revidere,修订,15
6743,playboy.,花花公子,66
13983,hjælp,帮助,6
6535,futile.,枉费,59
10272,shanghai.,上海,42
4937,tempest.,暴风雨,76
5361,impeachment.,弹劾,63
3091,northumbrian.,诺福利亚语,88
10083,strå,稻草,43
6413,lopes.,懒人,64
2618,ballade,大惊小怪,86
2654,eyre,艾尔,89
7237,saunders.,桑德斯,63
6785,acetyl,乙酰基,65
9955,facto.,事实上,44
1412,dashes.,破擦,46
8125,moden,成熟,45
7399,udmattet,筋疲力尽的,41
7628,hawthorn.,山楂树,42
7138,prestige,声望,64
8648,betroet,信任,24
7863,pølse,香肠,55
1860,musher.,mus,74
4710,fauna.,动物群岛,79
13305,afsnit,段落,14
14318,altid,总是,9
6683,differentiere,区分,41
5673,modem,调制解调器,70
3516,eukalyptus.,桉树,86
1483,overkill.,矫枉过正,95
8255,velfærd,福利,57
2463,bashing.,抨击,52
1140,baiting.,诱饵,72
3038,timian,百里香,88
10932,trekant,三角形,35
14398,dato,日期,6
1499,rogan.,罗根,95
13721,bidragsydere.,贡献者,10
12498,held,运气,23
12336,indvandring,移民局,22
11893,margin.,利润,25
4737,farina.,法利纳,78
78,tiggere,乞丐,87
775,forbade,蚂,98
13071,plukke,挑选,12
9436,københavn,哥本哈根,48
8898,knapper.,纽扣,6
10726,shi.,施,34
2637,woolwich,羊毛行道,90
3487,chameleon.,变色龙,86
6145,wagga.,瓦加,71
838,blas.,布拉斯,98
12404,ross.,罗斯,25
2384,liszt.,丽思人,91
11685,collins.,柯林斯,30
10663,hævn,复仇,39
13044,betydning,意义,10
7949,rand.,兰特,59
1439,hele,愈合,57
11017,ravn,掠夺,26
8155,svejsning,焊接,53
12524,julian.,朱利安,23
11342,uberettiget,无人物,34
4784,pap,纸板,79
8662,byzantinsk,拜占庭,54
2596,robe.,长袍,81
9283,overvinde,克服,45
10630,peyton.,佩顿,39
3250,pinball.,弹球,87
7726,musemus,马斯,45
2918,boll.,铃,82
8487,gletscher,冰川,51
12213,steelers.,钢司机,26
11818,udover,除了,27
12898,utah.,犹他州,20
4907,feminist.,女权主义者,73
5867,transcontinental.,横冲线道,73
9870,knop,芽,42
10921,pyramide,金字塔,32
6326,crucible.,坩,70
4952,slavic.,斯拉夫,78
4957,gran.,云杉,77
5732,dumbledore.,邓布利多,73
4067,trådløs,无绳,83
1878,væltet,翻倒,78
2385,flagrant.,明目张胆,91
5740,veterinær.,兽医,73
8616,frontal,额,54
11835,tan.,晒黑,29
11537,afledte,衍生物,19
3726,champaign.,原野,85
13357,på t,ont.,15
8173,beskeden,谦虚,58
1548,shortwave.,短波,95
3413,politibetjent,警官,78
14150,i stand,有能力的,6
3561,penelope.,佩内洛普,86
5623,middelmådig,平庸,72
12453,arbejdskraft,劳动,23
9236,skam,耻辱,46
2168,iøjnefaldende,显着,87
14220,lignende,相似的,10
12152,strategisk,战略,26
3263,besidder,拥有,19
1775,gila.,吉拉,94
2967,maskeret,蒙面,38
13840,jeg,我,5
1682,interviewere,受访者,86
8211,copernicus.,哥白尼,57
7403,violet.,紫色,61
7718,modsigelse,矛盾,34
1984,mang.,曼,92
8869,berygtet,臭名昭著,49
3802,osteoporose.,骨质疏松症,85
12431,tjener,供应,11
5998,jævnt,均匀,72
11678,bermuda.,百慕大,31
10544,loop.,环形,34
12564,teater,剧院,22
9214,klinge,刀刃,42
658,extant.,现存,98
13330,champignon,蘑菇,15
13520,talrige,很多的,12
7522,sirius.,天狼星,62
11683,foretrække,更喜欢,9
12132,edge.,边缘,22
1774,parallax.,视差,92
14163,forskning,研究,9
13222,houston.,休斯顿,16
5464,reaktor,反应堆,70
692,infidels.,异教徒,79
1855,dorian.,多利亚人,94
2620,stereoskopisk.,立体,89
9116,oops.,哎呀,51
7702,castillo.,卡斯蒂略,61
12921,gået i stykker,破碎的,19
12672,tolv,十二,22
990,woolf.,伍尔夫,97
8456,cute.,可爱的,50
8992,fremdrift,推动,39
4299,fairbanks.,费尔班克斯,82
5117,woodland.,林地,63
12686,ryddelig,整齐的,21
13872,fordi,因为,7
12754,procent,百分比,20
12599,golf,高尔夫球,23
6742,cinematografi.,电影摄影,67
12671,kollega.,f,21
5880,kulbrinte,烃,67
11887,virus,病毒,29
13428,ford,福特,14
6209,udkant,郊外,70
12513,nødsituation.,紧急情况,16
7185,lava,岩浆,64
10389,flagstaff.,弗拉格斯塔夫,41
12304,brooklyn.,布鲁克林,25
2401,overtrædelser,违规行为,78
5308,lipid.,脂质,75
11038,marsk,沼泽,36
667,austible.,可听,95
9734,benny.,本尼,45
14370,tilbydes,提出,14
8703,opdage,发现,8
12330,tungt,heav,25
10406,gryde,锅,38
13312,francisco.,弗朗西斯科,15
8288,epicenter.,震中,56
3915,serum.,血清,84
11049,retfærdiggøre,证明合法,24
6737,mortecai.,莫德凯,67
10752,maillot.,ma,38
9094,urskive,拨号,45
14375,evne,能力,22
11940,diskografi.,唱片,28
11089,onkel.,叔叔,36
3433,clippers.,剪子,77
6183,kartel.,卡特尔,66
44,flashbacks.,闪回,83
4422,ude af stand til,无法,80
9576,rigdom,财富,47
12139,ånd,精神,25
10559,vælgere.,选民,34
13076,samfund,社会,17
8320,algier.,阿尔及尔,57
10798,bowler.,鲍德勒,28
5085,brandy,白兰地,77
9876,batterier,电池,20
7029,woodward.,伍德沃德,65
14413,arbejder,作品,5
14342,calif,加州,69
10615,ejendom.,财产,36
10709,matematisk.,数学,21
13599,vendt tilbage,回来,9
8263,madras.,马德拉斯,57
4545,isbjerg,冰山,80
6961,hepburn.,赫本,65
6627,kaukasus.,高加索,68
11059,ugentlig,每周,37
957,blodplade,血小板,92
10050,efterår,秋天,43
1627,hør.,亚麻,95
4294,saks,剪刀,69
13217,ingen af ​​dem,两者都不,16
5466,varmere,暖和,73
464,wielding.,挥舞,85
7723,manglende evne,无力,60
6808,abby.,雅比,66
11337,shit.,拉屎,34
369,hadron.,强子,100
2026,mockery.,嘲弄,92
6625,prærieulv,土狼,52
12091,bass.,低音,27
13587,martin.,马丁,12
4126,opskrift,食谱,72
281,canisters.,罐头,85
8423,pseudo.,伪,56
7389,have råd til,买得起,52
13974,forenet,团结的,6
4124,overbærenhed,放纵,67
4053,billedlig,画报,81
11201,agenter,代理人,21
4882,robbins.,罗宾斯,76
8635,tudse,蟾蜍,54
6048,frenchman.,法国人,72
13771,næsten,几乎,11
9311,bonnie.,邦妮,47
6709,midtfelt,中场,53
13565,fylde,充满,11
13869,sådan,这样的,5
8759,angriber.,前锋,41
13063,polen,波兰,18
9195,fartøjer,船只,39
12935,duke.,公爵,19
10741,indsamlet,聚集,24
3190,expeditions.,远征,33
6562,atoll.,环礁,67
7209,biosyntese,生物合成,63
13106,wickets.,小家文,13
6734,damaskus.,大马士革,67
3054,keynote.,基调,88
14363,robert,罗伯特,11
10385,tryllekunstner,魔术师,40
11246,i det væsentlige,本质上,26
8514,charlemagne.,查理赛,55
13715,smith.,史密斯,12
12068,flyde,流动,25
9471,terræn,地形,48
11831,i bund og grund,基本上,15
1007,hamline.,哈米琳,97
10049,fænomenet.,现象,43
8685,opstod,arose.,54
2257,plaid.,格子花呢,91
13075,kritisk,危急,11
3591,mantis.,螳螂,86
2548,codeine.,疑要,91
13994,dage,天,6
12505,robin.,罗宾,22
833,lowly.,卑微,98
11731,kenya.,肯尼亚,31
13269,teori,理论,13
2411,nek.,诺克,91
10346,drivhus,温室,41
5965,thrash.,捶打,58
1934,ashraf.,阿什拉夫,93
14151,syd,南,8
8875,sphinx.,狮身人面像,52
419,firecracker.,鞭炮,94
11650,transporterer,携带,11
12028,disk,圆盘,26
9211,respiratorisk,呼吸道,50
7694,bredere,更广泛的,61
12234,langsom,慢,22
2042,sud.,苏克斯,91
3034,citable.,宜乐,88
1079,skændes,吵架,88
2586,xerox.,复印,90
10379,tørke,干旱,40
12176,fremragende,杰出的,27
7356,degenereret.,退化,54
4688,pumma.,彪马,74
2229,smog,烟雾,91
10059,stubbe.,树桩,37
3407,redwood.,红木,83
5695,cyclamen.,仙客来,74
10863,rod,根,29
6704,dingo.,丁戈,67
10159,træner,培训师,37
10806,bundet,边界,29
10626,citron,柠檬,38
12941,afstand,距离,17
10692,offentligt tilfredsstillende,公开,38
9067,dalton.,道尔顿,51
10209,vædde,赌注,36
5216,brutus.,哈库斯,76
9701,konklusioner.,结论,24
119,camara.,卡马拉,100
1640,reprint.,重印,64
4054,rampe,斜坡,75
6233,burmese.,缅甸人,70
8251,skyline.,地平线,57
10417,susan.,苏珊,40
12075,virkelighed,现实,27
12628,elizabeth.,伊丽莎白,22
9322,udendørs,户外,44
4236,wandering.,徘徊,34
5564,shady.,阴凉,75
5862,politburo.,政治局,73
1452,kørebane,行车道,95
2861,canes.,披肩,56
10553,rutherford.,卢瑟福,40
3550,leddelige.,管理人,86
4473,snider.,sn,81
9409,derrick.,达里克,49
4011,jacksonian.,杰克逊人,83
11806,løve,狮子,17
9936,wider.,更宽的,44
835,wali.,瓦利,98
4975,diagnose,诊断,78
6754,korst.,最短,67
9680,quiddity.,本质,47
13205,tennessee.,田纳西州,16
14408,tal,人物,12
8475,transformeret,转变,26
2936,kammerat,同志,63
8213,illusion,错觉,55
14170,modtaget,已收到,6
6269,kulhydrat.,糖类,69
4379,fremskynde,加速,35
5795,woo.,呜,70
6953,vine.,藤蔓,59
2188,folder,文件夹,88
4991,corona.,电晕,77
8162,bombay.,孟买,58
12466,kyle.,凯尔,24
505,sprang.,泼,99
3087,fiery.,火热,88
1349,arbejdsstation,工作站,87
5551,peso.,比索,58
6830,polymer.,聚合物,63
14125,halvt,一半,10
9996,støt,稳步,44
13580,formel,正式的,12
7943,tunge,舌头,56
6447,borneo.,婆罗洲,69
12156,discus.,铁饼,27
820,carcinogen.,致癌物,87
13139,morgen,早晨,17
8862,laos.,老挝,49
8483,blok,集团,55
13387,kavaleri,骑兵,14
13087,metal,金属,17
9755,karen.,凯伦,46
11830,med titlen,标题为,8
9597,stjæler,抢断,31
4928,hornish.,horn,78
10286,helikoptere,直升机,25
3906,saharan.,撒哈拉兰,84
8529,slater.,斯莱特,55
2770,tilskud,补贴,76
1173,nitroglycerin.,硝酸甘油,79
7042,certificering,认证,40
2010,misspelling.,拼错,60
3021,barracuda.,梭鱼,87
9278,sløv,钝,49
12973,iran.,伊朗,19
2304,noll.,诺尔,91
5121,diethylamid.,二乙胺,77
1747,torso,躯干,92
8799,beregnet,计算,28
267,tangent.,切线,97
6498,hassel.,榛,69
2766,serfdom.,社交,89
10234,eksplicit.,明确,42
5821,forbered,准备,70
5417,bambus,竹子,74
9220,tilbageholdt,拘留,46
474,prævalens.,普遍存在,64
12303,univers,宇宙,7
6643,forsvinde,消失,35
7692,ukrudtsplante,杂草,57
9580,førnævnte,上述,47
12189,parker.,帕克,27
13732,lav,低的,11
11841,koncert,音乐会,26
4860,guillotine.,断头台,79
10637,nicaragua.,尼加拉瓜,39
11751,bind,体积,27
1840,ophævet,rescinded.,87
8284,omfordeles,重新部署,50
12546,betale,支付,20
14014,mindst,至少,5
13449,helt seriøst,严重地,14
1883,alanine.,丙氨酸,93
2259,glasfiber,玻璃纤维,92
5073,begrænsninger.,约束,72
5516,jordnødder,花生,40
8693,brændt,烧伤,54
3275,cavendish.,卡文派,87
4721,midseason.,赛季中期,79
11397,udledes,推断,30
3729,indium.,铟,85
6679,forkortelser.,缩写,41
1326,minoan.,米诺曼,96
3279,deri.,在其中,87
12728,carter.,卡特,21
7283,carom.,卡罗姆,62
455,harmaline.,哈米哈丁,100
12743,max.,最大限度,21
8323,wrigley.,箭牌,57
1004,sværdfisk.,旗鱼,97
1331,jibbs.,吉布斯,96
3659,nostrum.,鼻孔,85
9952,tak skal du have,谢谢,44
10977,ru,粗糙的,34
12275,mord,谋杀,20
5789,judith.,朱迪思,73
11827,arnold.,阿诺德,30
8820,amino.,氨基,53
11583,monroe.,门罗,32
2698,limonene.,柠檬烯,89
2404,subkontinent.,次大陆,91
11736,perry.,佩里,30
1196,damme.,达梅尔,97
12416,chile.,智利,24
3187,kontinuum.,连续国,88
4855,gatsby.,盖茨比,79
13768,sig selv,本身,11
10475,formodentlig.,想必,28
2208,titrering.,滴定,90
7903,checkout.,退房,58
10125,sur.,苏,43
7849,feudalisme.,封建,53
4045,utilfredshed,不满,79
11378,warcraft.,魔兽争霸,34
9887,marx.,马克思,45
14021,national,国家的,7
1935,antioxidant.,抗氧化剂,91
10711,lagt,奠定,38
2897,cholesterol.,胆固醇,89
5495,pharos.,ph,75
13037,syre,酸,18
3863,rent vand,克利尔沃特,84
3772,heartland.,心兰,83
7265,konkurs,破产,62
13228,tied.,捆绑,10
3100,kosher.,犹太犹太人,88
2924,mcg.,麦格,89
914,merton.,默顿,97
6788,fender.,挡泥板,63
13724,thomas.,托马斯,12
9047,svævefly,滑翔机,46
3416,scooter.,小型摩托车,83
2140,gennemblødt,浸泡,84
4923,omlægges,重新安排,74
2012,almindeligt,平凡,92
5953,ferret.,雪貂,72
13209,junior-,初级,16
896,nimrod.,尼像,97
11217,mainstream.,主流,35
6300,arving,继承人,62
11069,rå,生的,36
12122,automatisk,自动的,5
9729,nitten,十九,46
13004,ansvarlig,负责任的,11
3672,enkleste,最简单的,85
9529,bad,洗澡,41
9187,clarence.,克拉伦伦斯,50
13278,klappe,拍,14
13719,aka.,阿卡,12
3476,diphosphat,二磷酸,86
12436,lettelse,宽慰,24
6945,neutron.,中子,64
4135,prisme,棱镜,82
11832,mongo.,蒙古,30
12540,guvernør,省长,21
14519,tage med,带来,6
1199,stew.,炖,88
480,monomer.,单体,97
7656,chico.,恰尔多,61
10455,pepsi.,百事可乐,40
1800,blackfoot.,黑脚,94
3383,kravle,爬行,67
11626,mærkelig,诡异的,31
7147,eskimo.,爱斯基摩人,44
11553,hårdere.,更难,32
11206,i morgen,明天,35
10815,delvis,部分的,29
10928,forhandlinger,谈判,25
10993,baptist.,施洗,36
5380,dismal,惨淡,75
5015,endokrine,内分泌,77
2336,sydpå,向南,57
4333,untied.,解开,81
1597,brudt,瘀伤,72
7045,aritmetik,算术,64
4196,neuron.,神经元,70
3512,fermentering.,发酵,81
5444,kvasi.,准,75
6473,redneck.,雷尼克,66
13455,føderale,联邦,12
6208,entropy.,熵,70
13494,forespørgsler.,疑问,12
13717,kongres,国会,12
2726,frodige,沃,54
3511,ballroom.,舞厅,85
14104,afholdt,握住,8
14078,politisk,政治的,10
5986,monde.,蒙德,72
10994,derby.,德比,37
29,melankoli,忧郁,100
12367,sindssyge,疯狂,20
13259,indeks,指数,15
7388,hjemby,家乡,62
12851,baltimore.,巴尔的摩,20
9166,forskelsbehandling,歧视,45
10561,klaver,钢琴,39
4950,etymologi,词源,66
12019,oxford.,牛津,28
1147,dø hårdt,死硬死硬的顽固的,97
13805,ved,经过,5
10439,vicim,恶毒,40
12848,syndrom,综合征,20
10999,aspekter,方面,26
9077,negre.,黑人,46
3227,selvisk,自私,83
7562,ponce.,庞塞,62
3742,mongolian.,蒙,83
1529,endetarm,直肠,95
3852,forgrenet,分支,25
6149,steget,升起,71
3414,kardiovaskulær,心血管,87
431,curtailed.,缩减,85
2948,aldehyd.,醛,83
3434,sensory.,感官,86
10057,hackney.,哈克尼,43
14271,virkelig,真的,9
3761,hastigt,草草,85
8223,suffix,后缀,53
421,storyboard.,故事板,100
3428,popsicle.,棒冰,87
8963,trods,鄙,51
10933,røg,抽烟,25
4480,udlignet,均衡,73
971,jingle.,叮当声,90
13792,af,的,5
1304,træbearbejdning,木工,87
1085,tilintetgørelse,湮灭,70
6769,supernatural.,超自然,67
5782,rufus.,鲁弗斯,73
1846,eksekutiv,国库,94
3318,medheld,扣留,87
11075,idaho.,爱达荷州,37
7895,stød,推力,54
11374,nash.,纳什,34
7260,testikel,睾丸,61
7316,stover.,斯托弗,63
10369,algebra,代数,39
3474,smertefrit,痛心,87
2923,treble.,高音,89
295,crux.,症结,100
2587,insights.,洞察,46
6353,milepæle,里程碑,49
7196,ærkebiskop,大主教,61
10870,bengal.,孟加拉,26
11310,perfekt.,完美,34
5658,fig,无花果,71
5238,catchpole.,钓鱼,76
9374,turks.,土耳其人,40
2833,tapestry.,挂毯,88
8946,patient,病人,38
6878,bioteknologi.,生物技术,65
8669,billig,便宜的,54
2233,golfers.,高尔夫球手,71
9302,undid.,und,49
5164,corolla.,花冠,76
4248,devi.,德维,82
11657,durham.,达勒姆,31
7683,patel.,髌骨,61
6155,surfer.,冲浪者,61
13632,forum,论坛,12
657,sequoia.,红杉,96
859,bowers.,鲍鱼,75
440,hiller.,希尔,100
9080,bøn,祷告,45
11562,lavest.,最低,32
12547,udveksling,交换,21
4819,stempel,活塞,35
14017,drift,操作,6
2736,quack.,嘎嘎,88
2180,picnic.,野餐,91
13319,tyfon,台风,15
12958,calvin.,凯文,19
6127,overhaling.,过修,61
3759,tung.,桐,85
10058,fradrag,扣除,35
13300,hævet,提高,13
12666,mytologi,神话,21
6023,håndklæde,毛巾,67
7163,alkymist.,炼金术师,63
14511,forlade,离开,7
9052,ateisme,无神论,52
5197,diskret.,离散的,58
9523,genindtræde,再入,47
6900,redegjort for,占,5
2177,høne,母鸡,79
1743,overtalelse.,劝说,76
7893,alt for,过于,59
1408,sleeper.,轨枕,91
11828,ydre,外,30
4794,herschel.,赫尔什,79
1590,kondensere,凝结,50
9269,lampe,灯,48
14093,fremtid,未来,8
102,printmaking.,打印制作,100
6410,diskurs,话语,69
11302,blandt andet,其中,34
8066,følges,随之而来,30
1291,kontraproduktivt,适得其反,94
2256,moselle.,摩泽尔,92
11639,slalom.,sl,29
2599,livvagt,保镖,81
4041,gauss.,高斯,83
3647,jing.,荆,86
4225,tilgang,涌入,82
8927,sømand,水手,39
12157,gap.,差距,25
6916,boer.,布尔,64
1619,loftet,阁楼,93
6592,craven.,懦夫,68
13624,uden for,外部,12
10315,sand,沙,35
3145,druze.,德鲁兹,88
10873,heritage.,遗产,38
7491,firewall.,防火墙,62
968,magdalene.,马格达琳,90
9521,underordnet,下属,40
13220,udviklede sig,发达,10
569,kendo.,剑道,99
6475,iværksætter,企业家,62
3216,nepalesisk.,尼泊尔人,88
11745,bomuld,棉,30
9444,svovl.,硫,45
7108,misforstået.,误解了,64
5052,pejorative.,佩伯拉特,75
12774,sydøstlige.,东南,21
1165,noosphere.,无圈,97
3016,coronado.,科罗纳多,88
5326,recap.,搭档,61
10178,mick.,米克,42
7840,monoxid.,一氧化物,60
12300,dissident.,相对的,25
10505,chip.,芯片,29
6468,sinister.,险恶,69
6407,louvre,卢浮宫,69
12975,pensioneret,退休,14
11127,somerset.,萨默塞特,36
2079,hæmorider,痔,91
6058,ovenpå,楼上,72
4672,manuskripter,手稿,61
11692,jordskælv,地震,12
11494,shalom.,沙洛姆,33
1129,oka.,哈卡,95
10094,demiurge.,贬义,43
12451,database.,数据库,24
10909,rochester.,罗切斯特,38
186,mogul.,莫尔,95
4399,nameless.,无名,81
3178,dekorative,装饰性的,38
12076,kræft,癌症,27
2972,airman.,空军,88
10223,gile.,吉尔斯,42
11228,sidder.,坐着,24
3920,korrosion,腐蚀,80
3326,syndikering,联合,54
13005,medicin,药品,16
8639,stik,刺,53
6478,pyr.,..,69
6472,hermes.,爱马仕,65
7312,napier.,纳米尔,63
4209,syntetase.,合成酶,82
3637,hillman.,希尔曼,86
10249,epsilon.,埃斯利昂,42
5105,specialitet,专业,68
5034,excretory.,排泄物,77
953,kronblade,花瓣,90
6494,rin,凛,69
4867,defensan.,防守者,79
5629,shiite.,什叶派,74
8952,dana.,达娜,52
11434,methyl,甲基,32
10033,gorilla,大猩猩,43
