ID,DANOIS,RUSSIAN,INTERVAL
10850,kit,комплект,36
13794,og,и,5
3403,skræddersyet,с учетом,67
1152,goldie.,голди,95
4443,aquatic,водный,46
8900,honning,медовый,52
6773,kromatografi.,хроматография,66
9533,intercontinental.,межконтинентальный,47
76,bambino.,бамбино,100
12957,ottawa.,оттава,19
7071,alvorligt.,искренний,63
1373,pethidin.,петидин,96
4002,manhunt.,маховица,82
10045,talsmand.,пресс-секретарь,43
14143,åben,открыть,8
3643,nicaraguan.,никарагуань,84
9996,støt,неуклонно,43
1258,foreshadowing.,предвещать,85
4296,hyacint.,гиацинт,81
14376,ledere,менеджеры,9
6242,spand,ведро,65
10493,crosby.,кросби,39
5468,barnard.,барнард,74
4304,eng,луг,57
4918,domini.,домини,77
3851,thwarted.,сорван,70
3341,butadien,бутадиен,87
12578,libanesisk.,ливанец,23
12374,elektrisk,электрический,17
2892,whipped.,взбиты,54
3214,feldspar.,фельдспар,87
10680,regerende,постановление,7
13134,klovn,клоун,17
11853,vikings.,викинги,23
13818,ikke,нет,5
12201,løjtnant,лейтенант,25
12548,dræbe,убийство,10
6627,kaukasus.,кавказ,67
10463,omfordeles,перераспределенный,39
13555,dobbelt,двойной,12
10421,matrix,матрица,40
4819,stempel,поршень,35
10159,træner,тренер,36
9531,afdød,покойный,47
7606,myg,москит,58
13816,dens,его,5
10120,caliber.,калибр,40
348,deval.,деваль,96
9741,carlo,карло,45
13724,thomas.,томас,12
13545,udmelding,утверждение,11
14161,undersøgelse,изучать,16
8432,lithium.,литий,55
8816,galileo.,галилео,52
7577,scotch.,скотч,61
12130,trafik,трафик,27
5774,mønter,придуманный,15
14226,gratis,бесплатно,5
9192,fersken,персик,47
14346,kommerciel,коммерческий,9
14515,chicago,чикаго,11
2363,eland.,элада,91
4967,terrapins.,террапины,74
8158,leach.,выщелачиваться,56
12138,kristus,христос,26
11087,censoreret,цензура,25
12045,lokomotiv.,локомотив,18
2784,timere.,таймеры,64
1173,nitroglycerin.,нитроглицерин,79
12965,komet,комета,18
11076,musicians.,музыканты,21
3458,batty,батта,86
13392,svar,ответить,12
9206,riverside.,реки,50
7072,genindlæsning,перезагрузка,53
10722,emma.,эмма,38
4429,torn,терновый,76
8317,exxon.,экзон,56
5712,fouled.,выпуклый,35
13837,du,ты,5
14498,industriel,промышленное,14
8593,olivia.,оливия,54
11906,sprint.,спринт,27
1583,phenylalanin,фенилаланин,94
92,desintegration.,дезинтеграция,76
11851,forbrydelser,преступления,15
10025,harlem.,горема,43
14170,modtaget,полученный,6
12459,walker.,ходок,23
5152,undergået,пренебрежительно,76
4997,extrasolar.,экстрасолар,77
12002,pierre.,пронзительный,28
10427,stabil,стабильный,38
2804,grazed.,пас,74
6052,punic.,озвучий,71
4121,paved.,мощеный,60
6393,reservationer,оговорка,12
6721,i sig selv,насущный,53
10499,holden.,холден,39
2041,mainframe.,мэйнфрейм,91
1345,sprite,спрашивание,92
5338,rumielt.,пространственный,74
10244,giro.,жиро,41
8059,agurk,огурец,57
2599,livvagt,телохранитель,80
2750,batten.,батант,88
12230,hofte,бедро,25
2577,flossie.,флосси,88
5451,teoretisk.,теоретически,53
6638,kloster,монастырь,61
12540,guvernør,губернатор,20
10245,astrologi,астрология,39
1462,enormt.,чрезвычайно,53
13239,brasilien,бразилия,16
13346,alene,в одиночестве,15
4974,bundkort,системная плата,77
4900,penicillin,пенициллин,78
6876,tundra.,тундра,65
8389,fr.,фраг,55
4463,tekstlig,текстовый,78
1995,tetanus.,столбняк,93
9438,krukke,банка,45
11012,northwestward.,на северо-западе,36
3636,vanding,орошение,83
2813,nostradamus.,нострадамус,89
11578,alkohol,алкоголь,27
12343,kørte,прогнать,25
9699,curling.,вьющийся,40
9523,genindtræde,реэнтер,46
2518,euphemisme.,эвфемизм,87
8022,farvestof,краситель,53
13694,forsvar,защита,10
4375,panorama,панорамный,81
13507,trace.,след,12
8626,nb.,принцип,54
9403,desc.,дезертир,48
11778,uegnet,неподходящий,29
7501,realisme,реализм,62
6579,kippur.,кипур,67
6006,neanderthal.,неандерталь,71
9878,mitch.,микча,44
4189,fleury.,флери,82
3743,fiskene,рыбы,85
11723,hval,кит,26
2207,kapillary.,капиллярный,89
13051,melbourne.,мельбурн,18
1378,beluga.,белуга,96
559,catskill.,катскилл,99
5308,lipid.,липид,74
5715,konstruktør,конструктор,41
531,wren.,крапивник,96
11019,vurdere,оценивать,19
11771,anerkendt,признан,6
1087,withers.,увядает,82
199,gertrude.,гертруда,100
14129,aldrig,никогда,10
14026,ifølge,согласно,9
5744,uerfaren,неопытный,72
1529,endetarm,прямая кишка,95
6077,att.,атаку,70
11668,vernon.,вернон,31
13327,bevægelse,движение,14
8494,pointers.,указатели,42
4567,cello.,виолончель,79
12701,glad,рады,21
8479,salat,салат,54
9283,overvinde,превосходить,45
3075,mytisk,мифический,87
6238,rekreation,рекреационный,30
11678,bermuda.,бермудские острова,30
7175,genus,род,62
2959,hobbyer.,увлечения,57
8329,fornærmet,обиженный,24
11735,ta.,та,30
2387,gully.,овраг,88
6769,supernatural.,сверхъестественное,66
8941,gabon.,габон,51
6305,spray,спрей,58
10856,slik,конфеты,37
4439,statesman.,государственный деятель,80
6534,sofa,диван,64
7141,patty,пэтти,62
12325,ekstratropisk,экстратропно,25
14289,maskiner,машины,9
12688,stavet,прописан,12
2882,risikabel,рискованный,88
431,curtailed.,свернутые,84
7800,fastgørelse.,пребывание,58
8927,sømand,моряк,38
816,sunray.,сундук,98
9282,sikret,уверенно,27
8515,howitzers.,гаубиц,31
11498,aviser,газеты,14
2263,vaskerum,уборная,91
11634,bard.,бард,31
11884,miljø,окружающая обстановка,27
4965,median.,посредственность,77
9562,løn,зарплата,42
8327,orientering,ориентация,31
4209,syntetase.,синтетаза,81
6655,sutter.,саттер,66
6938,gyde,аллея,63
2698,limonene.,лимонин,89
8220,alma,алма,55
5717,jargon.,жаргон,72
14051,senere,позже,8
356,admiralty.,амиралтейство,99
10085,barton.,бартон,43
2396,drone,дрон,84
10896,opdeler.,клевета,19
13560,videnskab,наука,12
13710,derfor,следовательно,12
3974,fregat,фрегат,78
9605,vogn,перевозка,43
10509,singing.,пение,28
6948,oracle.,оракуль,64
8349,langley.,лэнгли.,56
1768,østpå,на восток,49
9229,imperative.,императив,49
5492,hookah.,кальян,73
11769,sec.,раздел,30
6447,borneo.,борнео,68
194,bilister,автомобилисты,97
4457,fingeraftryk,отпечаток руки,62
10705,feber,высокая температура,38
511,allegro.,аллегро,99
10015,direktører.,директора,17
4224,hellenistisk.,эллинистический,81
11697,trykke tilbage,снял,30
10095,reduktion,снижение,40
2878,bogan.,беган,88
2185,nedsænket,погруженный,88
10492,shah.,шахта,39
11383,plenty.,множество,33
2969,mallet.,маллет,87
8498,inspiration,вдохновение,27
1430,gratuitous.,градус,45
3987,googol.,гуоголь,83
9257,racer.,гонщик,35
12974,bolde,яйца,10
10708,scepter.,скипетр,38
5713,dihydrogen,дигидроген,72
12122,automatisk,автоматический,5
5848,friedman.,фридман,72
9982,minus,минус,44
4029,milt.,малт,82
4267,butik,этаж,71
3539,tyfoid.,тиффоид,86
638,numbat.,омутать,99
13215,episode.,эпизод,12
10910,scientologi.,саентология,37
12387,ep.,эп,24
4596,plainly.,ясно,79
1357,alkalisk,щелочный,93
221,gaul.,галл,98
2511,dungy.,дунги,90
470,abbot.,аббат,97
4340,yangtze.,янцца,81
5213,billigere.,более дешевый,76
7320,defame,дефект,30
9882,rammen,фреймворк,43
5407,jat.,джай,74
13272,dr.,доктор,16
7919,halvfjerds,семьдесят,47
7701,reg.,рег,60
11230,budget,бюджет,33
2020,seagulls.,чайки,84
4705,spearheaded.,возглавлять,61
9379,ubetinget,неубедительный,48
430,dayan.,дян,100
10151,recession,рецессия,38
2819,forwuringdoing.,правонарушение,88
4897,confucius.,конфуций,78
10174,livredder,спасатель,41
323,monoteisme.,монотеизм,100
7490,eksperimenterende,эксперименты,37
13690,penge,деньги,12
689,foreskrevet,предписанный,89
4448,josephine.,джозефина,80
12120,sti,тащить,18
90,emfysem.,эмфизема,100
5849,mezzanin,мезонина,70
6069,plea.,просьба,56
12233,eftermiddag,после полудня,25
677,bona.,бона,98
6039,flinders.,флиндры,70
1319,harpy.,гарпияна,96
10346,drivhus,теплица,40
14322,samtaler,разговоры,5
8620,blæk,чернила,49
5266,shuffle.,разврат,62
6317,fotosyntese,фотосинтез,69
6505,cyclic.,циклический,66
10811,leonard.,леонард,38
8106,premiere.,премьера,18
13008,adgangskode,пароль,18
3732,overtaken,обгнать,85
10162,vanskeligheder,трудности,31
7497,frivillig,добровольный,62
5963,justere,регулировать,38
4399,nameless.,безымянный,81
11114,østers,устрица,35
11845,meningsfuld,значимый,29
685,lobo.,лобо,56
11793,underrette,уведомлять,25
9237,tjære,смолы,48
1026,roet,свекла,93
12821,klassifikation,классификация,19
14071,højre,верно,7
11787,ryd op,очистка,29
5195,rystende,шаткий,76
1651,lordy.,лорд,94
12696,mønster,шаблон,20
945,karamel.,карамель,95
10349,plymouth.,плимут,41
14205,inkluderet,включен,6
14377,gade,улица,10
9915,dover.,дувр,44
2159,bindestreg,дефис,62
46,redoubt.,редут,94
8469,kolera,холера,55
6361,lemur.,лемур,68
2474,tori.,торы,56
13097,kategorier,категории,6
11445,for evigt,навсегда,32
14511,forlade,оставлять,7
4365,jagger.,джаггер,80
4356,daphne.,дафна,81
8156,malm,руда,56
4099,korinth.,коренф,82
686,signatarer.,подписи,88
7888,bam.,барабан,59
9542,mistænksom,подозрительный,45
11329,syttende,семнадцатый,34
9654,budbringer,мессенджер,44
3156,præstedømme.,священство,88
7915,lystig,веселый,59
4681,banketter,банкет,76
10550,sar.,сар,39
2376,fastslå,выяснить,79
2618,ballade,суматоха,86
11619,bulgarien.,болгария,31
2984,cong.,коврик,88
8195,variants.,варианты,40
5788,sadr.,садр,72
8553,circulatory.,циркуляторный,54
693,shiraz.,шираз,98
4452,cinematografer,кинематографисты,63
2288,ust.,уст,91
3219,fleur.,флер,87
11561,dominikanske,доминикан,31
3049,aura.,аура,87
10326,nærmeste.,ближайший,41
4137,klasseværelse.,школьный класс,74
871,taro.,таро,97
10685,porno.,порно,38
5084,tyve,воровство,75
8218,enestående,исключительно,13
3065,kabbalah.,каббала,88
1654,scrotum.,мошонка,93
3034,citable.,свидетельствующий,88
14011,give,предоставлять,6
8356,stamme,штамм,45
11630,cole.,коул,29
12881,solar.,солнечный,20
4922,hove.,хоув,78
339,antimony.,сурьма,100
6590,rubble.,обрезать,67
13626,human,человек,12
3096,punta.,пунда,88
11398,lupin.,люпин,33
4331,centimeters.,сантиметры,68
7052,pisa.,пиза,64
10716,tilfælde,экземпляры,20
3829,croat.,хорвата,84
11617,cm.,см,31
4538,basilika.,базилика,79
13566,i dag,сегодня,13
9410,utilsigtet,непреднамеренно,47
10782,hindu,индусский,33
10710,dusin,дюжина,27
1650,vibrant.,вибрантность,94
14018,nuværende,текущий,7
5245,mousetrap.,музена,75
2115,airdate.,дата выхода в эфир,89
9983,gidsel,заложник,35
12686,ryddelig,аккуратный,21
10709,matematisk.,математический,20
10988,frugt,фрукты,33
8998,upåliteligt,ненадежный,50
12073,spion,шпион,25
1759,autistic.,аутистический,93
4971,bulimia.,булимия,77
9222,strauss.,штраус,49
11155,eventyr.,приключения,26
7486,velsigne,благословить,44
4449,liter.,литр,48
10236,ko.,коататор,40
6257,bagage,багаж,69
7950,kung.,кунгл,58
357,udkast,черновики,95
1122,orbicle.,орицилка,96
1693,kvalme,тошнота,94
5164,corolla.,венчик,76
1726,øjeblikkelig.,мгновенный,79
445,peebles.,пожилы,100
11829,ion.,ион,29
8417,se bort fra det,игнорировать,48
10930,sparta.,спарта,37
3248,earthman.,земляник,87
9073,omdøb,переименовать,21
441,proxenus.,прорезин,100
2,pretzel.,крендели,93
10271,væsel,ласка,40
3178,dekorative,декоративный,37
9168,trone,престол,49
60,nyttelast,полезная нагрузка,97
1535,efterligne,мимик,91
11510,ernest.,эрнест,32
2933,dido.,диду,88
9644,ikon.,значок,36
2332,trillion,триллион,89
10696,muller.,мюллер,38
9610,fortolket,интерпретировать,18
8530,titanium,титан,54
2128,bongo.,бонго,81
7622,upassende,неправомерный,61
12522,misvisende,вводящий в заблуждение,22
7145,viewpoints.,точки зрения,39
10966,gettysburg.,геттисберг,37
2692,adrenal.,надпочечник,89
12699,acroterion.,акротерион,21
11811,grenadier.,гренадер,28
7702,castillo.,кастильо,60
8933,holdkammerater,товарищ по команде,29
2117,katalytisk,каталитики,91
11522,riley.,райли,32
5274,evangelion.,евангелион,75
1577,interpersonelle.,межличностный,94
1348,vivre,isivre.,96
14244,midler,означает,8
2360,bracken.,борчан,89
5381,tabasco.,табаско,75
389,gallium.,галлия,100
3802,osteoporose.,остеопороз,84
4368,ærlighed,честность,81
11941,wade.,уэйд,28
3854,hue.,оттенок,81
6243,nomenklatur,номенклатура,69
4419,isotop,изотоп,68
11378,warcraft.,военное ремесло,33
1121,sparsomt,скудно,96
4915,efterkrig,поствар,78
9407,sppr.,сплетен,48
8908,fanny.,фанни,52
6962,valnød,грецкий орех,63
972,gynecomastia.,гинекомастия,97
1991,mideast.,средний восток,93
10907,benedict.,бенедикт,37
13924,mod,против,7
849,irishman.,ирландец,98
1837,jezebel.,иезавель,93
6853,tudor.,тудор,65
4840,poised.,готово,72
14224,form,форма,8
11786,underlegen,ухоженный,29
9167,prærie,прерий,48
9079,kæreste,любимая девушка,49
13059,to gange,дважды,18
5382,betegner,обозначить,29
4334,launcher.,пусковая установка,62
2727,astor.,астор,88
12353,makker,приятель,23
8749,pasteur.,пастер,50
6048,frenchman.,француз,71
4862,lovpligtig,статус,78
7539,taft.,тафт,61
6993,gs.,гс,64
14347,indsats,усилие,6
412,beretta.,беретта,100
493,migræne.,мигрень,96
5542,biokemi,биохимия,74
2310,respektløse,неуважительно,72
8357,sekstende,шестнадцатый,56
109,tilbagebetale,погашать,90
1875,dimethyl.,диметил,93
2138,lovløs,беззаконный,85
4617,draco.,драко,79
10188,notifikation,уведомление,41
5572,hyldest,увольнение,72
5244,rattlers.,роталки,74
9582,martha.,марта,47
10148,chimpanse,шимпанзе,42
1413,tilmelding.,зачисление,65
2705,kunne ikke.,нельзя,89
8931,barndom,детство,51
3816,fjerkræ,домашняя птица,84
11035,halvtreds,пятьдесят,34
12605,thailand,таиланд,22
8649,dimensioner.,габаритные размеры,39
1764,blocker.,блокировщик,84
3708,fuselage.,фюзеляж,84
1120,bløddyr,каракатица,96
6340,nyhed,новинка,66
7291,sumatra.,суматра,62
1254,skamløs,бесстыдный,96
585,udstedelse,выпуску,99
12627,francis.,фрэнсис,22
9339,uganda.,уганда,49
10967,math.,математика,35
13688,million,миллион,11
6827,yank.,янк,50
1799,smøremiddel,смазка,81
13438,litteratur,литература,14
11689,automobil,автомобиль,29
8162,bombay.,бомбей,57
3469,fob.,воб,85
4646,henvisning,направления,75
1716,rougeau.,ругос,94
2798,shale.,сланца,89
2673,polymerisering,полимеризация,87
5554,roterende,ротари,72
11695,skygge,тень,28
3773,alsidig,универсальный,76
13301,tryk,давление,15
13316,helgen,святой,13
10825,meningsløs,бессмысленно,38
2967,maskeret,замаскированный,38
23,amen.,аминь,80
12011,newcastle.,ньюкасл,28
1118,oceanografi.,океанография,96
13621,etc,так далее,12
5773,beskatning,налогообложение,72
2838,håbløs,безнадежный,87
13950,ved brug af,с использованием,5
4179,reels.,катушки,50
10385,tryllekunstner,маг,40
13433,matt.,матовый,14
1250,louder.,громкий,96
2938,forstå,постигать,85
1305,oscillator.,осциллятор,62
7695,astronaut,астронавт,52
3918,gideon.,гедеон,84
1921,slim,слизь,93
12495,skib,корабль,16
9873,arguabelt.,пожалуй,42
10957,ringe,кольца,17
5516,jordnødder,арахис,39
8765,hades.,аид,50
14474,uddannelse,обучение,10
2988,tvivler.,сомнения,84
11024,kyst.,прибрежный,36
1510,gait.,походка,94
865,phosphodiesterase.,фосфодиестераза,97
986,retstrik,подвязывать,93
11685,collins.,коллинз,30
2780,primer.,грунтовка,85
9902,peloton.,пелотон,44
6819,paddock.,паддок,65
11698,annulleret,отменил,23
9083,skyskraber.,небоскреб,47
11321,trek.,треск,33
10942,deli.,гастроном,37
13661,middle.,середина,12
14401,bestemt,специфический,7
14014,mindst,наименее,5
12274,signal,сигнал,20
4891,slade.,сладкий,78
4564,ribben,ребра,62
3806,ferrer.,феррес,84
1166,transseksualisme.,транссексуал,88
6978,darcy.,дарси,64
10770,zeppelin.,дирижабль,38
8437,dare.,посметь,47
1381,lymfatisk.,лимфатический,96
11927,semper.,семепер,28
1993,ligsyn,прочность,91
9551,dalai.,далай,47
8902,autonom,автономный,50
11535,thai.,тайский,32
2421,manddrab,непредумышленное убийство,90
10214,finsk,финский,42
14031,tidlig,рано,10
7727,naples.,неаполь,60
11688,pa.,парин,27
13774,sent,поздно,11
2927,pyrenæerne,пиренеи,88
2303,afbøjning,отклонение,60
9785,buried.,похороненный,36
11728,milano.,милан,30
11752,bristol.,бристоль,30
8203,grønland.,гренландия,57
13830,også,также,5
10660,lilac.,сирень,38
11233,duel.,дуэль,33
8732,yoga.,йога,53
6639,strategier.,стратегии,30
5802,saskatoon.,саскатун,72
5398,nonne,монахиня,64
7640,modstridende,противоречивый,61
5227,fetishisme.,фетишизм,64
1411,gearet,редуктор,26
9872,homoseksualitet,гомосексуальность,35
1112,instruktører,инструкторы,64
7778,næseparti,морда,59
10904,opbevaring,место хранения,37
5191,taiga.,тайга,76
3399,demonteret,демонтировать,69
14183,parti,вечеринка,9
11915,universitetsområde,кампус,28
12037,silly.,глупый,23
4739,inkompetent,некомпетентный,64
3979,torchwood.,факело,83
14173,øget,повысился,12
3120,lukker,затвора,77
6840,tungvægt,тяжелый вес,64
7416,afskedige,увольнять,26
230,undergruppe,подгруппа,91
11795,interesser.,интересы,8
4723,sfærisk,сферический,78
4969,gonzo.,гонзо,77
7547,yacht,яхта,51
13066,skadet,пострадавший,17
822,uoverstigelig,непреодолимый,98
11710,klassisk,классический,17
10536,får,овца,39
9648,frokost,обед,46
8968,sleeping.,спать,16
9210,eftermæle,наследие,49
4972,dysleksi.,дислексия,77
7867,lønninger.,заработная плата,29
3741,indskrevet,вписанный,84
11571,a1.,а1.,32
22,læbestift,помада,100
3781,dybeste.,самый глубокий,84
6916,boer.,бур,63
9832,cab,такси,43
3446,bora.,бора,81
394,latham.,литам,100
8361,med det samme,немедленно,56
9183,serotonin.,серотонин,50
9534,tire.,шина,34
882,tera.,тера,96
3492,byg,ячмень,85
8390,dong.,дон,55
7215,tyrannosaurus.,тиранозавр,62
7930,stærke,старина,59
11123,soundtrack.,саундтрек,34
660,deltager,посещать,14
7134,huemul.,мимолет,63
7155,logistical.,логистически,36
9892,platinum.,платина,44
2597,læsere,читательство,89
6276,duly.,вузываться,69
10189,lovgivning,законодательство,24
10786,butler.,башмак,38
5880,kulbrinte,углеводород,66
13605,vand,вода,12
7020,amman.,амман,64
13164,rolle,роль,15
380,alkane.,алкан,96
9109,spektakulære,захватывающий,50
8622,ører.,уши,35
3,amorf,аморфный,100
10258,tilskuere,зрители,38
11638,murphy.,мурфи,31
916,galger,виселица,96
5387,benzen.,бензол,74
5455,bærer.,носитель,62
159,cenozoic.,кенозой,100
261,freemasons.,масоны,92
7917,worcester.,вустер,59
1114,magistrate.,магистрат,81
6807,orphic.,орфический,65
9759,dialog,диалог,43
11917,jane.,джейн,28
3885,acne,акне,84
5792,equinox.,эквинос,68
2848,piccadilly.,пикадилли,88
5775,divisors.,дивизоры,67
5198,coenzym.,коэнзим,75
7112,umm.,ммм,63
13328,artilleri,артиллерия,15
5874,proteiner.,белки,29
2210,slpt.,спала,91
592,solitaire.,пасьянс,99
6233,burmese.,бирманский,69
1957,aspartam.,аспартам,93
11072,stjålet,украденный,36
192,ako.,ако,100
4853,prostata.,предстательная железа,76
13925,mens,пока,6
4673,uskadelig,безвреден,79
10670,bænk,скамья,36
14397,brand,огонь,10
13682,carolina.,каролина,12
3278,kuan.,куань,87
8450,selvbiografi.,автобиография,54
12925,bobby,бобби,19
257,sammenhængende,сплоченный,56
4088,acadia.,акадея,82
3348,væv,острие,64
13046,simpson.,симпсон,18
8772,lutheran.,лютеран,49
11367,chokolade,шоколад,33
11690,harvard.,гарвард,30
2895,nekrophilia.,некрофилия,88
13030,tilsluttet,присоединился,11
13186,udenlandsk,иностранный,16
1013,kommanderende,властный,97
4648,uægte,незаконный,78
7733,spree.,веселье,59
9058,zink,цинка,51
11091,carson.,карсон,36
12144,serbien.,сербия,27
6369,courthouse.,суда,68
5924,hottest.,жаркий,71
976,patriarker,патриархи,81
1207,leninist.,ленинист,96
12880,ja,конечно,20
9871,oprørere.,повстанцы,33
12263,tempel,храм,24
9439,andorra.,андорра,48
14106,niveau,уровень,11
9385,corn.,кукуруза,45
12499,terrorisme,терроризм,18
13177,afstemning,опрос,13
11053,middag,полдень,36
9187,clarence.,класка,50
6491,pod.,подпирать,62
7116,bust.,бюст,49
5990,espresso.,эспрессо,71
7013,pudding.,пудинг,60
7586,hindbær,малина,61
10814,for pokker,проклятие,34
11021,harold.,гарольд,36
13906,hver,каждый,8
2675,lousy.,паршивый,89
4980,sahib.,сахиб,77
9421,krokodille,крокодил,45
12997,hamilton.,гамильтон,18
12532,klarlægge,прояснить,21
25,myrer.,муравьи,38
4737,farina.,фарина,77
9975,mekanisme,механизм,19
12908,ar,шрам,19
7108,misforstået.,неправильно понятый,63
2298,hydrochlorid.,гидрохлорид,91
8370,cellular.,сотовая связь,56
3456,attition.,потертость,85
7992,forbrug,потребление,58
4142,mørkere,темнее,82
593,chromatin.,хроматин,99
2168,iøjnefaldende,залитый,86
5966,percussion.,перкуссия,69
2021,fluoride.,фторид,80
9298,klient,клиент,39
8510,muskuløs,мышечный,55
5892,meritorious.,заслуженный,71
9567,gimme.,дамить,47
2076,evangelist.,евангелист,87
11432,elite.,элиты,31
13003,holdt,сдержанный,18
13579,korea,корея,12
2611,cipher.,шифр,87
1239,udelukke,исключать,78
9680,quiddity.,каминда,46
8679,omsætning,оборот,34
1124,gødning,навоз,96
5539,haag.,гаага,74
9517,vic.,вика,47
9557,hængt.,повесили,47
934,korsfæstelse.,распятие,97
8871,penny.,пенни,51
2026,mockery.,издевательство,91
4868,unitary.,унитарный,78
6045,biomer,биом,70
12798,modstand,оппозиция,17
8552,typografisk.,типографский,53
6347,dir.,дир,69
6511,meerkat.,меркат,68
10918,aftermath.,последствия,37
6963,aphrodite.,афродита,64
11729,leveret,доставлен,24
6262,loki.,локи,69
474,prævalens.,распространенность,63
3671,diagonal.,диагональ,77
13873,nogen,любой,5
2170,konsul,консул,61
10919,kys,целовать,34
8885,hitters.,хитры,33
6882,skoldkopper,ветряная оспа,65
5356,shiva.,шива,75
13282,grammatik,грамматика,16
5903,fugle,птичник,71
7205,sanitet,санитария,60
4576,smugling.,контрабанда,72
3855,pavlov.,павлов,84
272,baller.,баллер,90
10432,monarki.,монархия,39
2740,lydighed,послушание,85
354,stratojet.,страно,100
11547,ændret,изменено,8
860,analyseret,проанализирован,47
5109,uspecificeret,неопределенные,76
9394,timor.,тимор,48
9419,fe,сказочный,47
4433,hyldet,приветствовал,15
3069,fundamentals.,основы,32
9857,highland.,гористая местность,31
12314,daglige,ежедневно,25
14465,forening,ассоциация,10
3140,keramisk,керамика,79
10549,spise.,принимать пищу,15
1070,skye.,скайс,96
13820,hvilken,который,6
11359,tobak,табак,34
1270,arketype,архетип,88
2523,spanking.,проповедь,81
6451,aryan.,арий,64
13260,bank,банк,13
11891,redskins.,красноречие,28
8779,rød,алый,51
7184,avengers.,мстители,40
764,manx.,манс,98
1647,symmetrisk.,симметричный,82
11415,makedonien,македония,33
8411,porto.,порту,55
13769,forståelse.,понимание,9
11217,mainstream.,основной поток,35
2217,asymmetrisk,асимметричный,86
8581,wreck.,крушение,44
6809,håndtag,рычаг,63
3989,yokohama.,йокогама,83
11320,trin.,шаги,16
4989,erika.,эрика,77
8414,utroligt,невероятно,38
12760,brad,преступник,21
2221,smegma.,смегма,91
2450,tilbagetrukket,утомительно,64
8864,forstad,пригородный,36
1158,vibration.,вибрация,66
2259,glasfiber,стекловоломок,91
14025,min,мой,5
5626,bom.,сражение,73
11693,fjortende,четырнадцатый,30
10625,nr.,норм,38
12726,parat,готов,19
1335,bilbo.,бильбо,96
4750,cambodjanske,камбоджин,76
13655,generelt,в общем,7
11163,civilisation,цивилизация,11
13185,patrick.,патрик,16
2904,inverness.,инвернесс,88
2351,elm.,эльма,84
13651,vagt,сторожить,11
1620,carina.,карина,93
5622,ubestridt,бесспорный,69
4854,galilee.,галилеи,78
6019,være fremherskende,преобладать,40
5113,goddard.,годный,76
3778,elektromagnetisme.,электромагнетизм,45
8704,eleanor.,элеонора,53
12769,hampshire.,гэмпшир,21
665,skylder,обязан,48
13049,luna.,луна,18
9583,paradis,рай,47
8229,autoritativt,авторитетный,54
4373,metodologi.,методология,71
11206,i morgen,завтра,35
7647,adventist.,адвентист,57
8312,stade.,стадь,56
5571,stadia.,стадиа,74
4400,freeport.,свободный порт,81
12883,hundrede,сотни,15
9145,åbent,открыто,50
2098,sort vand,черная вода,92
280,bogie.,тележка,91
9050,lissabon.,лиссабон,51
11390,svensk,шведский язык,33
3608,flounder.,камбала,82
6055,barrow.,барровый,70
6784,slid.,скользнуть,66
12224,martial.,боевой,26
9508,raseri,ярость,39
861,redacted.,отредактировал,93
5163,rabat,скидка,56
13377,banned.,забаненный,10
6630,vandmelon,арбуз,65
1375,minotaur.,минотавр,96
12229,ubegrundet,необоснованный,25
11249,dublin.,дублин,35
3463,ovation.,овация,83
