ID,DANOIS,HINDI,INTERVAL
4702,uansvarlig.,गैर जिम्मेदार,74
12166,misrepresenting.,गलत ढंग से प्रस्तुत,21
7955,deux.,ड्यूक्स,57
14064,pund,पाउंड,30
4637,dystrofi,कुपोषण,78
7939,blanding,मिश्रण,18
1826,grinch.,ग्रिंच,93
10255,massefylde,घनत्व,39
4222,groft,निहायत,80
5133,zulu.,ज़ुलु,74
3230,beklædningsgenstande.,गारमेंट्स,59
14391,september,सितम्बर,6
1489,hoo.,हू,94
12577,di.,डि,21
8051,akron.,एक्रॉन,56
2431,heelers.,हीलर्स,90
13279,iii.,तृतीय,15
8208,bille,भृंग,53
9870,knop,कली,40
7770,fortryde,खेद,20
1080,konfigurationer.,विन्यास,45
12938,lukket,बंद किया हुआ,10
5613,forførelse.,राज - द्रोह,72
13924,mod,ख़िलाफ़,7
7800,fastgørelse.,कार्यकाल,56
13198,acceptabel,स्वीकार्य,6
9796,malaysian.,मलेशियाई,42
14225,hoved,मुख्य,7
339,antimony.,सुरमा,100
518,sluge.,निगल गया,59
5325,torpedo.,टारपीडो,67
2145,northwesterly.,नॉर्थवेस्टर,91
12920,quebec.,क्यूबेक,18
682,bogged.,फंस गया,68
944,blabbering.,बकबक,94
9002,fedme,मोटापा,48
11428,polo.,पोलो,31
7272,græder,रोना,31
11909,bubba.,बुब्बा,27
6668,verdi.,वर्डी,65
12614,calgary.,कैलगरी,21
4990,kæber.,जबड़े,56
2095,lysosom,लिसोसोम,91
2652,starling.,मैना,89
4475,scarface.,स्कारफेस,79
4645,rum,कम्पार्टमेंट,71
12814,anslået,अनुमानित,15
8885,hitters.,हिटर्स,31
9291,istanbul.,इस्तांबुल,47
11073,pil,तीर,30
7861,antik,एंटीक,47
14238,ting,चीज़ें,8
8702,styrte,को उखाड़ फेंकने के,50
14348,at tage,ले रहा,5
10173,middelhavet.,आभ्यंतरिक,40
5505,kvota,कोटा,65
12114,mint.,पुदीना,24
6084,hash.,हैश,62
13627,passende,उचित,12
6151,beskyttende,रक्षात्मक,9
4532,mindende.,के उपलक्ष्य,27
14061,sætte,रखना,8
11170,elefant,हाथी,31
4635,crick.,क्रिक,78
768,cadmium.,कैडमियम,98
13451,film,चलचित्र,12
460,vanedannende,नशे की लत,21
3020,loy.,लॉय,88
11509,stats.,आँकड़े,29
320,tracer.,दरियाफ्त,97
12712,loren.,लोरेन,20
2537,lydligt,सुख से,89
11307,profil,प्रोफ़ाइल,28
13093,argentina.,अर्जेंटीना,17
2900,vredt,गुस्से से,88
8108,kontekstuelle,प्रासंिगक,54
7064,smeltende,गलन,49
6281,diarré,दस्त,68
4900,penicillin,पेनिसिलिन,76
5992,seahorse.,समुद्री घोड़े,69
11871,ondsindet,दुर्भावनापूर्ण,22
14253,texas,टेक्सास,9
4471,ola.,ओला,79
8352,wl.,डब्ल्यूएल,54
13310,råd,परिषद,14
11445,for evigt,हमेशा के लिए,31
14304,efterår,गिरना,12
2816,splanchnology.,स्प्लाननोलॉजी,88
11534,helen.,हेलेन,30
12479,senna.,सेन्ना,22
12411,creek.,क्रीक,23
1615,moray.,मोरे,94
9554,biologisk.,जैविक,24
7145,viewpoints.,दृष्टिकोण,38
919,buffs.,के दीवानों,71
3075,mytisk,कल्पित,86
3461,glace.,इकरंगा,85
129,capella.,कैपेला,100
6122,cavalier.,घुड़सवार,40
10384,tilbagetrækning,निकालना,24
1939,slough.,केंचुली,92
9838,norfolk.,नॉरफ़ॉक,43
5349,squirt.,धारा निकलना,72
6893,rackers.,रैकर,63
3400,muskler,मांसपेशियों,34
4140,bedouin.,कंजर,75
4435,sygeplejersker.,नर्सों,36
496,univ.,यूनिवर्सिटी,99
8464,kørestol,व्हीलचेयर,52
8589,doser.,डोजर,52
13506,post,मेल,12
14010,gå,जाना,7
4739,inkompetent,अक्षम,62
11488,ea.,ईए,31
1639,menstrualt,मासिक,94
3922,pais.,पाइस,82
2784,timere.,टाइमर,62
14017,drift,ऑपरेटिंग,6
358,infurieret,व्यथित,90
3578,theorist.,विचारक,55
10367,tat.,गूंथना,38
10828,coca.,कोका,36
11535,thai.,थाई,30
9189,fyldigere.,कपड़ा साफ करनेवाला,48
4669,heller.,हेल्लर,77
5137,illuminati.,इल्लुमिनाति,75
713,sprungt.,उछला,98
7786,mytteri,गदर,54
12011,newcastle.,न्यूकासल,26
11954,slaveri,गुलामी,27
3773,alsidig,बहुमुखी,74
12883,hundrede,सौ,14
14468,har lyst,चाहता हे,5
1730,redone.,पुनः किया,93
13096,hytte,कुटिया,17
3392,blvd.,बुलेवार्ड,85
2723,sed.,एसईडी,81
6553,dak.,डाक,65
194,bilister,मोटर चालक,97
11702,forkert,ग़लत,29
13278,klappe,थपथपाना,13
13929,vej,रास्ता,7
3667,sanktion,प्रतिबंध,14
521,strung.,सख़्त,99
14288,universitet,विश्वविद्यालय,7
12942,philip.,फिलिप,18
9832,cab,कैब,42
7729,thugs.,ठग,50
7216,furry.,पोस्तीन का,62
5674,chinook.,चिनूक,69
7989,paolo.,पाओलो,56
9639,cfm.,सीएफएम,45
14378,enheder,इकाइयां,6
14141,på grund,देय,6
7013,pudding.,पुडिंग,58
9005,olympiad.,ओलिंपियाड,48
14137,yderligere,आगे,6
13719,aka.,उर्फ,12
8157,val,वैल,55
13715,smith.,लोहार,11
11565,bros.,ब्रदर्स,28
13698,tips,संकेत,11
8055,coulter.,कल्टर,56
11848,godkendelse,अनुमोदन,17
4850,donut.,डोनट,73
11648,ur.,उर,29
2645,autokrati,एकतंत्र,89
12799,ur,घड़ी,18
804,petroleum.,मिटटी तेल,98
4919,pericles.,पेरिक्लेस,76
3019,vaskepulver,डिटर्जेंट,86
12238,længste,सबसे लंबे समय तक,25
10516,intetanende.,पहले से न सोचा,38
4620,tilbageholdte,बंदियों,68
14076,design,डिज़ाइन,9
10598,kamerun,कैमरून,38
11761,athletic.,पुष्ट,12
8844,cunts.,कंस,31
12982,i første omgang,शुरू में,12
12452,spredning,फैलाव,20
231,chalde,कलडीन,100
5918,untitled,शीर्षकहीन,70
8909,babylon.,बेबीलोन,50
13215,episode.,प्रकरण,12
1960,lilith.,लिलिथ,92
323,monoteisme.,अद्वैतवाद,100
5185,inerti.,जड़ता,74
13792,af,का,5
7726,musemus,यूनिट,43
11582,tyler.,टायलर,30
11931,ages.,युग,12
10670,bænk,बेंच,35
6021,uvillige,तैयार नहीं,69
6681,fjols,मूर्ख लोग,34
5823,retard.,काम करना,36
11746,bb.,बी बी,27
12598,legende,दंतकथा,19
10316,cache,कैश,35
7397,tara.,तारा,61
12206,ing.,इंग,25
5048,vivat.,विनाट,75
10011,manny.,मैन्नी,41
8308,nazister,नाजियों,23
1366,crispin.,क्रिस्पिन,95
5724,jonglere,जादू,69
1620,carina.,कैरिना,92
3582,unto.,पर्यत,84
11953,alberta.,अल्बर्टा,27
9408,offshore.,अपतटीय,46
9609,lineman.,व्यवहार करनेवाला,45
9577,landsdækkende,राष्ट्रव्यापी,45
11347,kaldenavn,उपनाम,25
13564,basketball,बास्केटबाल,12
6967,terrestrial.,लौकिक,62
604,chordate.,कोरडेट,99
3954,satirisk.,व्यंगपूर्ण,51
8318,underwood.,अंडरवुड,54
12556,ris,चावल,22
6520,yea.,हाँ,65
8418,skrible,घसीटना,50
3483,baronet.,बरानेत,77
5333,gladstone.,ग्लैडस्टोन,73
9297,velgørenhed,दान पुण्य,44
10557,sb.,एसबी,38
10097,eskortere,अनुरक्षण,34
2775,antikviteter,हरकतों,86
7890,hoy.,बजरा,57
5011,talenter.,प्रतिभा,30
4004,fobi.,भय,81
73,centauri.,सेंतौरी,100
10042,cope.,सामना,40
1522,styx.,वैतरणी नदी,94
11012,northwestward.,उत्तर-पच्छिम,35
10664,klan,वंश,34
7412,fitch.,गंधबिलाव का पोस्तीन,61
14481,trykke,प्रेस,12
4955,axel.,एक्सेल,75
7706,alps.,आल्पस,54
10963,frimærke,डाक टिकट,29
12790,nederlag,परास्त करना,9
13140,sverige,स्वीडन,16
790,disraeli.,डिजरायली,98
3564,modvilligt,अनिच्छा से,84
5018,habitat.,प्राकृतिक वास,74
4103,seaboard.,समुद्र-तट,81
1076,conspiring.,साजिश रचने,51
7578,amelia.,अमेलिया,59
13964,fire,चार,6
4357,rendezvous.,मिलन स्थल,74
12761,langt hår,लंबे बाल,20
10777,fantastisk,विस्मयकारी,36
13232,dodo.,सुस्तदिमाग़,15
7691,geometric.,ज्यामितिक,56
1577,interpersonelle.,पारस्परिक,94
4416,onslaught.,हमला,79
11357,till.,हमहूँ कक्काजी हो जाएँगे ट्वैन्टी फर्स्ट सैन्चुरी तक,32
13460,alk.,आलक,13
5734,rancho.,रैंचो,71
7977,knude,गांठ,26
12499,terrorisme,आतंक,17
1821,marsupial.,धानी,93
2123,antitank.,टैंक रोधक,91
11647,eve.,पूर्व संध्या,29
8467,tien.,टीएन,53
11543,regnbue,इंद्रधनुष,30
4896,entreprenører.,ठेकेदारों,60
247,lysin.,लिसिन,100
13109,natur,प्रकृति,12
7451,kollegaer,सहयोगी,51
1028,telic.,टेलिक,97
30,greaves.,ग्रीव्स,100
9628,notworthy.,गौरतलब है,44
791,dermatologi.,त्वचा विज्ञान,98
2128,bongo.,बोंगो,79
11367,chokolade,चॉकलेट,32
5880,kulbrinte,हाइड्रोकार्बन,65
11864,slang,बोलचाल की भाषा,28
1368,hottentot.,होट्टेन्टोट,95
9821,saltin,नमकीन,43
10478,ibm.,आईबीएम,38
4148,roadrunner.,रोड्रुनर,72
5010,chun.,चुन,75
1853,antiaircraft.,विमानभेदी,93
2141,gatling.,गेटलिंग,91
311,sari.,साड़ी,97
2774,wd.,डब्ल्यूडी,88
1782,ganga.,गंगा,93
13660,fly,हवाई जहाज,12
13954,godt,अच्छा,6
2159,bindestreg,हैफ़ेन,61
9730,bule,उभाड़ना,43
11074,samtykke,सहमति,34
5153,menace.,खतरा,66
7562,ponce.,कुटना,60
8809,polka.,पोल्का,50
416,pugh.,प्यूघ,100
3280,glycol.,ग्लाइकोल,82
6897,ensemble,कलाकारों की टुकड़ी,59
9205,dolly.,नादान,48
2730,slibning,पिसाई,64
5003,fp.,एफपी,60
2397,unsportsmanlike.,स्वास्थ्य के लिए ठीक नहीं,90
5752,tiki.,टिकी,70
12835,manchester.,मैनचेस्टर,19
3059,voldsomt,जोरदार,82
7632,outlook.,आउटलुक,57
10783,søger,मांगना,22
10085,barton.,रियासत,41
10536,får,भेड़,38
8753,cp.,सीपी,50
7642,prelude.,प्रस्तावना,56
9944,roland.,रॉलेंड,42
11473,drake.,मक्खी,31
8423,pseudo.,मिथ्या,53
9819,hiroshima.,हिरोशिमा,43
8922,jehova,यहोवा,50
7383,bøf,स्टेक,59
2073,disinformation.,दुष्प्रचार,91
7964,alarmer,अलार्म,46
10595,pil.,जनहित याचिका,38
5050,revisionist.,संशोधित,68
1484,jumpsuit.,जम्पसुट,94
8093,nederdele.,स्कर्ट,44
1523,lavland,समतल नीचा भूमि,73
10531,beirut.,बेरूत,38
10648,optisk,ऑप्टिकल,33
6573,dresden,ड्रेसडेन,65
4641,økonomer.,अर्थशास्त्रियों,52
9279,puck.,शरारती बच्चा,47
549,mirakuløs,चमत्कारपूर्ण,82
2039,bankmand,बैंकर,81
3682,ildsten,फायरस्टोन,83
4066,polygami.,बहुविवाह,81
5415,colosseum.,कालीज़ीयम,73
2885,mopper.,मॉपर,88
9613,nj.,न्यू जर्सी,45
3952,np.,एनपी,82
7123,yuan.,युआन,62
13966,brug for,ज़रूरत,6
14485,venlig,दयालु,12
12525,lawrence.,लॉरेंस,22
2139,situation,वचन,91
3627,magenta.,मैजेंटा,84
13156,præsidential,अध्यक्षीय,16
3555,muscat.,मस्कट,85
12113,dame,महिला,19
1490,hao.,हाओ,94
410,booger.,बूगर,98
4037,fad.,सनक,65
8179,bach.,बाख,54
8960,michelangelo.,माइकल एंजेलो,50
7947,elevation.,ऊंचाई,31
6358,luftrum.,हवाई क्षेत्र,67
7261,genom.,जीनोम,59
10181,sult,भूख,40
9814,fang.,खांग,43
7288,tailback.,टेलबैक,59
7291,sumatra.,सुमात्रा,61
1981,herbicid.,शाक,89
14479,hold,टीम,6
13769,forståelse.,समझ,9
9376,glente,पतंग,46
782,hingst.,बिना बधिया किया घोड़ा,90
5855,maori.,माओरी,66
12331,pete.,पीट,24
627,seismometer.,भूकम्पमापी,94
12925,bobby,पुलिसमैन,18
12892,nl.,एनएल,19
14333,salg,बिक्री,20
4136,mandateret,अनिवार्य,38
7153,skilsmisse,तलाक,56
12292,moskva.,मास्को,24
6307,ezra.,एजरा,67
6230,frikendt,विमुक्त,67
12640,tæller.,काउंटर,20
6888,leukæmi.,लेकिमिया,63
3236,dearborn.,डियरबोर्न,86
12980,landfall.,भूम बिछल,18
4831,afskaffelse.,उन्मूलन,77
3814,transatlantisk,ट्रान्साटलांटिक,83
732,kumara.,कुमार,98
12425,ariel.,एरियल,23
8976,kitty.,किट्टी,48
4300,kano,डोंगी,69
3986,werewolf.,वेयरवोल्फ,82
2996,hotchkiss.,हॉचकिस,88
6149,steget,उठी पं,68
8648,betroet,भरोसा,23
9382,trommer.,ड्रम,27
12188,ryg,चोटी,25
11389,log på,लॉग इन करें,32
8460,millennia.,सदियों,53
2683,karrosseri,बॉडीवर्क,88
11671,evaluering.,मूल्यांकन,25
12186,mercury.,बुध,25
13480,detroit.,डेट्रॉइट,13
11096,memphis.,मेम्फिस,34
9646,fyrværkeri,आतिशबाजी,42
10538,tusmørke,सांझ,38
8938,luge,अंडे से निकलना,47
2498,paloma.,पालोमा,89
4403,regent.,राज-प्रतिनिधि,33
3407,redwood.,लाल लकड़ी,82
2409,akupunktur,एक्यूपंक्चर,90
8003,bal.,बाल,56
10750,eli.,एली,37
12609,mil,हज़ार,21
7827,disneyland.,डिज्नीलैंड,58
14031,tidlig,जल्दी,9
10073,oz.,आउंस,41
13544,lee.,ली,12
7486,velsigne,आशीर्वाद देना,42
12999,ukendt,अनजान,17
5941,sedimentary.,गाद का,70
856,udal.,ऊदल,98
164,cirque.,दंगल,100
10119,superman.,अतिमानव,41
14221,europa,यूरोप,5
7248,berettigelse.,पात्रता,30
3496,retroaktivt,पूर्वव्यापी प्रभाव से,73
4828,rgen,रगे,77
10285,kød,मांस,39
5719,dummy.,डमी,68
8103,integral,अभिन्न,22
3766,ludicrous.,ऊटपटांग,82
7683,patel.,पटेल,59
5157,læber,होंठ,54
7323,skur,छप्पर,52
8511,afhjælpe,निदान,47
2180,picnic.,पिकनिक,90
8940,showdown.,तसलीम,50
7004,ballpark.,बॉलपार्क,53
9365,jeopardy.,ख़तरा,47
6049,utrecht.,उट्रेच,69
3242,snuff.,सुंघनी,86
11011,turtle.,कछुए,30
13690,penge,धन,12
5887,trauma,सदमा,70
9209,mona.,मोना,48
7778,næseparti,थूथन,57
12568,cyklus,चक्र,16
10037,opfattes,महसूस किया,38
712,uskrevet,लिखा नहीं,98
9538,janeiro.,जनेरियो,45
1148,nudibranch.,नुडिब्रांच,96
163,freq.,फ्रीक,100
3387,påskrivninger.,शिलालेख,65
482,epitaph.,समाधि-लेख,99
1149,backgammon.,बैकगैमौन,96
13296,nebraska.,नेब्रास्का,15
9935,gensidig,आपसी,38
12966,uforklarlig,अस्पष्टीकृत,18
1181,bajonetter.,संगीन,74
5773,beskatning,कर लगाना,71
3145,druze.,द्रूज,87
1840,ophævet,इसे रद्द कर दिया,86
8334,hershey.,हर्षे,54
812,sikkim.,सिक्किम,98
12376,ridder,शूरवीर,19
3558,formidlet,मध्यस्थता,24
11121,estland.,एस्तोनिया,34
2366,crips.,क्रिप्स,71
12270,hovedsagelig,में मुख्य,24
10694,cambridge.,कैंब्रिज,37
5895,retsforfulgt,मुकदमा चलाया,39
13838,ny,नया,6
839,sefton.,सेफ़्टन,98
7063,loyalist.,वफादार,53
6843,pas,पासपोर्ट,58
8729,devon.,डेवन,51
2937,devrimental.,हानिकारक,75
1357,alkalisk,क्षारीय,93
12531,malo.,मलो,22
8984,rekruttere,रंगरूट,22
6103,truss.,पुलिंदा,69
12059,marks.,निशान,7
6024,pyruvat.,पाइरूवेट,68
5569,sekession.,अपगमन,72
9570,landmænd,किसानों,37
192,ako.,एको,100
8596,tribune.,ट्रिब्यून,42
5716,sønnesøn,पोता,69
3201,hine,हिन,86
7702,castillo.,कैस्टिलो,58
3476,diphosphat,डाइफॉस्फेट,85
8649,dimensioner.,आयाम,38
13629,jack.,जैक,12
5366,outgoing.,निवर्तमान,73
6944,afskaffet,समाप्त किया,56
11726,syrien,सीरिया,29
1732,royalties.,रॉयल्टी,63
9172,tulsa.,तुलसा,48
9444,svovl.,गंधक,43
3927,rolando.,रोलैंडो,82
2619,takers.,खरीदार,60
2728,morello.,मोरेल्लो,88
13917,formand,अध्यक्ष,10
10325,holdning,रवैया,37
3624,charette.,चारेट,84
84,pertussis.,काली खांसी,100
2465,brudgom,दूल्हा,74
14370,tilbydes,की पेशकश की,13
4227,clamshells.,क्लैमशेल,80
13431,rusland,रूस,13
5915,downfield.,डाउनफील्ड,70
2249,poz.,पॉज़,91
2792,turbolader.,टर्बोचार्जर,88
4748,gorgeous.,भव्य,77
5560,offside.,ऑफसाइड,72
8087,krave,कॉलर,46
12904,spinster.,कातनेवाली,19
13706,forventet,अपेक्षित,10
13285,syvende,सातवीं,15
13135,moderne,आधुनिक,15
13356,uafhængig,स्वतंत्र,12
2292,cpm.,सीपीएम,91
3029,stedord,सवर्नाम,75
7540,serb.,सर्ब,60
2358,afsaltning,अलवणीकरण,89
10019,cabot.,कैबोट,42
9710,restaurering,मरम्मत,8
5391,cameo.,कैमिया,72
4787,woodbury.,वुडबरी,77
7097,miniseries.,लघु श्रृंखला,62
6272,græshoppe,टिड्डी,65
5306,quito.,क्विटो,74
10225,fossil,जीवाश्म,26
12778,overtræder,उल्लंघन करने,6
11520,darwin.,डार्विन,29
8661,fragt,परिवहन,51
2927,pyrenæerne,पायरेनीज़,88
11404,frk,एमएस,32
1233,diol.,डियोल,93
12175,kone,बीवी,25
1857,beklædning,परिधान,93
14028,lang,लंबा,8
10162,vanskeligheder,कठिनाइयों,29
3031,flo.,फ़्लो,88
4616,lat.,अक्षां,77
210,maronite.,ईसाई,100
11881,kontanter,नकद,27
12860,guitar,गिटार,19
5983,appomattox.,एपोमैटॉक्स,69
2058,hurting,दम,91
12093,ukraine.,यूक्रेन,26
3014,patrice.,पैट्रिस,88
13341,digter,कवि,14
402,mana.,मन,97
9707,harmoni,सद्भाव,42
11819,relegeret,चला,23
13022,telefon,फ़ोन,16
11344,ass.,नितंब,31
2301,været i tvivl,शक,17
5764,nixie.,मत्स्यस्री,71
9171,mikro.,माइक्रो,48
6327,flytrap.,मक्खियों को फंदा,67
10434,underdown.,जमीन के नीचे,38
12584,far,पिता,20
2930,cit,सीआईटी,88
9115,misforståelse,गलतफ़हमी,41
248,calvary.,काल्वरी,100
4811,misrepresentation.,बहकाना,74
11072,stjålet,चोरी हो गया,35
8377,følelse,भाव,42
879,bjælker.,बीम,52
5614,jumbo.,दैत्य,70
7762,helena.,हेलेना,58
11483,varighed,समयांतराल,30
7278,modtager,प्राप्तकर्ता,46
10027,flygtning,शरणार्थी,26
10910,scientologi.,साइंटोलॉजी,36
12989,hørt.,सुना,18
12047,intro,परिचय,26
10708,scepter.,राजदण्ड,37
2244,tarsus.,टैसास,91
22,læbestift,लिपस्टिक,100
3606,klemme.,भूखों मरना,84
6571,messias.,मसीहा,65
2640,malt.,माल्ट,87
10364,fornærme,अपमान,21
9625,geometri,ज्यामिति,44
7760,murværk,ब्रिकयार्ड,58
3337,westfalen,वेस्टफेलिया,86
2760,hagesmæk,अकसर पीना,87
6857,alzheimer.,अल्जाइमर,63
8274,udøde,मरे,54
293,aha.,आह,100
7966,spurv,गौरैया,55
3465,wm.,डब्ल्यूएम,85
6033,røveri,लूट,65
1166,transseksualisme.,ट्रांससेक्सुअल,88
772,binh.,बिन्ह,98
6847,guerre.,गुर्रे,64
3671,diagonal.,विकर्ण,75
4605,halskæde,हार,75
7021,posse.,मेला,60
6723,madam.,महोदया,52
12863,udfordring,चुनौती,12
13524,ekko,गूंज,12
13291,nation,राष्ट्र,7
44,flashbacks.,फ्लैशबैक,81
12772,notre.,नोट्रे,20
12940,hvem,किसको,18
6415,latter,हंसी,67
2634,pote,पंजा,83
12793,større,ग्रेटर,20
14190,enten,दोनों में से एक,7
12026,redde,बचाव,23
1067,niggers.,जी में आये करो,45
1904,filmskabelse.,फिल्म निर्माण,71
7926,sperm.,शुक्राणु,57
10065,ter.,टेर,41
3260,tilhørsforhold,आत्मीयता,77
2439,impuls,आवेग,78
8878,bono.,नि:,50
5124,blomme,आलूबुखारा,74
9696,hylde,शेल्फ,44
4677,canuck.,कैनक,77
11512,hardy.,साहसी,29
11192,moonraker.,मूनरेकर,34
4141,ultralyd,अल्ट्रासाउंड,81
13650,gyldige,कानूनी,8
4864,navajo.,नावाजो,76
5203,hvor.,जिसमें,74
13130,ottende,आठवाँ,16
12472,ann.,ऐन,17
9679,rustning,हाथ - या,20
14267,bygning,इमारत,10
6273,offset.,ओफ़्सेट,63
4983,ethel.,इथेल,76
13433,matt.,मैट,13
3311,provost.,जेलर,86
9674,xx.,एक्सएक्स,44
3694,ridley.,रिडले,83
5246,picard.,पिकार्ड,74
5033,lessacy.,साक्षरता,75
2232,strammet,कड़ी कर दी गई,73
259,jokingly.,मजाक में,100
11026,maru.,मारू,35
13358,vinter,सर्दी,14
6869,orgasme,ओगाज़्म,62
12445,dynasty.,राजवंश,22
7916,eddy.,एडी,56
11595,ussr.,सोवियत संघ,30
4502,starship.,स्टारशिप,78
4800,exposing.,उजागर,33
3463,ovation.,जयध्वनि,82
6741,trappe,सीढ़ियां,61
3915,serum.,सीरम,82
4088,acadia.,अकादिया,81
5518,luder,वेश्या,68
5816,undgås.,बचा जाता है,6
8088,pantsat,गिरवी,40
9839,engagerende,मनोहन,13
12896,måne,चांद,18
2925,goldwater.,गोल्डवाटर,88
8021,rep.,निरसित,53
3204,renoveret,ठीक करके नए जैसा बनाया गया,74
7727,naples.,नेपल्स,58
10785,sund fornuft,व्यावहारिक बुद्धि,37
4450,portage.,भारवाहन,79
9978,højdepunkter.,हाइलाइट,20
10135,versailles.,वर्साय,41
10903,poker.,पोकर,36
14384,at føre,नेतृत्व करना,7
107,figaro.,फिगारो,100
10811,leonard.,लियोनार्ड,36
4971,bulimia.,बुलीमिया,76
6841,fisk.,फिस्क,64
12518,passe,फिट,16
4192,habeas.,बंदी प्रत्यक्षीकरण,81
7220,jill.,जील,62
12357,institutioner.,संस्थानों,6
13351,sø,झील,13
5616,lew.,ल्यू,72
11068,æg,अंडा,31
11593,kristendom,ईसाई धर्म,12
7614,interessant.,सुहावना होते हुए,59
6269,kulhydrat.,कार्बोहाइड्रेट,66
6958,immaterielle,अमूर्त,62
10020,kashmir.,कश्मीर,42
6499,attila.,अट्टिला,66
6502,overhead,भूमि के ऊपर,66
961,berber.,हज्जाम,90
12973,iran.,ईरान,18
11598,pascal.,पास्कल,30
11503,tibet.,तिब्बत,31
14154,kunder,ग्राहकों,24
10152,lomme,जेब,37
3414,kardiovaskulær,हृदय,85
10159,træner,ट्रेनर,35
8839,wont.,अभ्यस्त,50
7932,rube.,रूब,57
1843,maratha.,मराठा,93
10735,profanity.,गालियां बकने की क्रिया,26
10172,papegøje,तोता,39
6177,bigfoot.,बड़ा पैर,68
4724,slikke,चटना,64
7010,vox.,स्वर,62
1347,ccm.,सीसीएम,95
9514,ix.,नौवीं,46
13977,vil have,चाहना,5
11080,fantom,प्रेत,31
2205,reread.,को फिर से पढ़ें,87
6055,barrow.,ठेला,68
3066,horner.,होर्नर,87
7555,granit,ग्रेनाइट,59
12964,udeladelser.,चूक,18
13751,angive,संकेत मिलता है,9
8510,muskuløs,मांसल,53
145,parabola.,परवलय,100
3892,wiltshire.,विल्टशायर,82
5998,jævnt,के बराबर,69
2770,tilskud,सब्सिडी,74
13081,magasin,पत्रिका,16
13260,bank,बैंक,13
7769,ed,क़सम,54
2435,aururia.,अम्लमेह,90
1135,bolivar.,बोलिवार,96
4105,sakai.,सकाई,81
8618,augusta.,ऑगस्टा,52
5604,tucson.,टक्सन,72
6380,spektral,स्पेक्ट्रल,66
12215,anon.,शीघ्र,25
1303,nei.,नै,95
1965,anteater.,एंटीटर,90
666,reprise,दोहराव,62
2726,frodige,उपजाऊ,52
4898,bren.,ब्रेन,76
8637,genghis.,चंगेज,52
555,freehold.,मुक्त दर्जा,99
10463,omfordeles,पुनः आवंटन,38
5739,meteoroid.,उल्कापुर,70
2248,dada.,बापू,91
6621,bushfire.,झाड़ी में आग लगी,52
1041,swore.,कसम खाई,97
8253,kiev.,कीव,55
11147,rosa.,रोज़ा,34
13326,hr.,मानव संसाधन,12
10335,batsmen.,बल्लेबाजों,39
13010,fanget,पकड़े गए,17
5141,roche.,रॉश,75
12428,evangelium,इंजील,23
2585,sidebjælke.,साइडबार,89
7712,corvette.,कौर्वेट,57
12218,sarah.,सारा,25
8485,stenmur,पत्थर की दीवार,52
9447,dei.,देई,46
5938,veronicas.,वेरोनिकास,56
4368,ærlighed,ईमानदारी,79
2449,bedfordshire.,बेडफोर्डशायर,89
867,disingenuousive.,कपटी,95
3811,gram,चना,62
13750,mulighed,मौका,11
254,permutationer,क्रमपरिवर्तन,82
11258,svin,सूअर,27
4379,fremskynde,में तेजी लाने के,33
151,varme,गरमाहट,100
